ID,SpellID,MinScalingLevel,MaxScalingLevel,ScalesFromItemLevel
263,52127,0,0,0
300,7812,0,0,0
401,42988,0,0,0
402,42987,0,0,0
403,27103,0,0,0
404,10058,0,0,0
405,10057,0,0,0
406,10052,0,0,0
746,93744,0,30,0
754,33697,0,0,0
847,33702,0,0,0
848,20572,0,0,0
858,96092,0,0,0
863,96161,0,0,0
864,96165,0,0,0
865,96168,0,0,0
979,82207,0,32,0
980,89637,0,30,0
1091,105404,0,32,0
1093,79638,0,35,0
1110,105704,0,32,0
1265,109933,0,0,0
1267,105708,0,32,0
1274,109842,0,0,0
1275,109844,0,0,0
1276,107804,0,0,0
1306,105709,0,32,0
1384,746,0,1,0
1385,102695,0,32,0
1386,102694,0,32,0
1399,112059,0,0,0
1447,113344,0,0,0
1532,67890,0,27,0
1559,114708,0,0,0
1560,114713,0,0,0
1562,114726,0,32,0
1563,114731,0,32,0
1564,114733,0,0,0
1584,105701,0,32,0
1592,105706,0,32,0
1593,105702,0,32,0
1594,105698,0,32,0
1595,105697,0,32,0
1596,105687,0,32,0
1597,105686,0,32,0
1598,105684,0,32,0
1599,105683,0,32,0
1600,105685,0,32,0
1601,105682,0,32,0
1602,105681,0,32,0
1603,105688,0,32,0
1604,105689,0,32,0
1605,105694,0,32,0
1606,105691,0,32,0
1607,105696,0,32,0
1613,105617,0,35,0
1926,1159,0,1,0
1927,3267,0,1,0
1928,3268,0,1,0
1929,7926,0,1,0
1930,7927,0,1,0
1931,10838,0,1,0
1932,10839,0,15,0
1933,18608,0,15,0
1934,18610,0,15,0
1936,23567,0,20,0
1937,23568,0,15,0
1938,23569,0,11,0
1939,23696,0,21,0
1940,24413,0,15,0
1941,24414,0,20,0
1942,24412,0,11,0
1943,439,0,1,0
1944,440,0,2,0
1945,2370,0,3,0
1946,441,0,6,0
1947,2024,0,10,0
1948,4042,0,15,0
1949,15822,0,15,0
1951,21394,0,15,0
1952,21393,0,20,0
1953,17534,0,25,0
1954,433,0,1,0
1955,5004,0,1,0
1956,434,0,1,0
1957,5005,0,1,0
1958,21149,0,1,0
1960,7737,0,1,0
1961,435,0,5,0
1962,5006,0,5,0
1963,1127,0,10,0
1964,5007,0,10,0
1965,18229,0,15,0
1966,18230,0,15,0
1967,18231,0,15,0
1968,18232,0,15,0
1969,18233,0,15,0
