ID,Description_lang,Type,Amount,ObjectID,OrderIndex,Flags,StorageIndex,QuestID
270941,Captured Frostwolves Freed,0,3,73284,1,0,0,33145
272313,,0,6,82196,0,0,0,34076
272763,,0,12,75483,0,0,0,34496
272770,,0,1,78896,0,1,2,34501
272771,,0,1,78893,1,1,0,34501
272772,,0,1,78764,2,1,1,34501
272776,Mushroom Juice collected,0,20,74249,1,0,1,34504
272779,Frostwolves thawed,0,12,78870,1,0,0,34505
272897,Young Prowlers calmed,0,7,79432,1,0,0,34639
272904,Zorka's Void Gates Sealed,0,4,79520,0,0,1,34660
272913,Draenei spirits released,0,8,79499,0,0,0,34667
272914,Demons slain,0,10,79503,1,0,1,34667
272916,Shadowgaze Batriders shot down,0,4,88822,2,0,2,34667
272965,Orc Soldiers slain,0,30,79581,0,0,0,34723
272972,Iron Horde Commander Kull'krosh slain,0,1,79588,3,0,1,34723
272973,Highmaul Emissary Rezlorg slain,0,1,79651,2,0,2,34723
272974,Dock Supply Crates destroyed,2,12,230653,1,0,3,34723
272975,,0,8,79658,1,0,0,34728
272976,,0,1,79681,2,0,1,34728
272977,,1,14,111559,0,0,2,34728
273017,Frenzied Ancient slain,0,1,79409,0,1,1,34639
273119,,0,6,79544,1,0,0,34660
273213,Pale slain,0,12,76534,0,0,0,34724
273214,Egg Sacs destroyed,0,15,76548,1,0,1,34724
273215,Gorg the Host slain,0,1,76496,2,0,2,34724
273631,,0,6,75815,0,0,0,35236
273632,,1,20,112994,1,0,1,35236
273633,,0,6,75815,0,0,0,35237
273634,,1,20,112994,1,0,1,35237
273681,,0,3,79148,2,0,1,34076
273769,Shiverblood Pale slain,0,10,78758,3,0,3,34501
273770,,0,15,81902,0,0,0,35379
273799,,0,1,82202,3,0,1,35379
273800,,0,1,82205,1,0,2,35379
273801,,0,1,82209,2,0,3,35379
273843,Orc spirits slain,0,6,82220,1,0,2,34076
273921,Bloodmaul Stronghold Assaulted,15,1,0,0,0,0,35637
273928,Bloodmaul Stronghold Assaulted,15,1,0,0,0,0,35641
273938,Barrel of Harvested Toxin destroyed,2,3,233035,1,0,1,35649
273939,Shattered Hand Slain,0,20,82130,3,0,0,35649
274153,Frenzied Podlings slain,0,20,83450,0,0,0,35881
274154,Ancient jars looted,0,8,83467,1,0,3,35881
274155,Malkor slain,0,1,83452,2,0,2,35881
274241,Darktide Roost Assaulted,15,1,0,0,0,0,35974
274244,Darktide Roost Assaulted,15,1,0,0,0,0,35977
274299,Arakkoa Forces Thwarted,15,1,0,0,0,0,36069
274300,Arakkoa Forces Thwarted,15,1,0,0,0,0,36070
274611,,0,10,78791,0,0,1,34505
274612,Grimfrost ogres slain,0,8,72953,0,0,1,33145
274613,Pale creatures slain,0,12,76382,0,0,0,34504
274617,Shadow Council Assaulted,15,1,0,0,0,0,36338
274629,Socrethar's Rise Disrupted,15,1,0,0,0,0,36347
274630,Socrethar's Rise Disrupted,15,1,0,0,0,0,36348
274647,Defeat Normal Enemies,0,100,85000,2,92,0,36338
274650,Defeat Lieutenant Enemies,0,34,85195,3,92,1,36338
274652,Defeat Minus Enemies,0,500,85197,1,92,3,36338
274653,Captured Guards,0,34,85103,12,92,4,36338
274655,Caches,2,20,234433,5,92,6,36338
274656,Defeat Miniboss Enemies,0,4,85200,4,92,7,36338
274657,Siege Cannons,0,45,84754,6,92,8,36338
274658,Soul Crystals,0,50,83856,7,92,9,36338
274659,Fel Fires,0,50,84279,8,92,10,36338
274672,Blackrock Foundry Assaulted,15,1,0,0,0,0,36383
274673,Kill Iron Horde,0,100,85228,1,92,1,36383
274674,Kill Iron Horde,0,20,85229,2,92,0,36383
274675,Kill Iron Horde,0,5,85230,3,92,2,36383
274678,Slay Minus Mobs,0,500,85260,1,92,0,35637
274679,Slay Normal Mobs,0,100,85261,2,92,1,35637
274680,Collect/Interact (Minor),0,50,85265,3,92,2,35637
274683,Slay High HP Mobs,0,34,82531,4,92,4,35637
274717,Slay Minus Mobs,0,500,85260,1,92,0,35641
274718,Slay Normal Mobs,0,100,85261,2,92,1,35641
274719,Collect/Interact (Minor),0,50,85265,3,92,2,35641
274721,Slay High HP Mobs,0,34,82531,4,92,4,35641
274723,Slay Elite Mobs,0,13,85262,5,92,6,35641
274724,Slay Rare Elites/Events/Minibosses,0,5,85263,6,92,7,35641
274729,Defeat Minus Enemies,0,500,85079,1,92,0,36347
274730,Defeat Tier 1 Enemies,0,100,85319,2,92,1,36347
274731,Defeat Tier 2 Enemies,0,77,81542,3,92,2,36347
274732,Defeat Tier 2+ Enemies,0,34,84945,4,92,3,36347
274733,Defeat Tier 3 Enemies,0,20,84908,5,92,4,36347
274734,Defeat Tier 3+ Enemies,0,16,81543,6,92,5,36347
274735,Defeat Minibosses,0,4,85321,7,92,6,36347
274736,Defeat Minus Enemies,0,500,85079,1,92,0,36348
274737,Defeat Tier 1 Enemies,0,100,85319,2,92,1,36348
274738,Defeat Tier 2 Enemies,0,77,81542,3,92,2,36348
274739,Defeat Tier 2+ Enemies,0,34,84945,4,92,3,36348
274740,Defeat Tier 3 Enemies,0,20,84908,5,92,4,36348
274741,Defeat Tier 3+ Enemies,0,16,81543,6,92,5,36348
274742,Defeat Minibosses,0,4,85321,7,92,6,36348
274748,Arkonite Crystals,0,10,85370,9,92,12,36338
274753,Orc Bodies,0,100,85393,11,92,13,36338
274791,Varashian Vilefang slain,0,5,85429,2,0,2,35649
274797,Taskmaster Banegore slain,0,1,85219,0,0,3,35649
274799,Monsters slain,0,25,81786,0,0,0,36473
274800,Ancient Seedbearer burned,0,5,85524,1,0,1,36473
274803,Goren or Gronnling slain,0,15,85528,0,0,2,36476
274804,Grom'kar Grunt slain,0,10,75091,1,0,3,36476
274806,Dying Grom'kar Peon executed,0,8,85540,2,0,0,36476
274816,,0,5,81246,0,0,1,36480
274817,,0,20,81775,1,0,4,36480
274818,Goren Eggs broken,0,15,85567,2,0,5,36480
274832,Blackrock Foundry Assaulted,15,1,0,0,0,0,36489
274833,Kill Iron Horde,0,100,85228,1,92,1,36489
274834,Kill Iron Horde,0,20,85229,2,92,0,36489
274835,Kill Iron Horde,0,5,85230,3,92,2,36489
274836,Pillars of Fate Disrupted,15,1,0,0,0,0,36490
274837,Defeat Minus Enemies,0,100,85609,2,92,0,36490
274838,Defeat Tier 1 Enemies,0,40,85607,3,92,1,36490
274839,Defeat - Elite,0,20,85608,4,92,2,36490
274840,Defeat Rare Elites,0,9,85611,6,92,3,36490
274841,Defeat - 5-man Miniboss,0,5,85037,7,92,4,36490
274844,Defeat - Vignette / Rare Elite,0,13,85610,5,92,7,36490
274845,Pillars of Fate Disrupted,15,1,0,0,0,0,36491
274846,Defeat Tier 1 Enemy,0,100,85609,2,92,0,36491
274847,Defeat Tier 2 Enemies,0,40,85607,3,92,1,36491
274848,Defeat - Elite,0,20,85608,4,92,2,36491
274849,Defeat - Vignette / Rare Elite,0,13,85610,5,92,7,36491
274850,Defeat Rare Elites,0,9,85611,6,92,3,36491
274851,Defeat - 5-man Miniboss,0,5,85037,7,92,4,36491
274855,Infested slain,0,12,81617,0,0,0,36500
274857,,0,1,81634,1,1,2,36500
274858,Kill Iron Horde Vignette,0,10,85726,5,92,0,35974
274859,Kill Iron Horde Soldier,0,100,83800,8,92,1,35974
274862,Collect Rylak Eggs,2,100,234587,3,92,2,35974
274868,,0,10,81575,0,0,1,36504
274869,,0,1,82062,1,1,3,36504
274870,,0,3,81553,2,0,4,36504
274874,Collect Giant Rylak Eggs,2,20,235826,1,92,3,35974
274875,Collect Large Rylak Eggs,2,34,235823,2,92,4,35974
274876,Kill Iron Horde Elite,0,34,85728,6,92,5,35974
274877,Kill Iron Horde Boss,0,50,85727,7,92,6,35974
274878,Kill Iron Horde Peon,0,334,85729,9,92,7,35974
274879,Injured Rylak,3,100,78183,10,92,8,35974
274880,Toxic Slimemold squished,0,25,85732,2,0,1,36500
274881,Collect Giant Rylak Eggs,2,20,235826,1,92,0,35977
274882,Collect Large Rylak Eggs,2,34,235823,2,92,1,35977
274883,Collect Rylak Eggs,2,100,234587,3,92,2,35977
274884,Kill Iron Horde Vignette,0,10,85726,5,92,3,35977
274885,Kill Iron Horde Elite,0,34,85728,6,92,4,35977
274886,Kill Iron Horde Boss,0,50,85727,7,92,5,35977
274887,Kill Iron Horde Soldier,0,100,83800,8,92,6,35977
274888,Kill Iron Horde Peon,0,334,85729,9,92,7,35977
274889,Injured Rylak,3,100,78183,10,92,8,35977
274900,,0,12,85770,0,0,0,36520
274903,,0,1,85733,2,1,1,36520
274909,Jungle Axebeak Freed,0,6,85810,1,0,2,36520
274913,,0,5,85693,0,0,3,36563
274914,Hydra Egg broken,0,25,85786,1,0,4,36563
274918,,0,7,82322,0,0,0,36564
274919,Pollen Pod destroyed,2,10,235903,1,0,1,36564
274920,,0,1,82372,2,1,2,36564
274922,Stonemaul ogre slain,0,20,75819,0,0,0,36566
274924,,0,1,79623,2,1,2,36566
274925,,0,1,79621,3,1,3,36566
274926,,0,1,79626,4,1,4,36566
274927,Keg of Grog destroyed,2,15,235916,1,0,1,36566
274933,,0,12,80744,0,0,0,36571
274934,Thorny Leafling punted,0,20,85815,1,0,1,36571
274935,,0,6,85807,2,0,2,36571
274943,Rylak Eggs destroyed,0,5,85877,1,0,0,36590
274945,Pale Orcs slain,0,15,85883,0,0,1,36590
274946,Ritual of Siphoning Disrupted,0,1,85884,2,0,2,36590
274947,Ritual of the Void Disrupted,0,1,85885,3,0,3,36590
274948,Ritual of Destruction Disrupted,0,1,85886,4,0,4,36590
274949,Stored Projection Slain,0,1,85887,5,0,5,36590
274969,Brimfury slain,0,8,85924,0,0,3,36603
274970,,0,15,85960,1,0,4,36603
274971,,0,3,85942,2,0,5,36603
275041,,0,15,86149,0,0,0,36660
275043,,0,1,86076,2,1,1,36660
275044,,0,1,86135,3,1,3,36660
275045,,0,1,86138,4,1,4,36660
275047,Slay Elite Mobs,0,13,85262,5,92,6,35637
275048,Slay Rare Elites/Events/Minibosses,0,5,85263,6,92,7,35637
275051,Free captured Ravenspeakers,0,6,86159,1,0,2,36660
275084,Burn Banner,2,50,236215,11,92,9,35977
275086,Kill Iron Horde,0,200,86298,4,92,3,36383
275096,Destroy Training Manuals,2,100,236277,5,92,4,36383
275143,,0,25,86399,0,0,0,36792
275148,,0,12,86294,1,0,5,36792
275150,Free Rangari Prisoners,2,50,236421,6,92,5,36383
275196,Shadow Council Assaulted,15,1,0,0,0,0,36807
275212,Kill Normal Dudes,0,100,87370,2,92,15,36807
275213,Shadow Council Assaulted,15,1,0,0,0,0,36808
275214,Defeat Minus Enemies,0,500,85197,1,92,3,36808
275215,Defeat Normal Enemies,0,100,85000,2,92,0,36808
275216,Defeat Lieutenant Enemies,0,34,85195,3,92,1,36808
275218,Defeat Miniboss Enemies,0,4,85200,4,92,7,36808
275221,Caches,2,20,234433,5,92,6,36808
275222,Siege Cannons,0,45,84754,6,92,8,36808
275223,Soul Crystals,0,50,83856,7,92,9,36808
275224,Fel Fires,0,50,84279,8,92,10,36808
275225,Sha'tari Belongings,0,34,84997,10,92,11,36808
275226,Arkonite Crystals,0,10,85370,9,92,12,36808
275227,Orc Bodies,0,100,85393,11,92,13,36808
275228,Captured Guards,0,34,85103,12,92,14,36808
275229,Shadow Council Assaulted,15,1,0,0,0,0,36809
275230,Kill Weak Dudes,0,334,87378,1,92,15,36809
275236,Exploit the conflict at the Broken Precipice,15,1,0,0,0,0,36816
275237,Defeat Minus Enemies,0,100,87640,1,92,0,36816
275238,Defeat Tier 1 Enemies,0,25,87642,2,92,1,36816
275239,Defeat - Elite,0,13,87644,3,92,2,36816
275240,Defeat - Rare Elite,0,7,87645,4,92,7,36816
275241,Defeat Vignette,0,6,87646,5,92,3,36816
275242,Recover Artifacts,2,100000,237453,7,92,4,36816
275243,Exploit the conflict at the Broken Precipice,15,1,0,0,0,0,36817
275244,Defeat Minus Enemies,0,100,87640,1,92,0,36817
275245,Defeat Tier 1 Enemies,0,25,87642,2,92,1,36817
275246,Defeat - Elite,0,13,87644,3,92,2,36817
275247,Defeat - Rare Elite,0,7,87645,4,92,7,36817
275248,Defeat Vignette,0,6,87646,5,92,3,36817
275249,Recover Artifacts,2,100000,237453,7,92,4,36817
275250,Disrupt the Warsong,15,1,0,0,0,0,36818
275251,Defeat Minus Enemies,0,100,86955,1,92,0,36818
275252,Defeat Tier 1 Enemies,0,34,86957,2,92,1,36818
275253,Defeat - Elite,0,13,86958,3,92,2,36818
275255,Defeat Rare Elites,0,7,87574,4,92,3,36818
275256,Defeat - 5-man Miniboss,0,5,86960,5,92,4,36818
275257,Disrupt the Warsong,15,1,0,0,0,0,36819
275258,Defeat Minus Enemies,0,100,86955,1,92,0,36819
275259,Defeat Tier 1 Enemies,0,34,86957,2,92,1,36819
275260,Defeat - Elite,0,13,86958,3,92,2,36819
275262,Defeat Rare Elites,0,7,87574,4,92,3,36819
275263,Defeat - 5-man Miniboss,0,5,86960,5,92,4,36819
275264,Dominate the Gorian Proving Grounds,15,1,0,0,0,0,36820
275265,Defeat Minus Enemies,0,25,88200,1,92,0,36820
275266,Defeat Tier 1 Enemies,0,13,88201,2,92,1,36820
275267,Defeat - Elite,0,9,88202,3,92,2,36820
275268,Defeat - Vignette / Rare Elite,0,4,88203,4,92,7,36820
275270,Defeat - Vignette,0,2,88204,5,92,4,36820
275271,Dominate the Gorian Proving Grounds,15,1,0,0,0,0,36821
275272,Defeat Minus Enemies,0,25,88200,1,92,0,36821
275273,Defeat Tier 1 Enemies,0,13,88201,2,92,1,36821
275274,Defeat - Elite,0,9,88202,3,92,2,36821
275275,Defeat - Vignette / Rare Elite,0,4,88203,4,92,7,36821
275277,Defeat - Vignette Mob,0,2,88204,5,92,4,36821
275281,Magnarok Assaulted,15,1,0,0,0,0,36826
275290,Magnarok Assaulted,15,1,0,0,0,0,36827
275299,,0,1,86455,3,1,1,36792
275300,,0,1,86461,4,1,2,36792
275301,,0,1,86482,5,1,3,36792
275316,Detonate Iron Grenades,0,6,86524,2,0,4,36792
275324,Defeat Tier 0 Enemy,0,200,86556,1,92,5,36491
275325,Defeat Tier 0 Enemies,0,200,86556,1,92,5,36490
275388,Kill Iron Horde,0,200,86298,4,92,3,36489
275389,Destroy Training Manuals,2,100,236277,5,92,4,36489
275390,Free Laughing Skull Prisoners,2,50,236444,6,92,5,36489
275431,Burn Wolf Den,0,17,86992,6,92,5,36819
275432,Recover Stolen Goods,0,50,86947,9,92,6,36819
275433,Burn Wolf Den,0,17,86992,6,92,5,36818
275434,Recover Stolen Goods,0,50,86947,9,92,6,36818
275436,Burn Barracks,0,17,87017,7,92,7,36819
275439,Burn Tavern,0,17,87024,8,92,8,36819
275440,Burn Barracks,0,17,87017,7,92,7,36818
275441,Burn Tavern,0,17,87024,8,92,8,36818
275617,Kill Lieutenant Dudes,0,34,87371,3,92,0,36807
275619,Defeat Bonus Lieutenant,0,34,87373,5,92,2,36807
275620,Destroy Warsong Totems,0,50,87264,10,92,9,36818
275621,Destroy Warsong totem,0,50,87264,10,92,9,36819
275625,Kill Weak Dudes,0,334,87378,1,92,3,36807
275626,Kill Boss Dudes,0,5,87377,4,92,4,36807
275627,Burn Sargerei Missives,0,67,87364,6,92,5,36807
275628,Free Fel-Rune Citizen,0,134,86869,7,92,6,36807
275630,Free Shadow Prison Citizen,0,25,86599,8,92,7,36807
275689,"Fight, Explore, Consume, Evolve",15,1,0,0,0,0,36860
275690,Consume - Ogre,0,200,87030,1,92,0,36860
275691,Consume - Arakkoa,0,200,87031,2,92,1,36860
275692,Consume - Goblin,0,200,87032,3,92,2,36860
275693,Consume - Pale,0,200,87033,4,92,3,36860
