ID,AnimKitBoneSetID,AnimKitPriorityID,ParentAnimKitConfigID
1,0,1,1
2,1,243,361
3,1,243,401
4,0,247,401
5,1,245,402
6,0,247,402
7,5,247,403
8,6,247,404
9,1,261,182
10,0,162,405
11,1,249,406
12,7,247,407
13,8,247,408
14,4,247,409
15,0,249,410
16,4,249,411
17,6,249,412
18,5,249,413
19,5,247,414
20,4,247,414
21,4,1,2
22,1,1,3
23,0,1,4
24,1,21,5
41,0,22,21
42,0,23,22
43,0,2,23
61,0,41,41
81,0,61,61
82,1,62,61
83,0,64,62
84,1,65,62
85,0,63,63
86,1,270,63
87,0,83,64
88,1,66,64
89,0,67,65
90,1,68,65
101,1,242,81
121,0,81,101
122,1,81,101
123,0,82,102
124,0,84,103
125,1,84,103
141,0,101,121
142,1,268,121
143,6,247,506
144,4,247,506
149,6,247,508
150,5,247,508
157,7,249,513
161,3,121,141
162,2,121,142
181,0,144,161
182,0,144,162
183,0,141,163
184,0,142,164
185,0,143,165
201,0,161,181
202,0,162,182
203,0,262,183
204,1,263,183
205,0,164,184
206,1,163,184
221,0,183,201
222,0,183,202
223,0,184,203
226,0,182,221
227,1,181,221
228,0,181,222
229,0,182,223
230,1,181,223
231,0,181,224
241,1,184,241
261,0,202,261
262,0,201,262
281,1,222,301
282,0,222,281
283,0,264,594
284,1,62,594
285,0,164,595
286,1,163,595
287,0,265,596
289,0,266,597
301,0,265,301
321,0,267,321
341,0,248,341
342,0,241,342
343,0,243,343
344,0,244,344
345,0,247,345
346,0,241,346
347,0,243,347
348,1,247,348
349,1,241,349
350,1,243,350
351,1,244,351
361,0,247,361
363,0,241,362
364,1,243,362
365,0,243,363
366,1,247,363
367,0,243,364
368,1,241,364
369,0,246,365
370,0,248,366
371,0,249,367
372,0,242,368
373,0,245,369
374,0,247,370
375,1,241,370
376,0,241,371
377,1,247,371
378,0,244,372
391,4,241,382
392,3,241,383
393,2,241,384
394,8,241,385
395,7,241,386
467,0,269,661
468,0,164,662
469,1,266,662
470,0,262,663
471,1,265,663
472,0,248,664
490,0,164,682
491,1,163,682
492,6,248,683
493,5,248,683
495,0,243,685
497,0,242,687
498,0,242,688
499,0,242,689
500,0,249,690
501,0,241,691
502,0,241,692
503,4,245,693
504,0,248,694
505,1,248,695
507,6,241,697
508,5,241,697
511,1,246,700
538,0,267,707
540,2,249,709
541,3,249,709
542,2,247,710
543,2,249,711
544,3,249,712
545,2,249,713
546,3,249,713
547,4,249,713
548,0,243,714
549,1,248,714
550,2,247,715
551,3,247,715
552,3,247,716
559,0,144,719
587,0,243,731
588,1,249,731
589,8,249,732
590,5,244,733
591,3,247,734
592,2,247,734
597,3,241,737
598,2,241,737
636,1,247,749
638,3,244,751
639,2,244,751
