ID,HouseDecorID,DecorSubcategoryID
29,80,16
45,81,16
58,495,2
61,494,1
65,377,18
66,483,6
67,484,6
68,478,6
69,378,3
70,389,8
71,379,13
72,488,9
73,487,9
74,479,9
75,480,9
77,498,14
81,383,16
82,496,5
85,387,5
87,497,5
88,373,6
89,390,6
91,374,6
92,399,6
93,521,25
94,520,26
95,518,1
97,519,1
132,582,26
134,584,26
136,586,26
142,592,26
163,527,4
164,529,4
165,530,4
166,528,4
167,533,4
168,534,4
169,535,4
170,536,4
171,526,4
172,525,4
173,524,4
174,523,4
175,522,4
177,562,25
201,676,2
202,677,14
204,678,14
207,679,5
208,674,1
210,673,6
221,726,18
222,715,6
223,714,1
224,716,6
226,717,14
227,718,14
228,759,13
229,764,13
230,760,11
231,761,11
232,755,13
233,765,13
234,751,13
235,749,13
236,772,26
237,773,27
238,771,26
239,769,12
240,767,11
241,756,11
242,768,11
243,766,11
244,757,12
245,758,12
246,754,12
247,753,12
248,752,12
264,750,11
265,762,11
266,763,11
267,829,1
268,828,1
269,826,1
270,825,2
272,866,5
273,948,16
274,949,16
276,930,6
277,925,6
278,929,2
281,931,6
282,926,6
283,928,18
285,388,12
286,840,12
288,838,6
290,927,27
291,863,1
293,492,9
302,941,17
304,942,17
305,936,17
306,1044,14
307,940,17
308,934,19
309,939,19
310,865,14
311,944,14
312,862,5
313,932,5
314,935,5
315,937,9
316,938,9
319,943,6
320,933,6
321,854,6
322,922,6
323,923,10
324,924,10
325,860,2
326,859,1
327,855,13
328,857,13
335,1119,14
336,1122,1
337,1123,6
338,1168,14
339,1180,14
340,1181,14
341,1190,6
342,1195,6
345,1176,5
346,1198,5
348,1275,1
349,1268,6
350,1273,14
351,1269,6
352,1120,9
353,1260,1
354,1259,1
355,1118,9
356,1231,11
358,1235,6
359,1241,11
360,1242,10
361,1243,10
362,1244,6
363,1251,15
364,1257,5
365,1270,6
367,1279,11
368,1280,6
369,1281,14
370,1282,14
373,1291,9
374,1292,9
375,1294,12
376,1295,11
378,1297,11
379,1307,6
380,1308,6
381,1318,6
382,1319,21
383,1320,18
384,1325,6
385,1326,6
386,1354,13
389,1083,6
390,1083,3
391,1121,11
392,1274,11
393,1276,11
394,1277,7
400,1258,5
401,1267,5
402,1410,6
403,1415,2
404,1417,13
407,1435,16
