ID,SpellID,Priority,Flags,ClassID,RaceID,ChrSpecID
3,365350,7,7,0,0,62
5,198111,0,9,0,0,62
7,45438,1,11,0,0,62
9,190319,7,7,0,0,63
10,45438,1,11,0,0,63
11,198111,0,9,0,0,63
12,49028,6,5,0,0,250
13,194844,0,5,0,0,250
14,48707,2,11,0,0,250
15,55233,0,11,0,0,250
16,48792,1,11,0,0,250
17,279302,7,5,0,0,251
20,48707,2,11,0,0,251
21,48792,1,11,0,0,251
22,12472,0,7,0,0,64
24,198144,0,7,0,0,64
25,45438,1,11,0,0,64
26,235219,8,5,0,0,64
27,342245,2,9,0,0,62
28,19574,6,7,0,0,253
30,193530,0,7,0,0,253
32,186265,1,11,0,0,253
33,109304,3,9,0,0,253
34,31884,6,7,0,0,65
35,216331,6,7,0,0,65
37,633,9,5,0,0,65
38,6940,3,11,0,0,65
39,1022,4,11,0,0,65
40,642,1,11,0,0,65
41,186289,0,7,0,0,255
43,266779,0,7,0,0,255
44,186265,1,11,0,0,255
45,109304,3,9,0,0,255
46,31884,0,5,0,0,66
47,152262,0,5,0,0,66
49,1022,0,11,0,0,66
50,204018,0,11,0,0,66
51,642,1,11,0,0,66
52,86659,0,11,0,0,66
53,200183,6,7,0,0,257
56,215769,0,9,0,0,257
57,47788,2,11,0,0,257
60,228260,5,5,0,0,258
61,10060,6,7,0,0,258
63,47585,2,11,0,0,258
68,1856,4,9,0,0,259
69,31224,2,11,0,0,259
70,5277,3,11,0,0,259
72,13750,7,7,0,0,260
73,51690,8,5,0,0,260
76,31224,2,11,0,0,260
77,121471,7,7,0,0,261
78,185313,8,5,0,0,261
81,212182,10,7,0,0,261
82,31224,2,11,0,0,261
83,5277,3,11,0,0,261
84,1856,4,9,0,0,261
85,114050,7,5,0,0,262
88,191634,8,5,0,0,262
89,108271,1,11,0,0,262
95,114051,7,7,0,0,263
96,108271,1,11,0,0,263
97,204336,5,9,0,0,263
100,204336,5,9,0,0,264
101,204362,9,7,0,0,263
102,204361,9,7,0,0,263
103,114052,8,7,0,0,264
104,108280,8,7,0,0,264
105,108271,1,11,0,0,264
107,98008,7,7,0,0,264
112,205180,6,7,0,0,265
113,108416,2,11,0,0,265
114,104773,1,11,0,0,265
116,265187,7,7,0,0,266
117,119910,5,5,0,0,266
120,108416,2,11,0,0,266
121,104773,1,11,0,0,266
122,1122,6,5,0,0,267
124,108416,2,11,0,0,267
125,104773,1,11,0,0,267
127,202335,0,5,0,0,268
129,115203,0,11,0,0,268
130,122278,0,10,0,0,268
133,123904,0,7,0,0,269
135,115203,1,11,0,0,269
138,122470,4,9,0,0,269
141,115310,5,5,0,0,270
142,116849,1,11,0,0,270
145,115203,2,11,0,0,270
146,231895,0,7,0,0,70
147,31884,7,5,0,0,70
149,1022,3,11,0,0,70
150,210256,5,11,0,0,70
151,184662,0,11,0,0,70
152,642,1,11,0,0,70
153,102560,6,7,0,0,102
154,194223,5,7,0,0,102
156,22812,1,11,0,0,102
158,78675,4,5,0,0,102
159,6552,6,5,0,0,71
160,107574,7,7,0,0,71
164,97462,1,11,0,0,71
165,118038,2,11,0,0,71
166,102543,6,7,0,0,103
168,106951,0,7,0,0,103
169,61336,2,11,0,0,103
174,1719,0,7,0,0,72
176,97462,1,11,0,0,72
177,184364,0,11,0,0,72
178,102558,0,7,0,0,104
179,22842,0,9,0,0,104
180,22812,0,11,0,0,104
181,61336,0,11,0,0,104
182,206579,0,5,0,0,73
183,107574,7,7,0,0,73
184,1160,0,9,0,0,73
185,12975,0,11,0,0,73
186,871,0,11,0,0,73
187,97462,1,11,0,0,73
189,212084,8,5,0,0,581
191,204021,0,11,0,0,581
192,207810,0,9,0,0,581
193,205604,4,9,0,0,581
194,187827,7,7,0,0,581
197,22812,1,11,0,0,105
199,102342,2,11,0,0,105
200,305497,0,9,0,0,105
201,191427,6,7,0,0,577
205,198589,1,11,0,0,577
207,205604,4,9,0,0,577
208,196718,2,9,0,0,577
213,33206,2,11,0,0,256
214,62618,3,9,0,0,256
216,288613,0,7,0,0,254
218,186265,1,11,0,0,254
219,109304,3,9,0,0,254
222,48792,1,11,0,0,252
223,48707,2,11,0,0,252
224,199448,3,11,0,0,65
329,6552,6,5,0,0,73
330,6552,6,5,0,0,72
332,212295,4,11,0,0,265
333,119910,5,5,0,0,265
334,221703,0,11,0,0,265
337,119910,5,5,0,0,267
338,212295,4,11,0,0,266
339,212295,4,11,0,0,267
342,57994,6,5,0,0,262
343,204336,5,9,0,0,262
345,57994,6,5,0,0,263
346,57994,6,5,0,0,264
348,1766,6,5,0,0,259
349,1766,6,5,0,0,260
350,1766,6,5,0,0,261
352,212182,10,7,0,0,259
353,212182,10,7,0,0,260
359,1856,4,9,0,0,260
360,19236,1,11,0,0,256
363,19236,1,11,0,0,258
364,34433,0,4,0,0,256
367,19236,1,11,0,0,257
368,64843,5,5,0,0,257
372,15487,4,5,0,0,258
377,498,2,11,0,0,65
378,228049,0,11,0,0,66
379,96231,0,5,0,0,66
380,6940,0,11,0,0,66
381,215652,0,5,0,0,66
382,96231,6,5,0,0,70
386,2139,6,5,0,0,62
387,2139,6,5,0,0,63
388,2139,6,5,0,0,64
389,321507,8,5,0,0,62
401,147362,5,5,0,0,254
402,147362,5,5,0,0,253
404,187707,0,5,0,0,255
406,740,5,5,0,0,105
407,29166,8,5,0,0,105
408,33891,7,5,0,0,105
412,106839,5,5,0,0,103
413,106839,0,5,0,0,104
415,183752,5,5,0,0,577
416,183752,6,5,0,0,581
418,47528,5,5,0,0,252
419,47528,5,5,0,0,251
420,47528,5,5,0,0,250
423,77606,0,5,0,0,250
426,1249658,6,7,0,0,251
427,51052,3,11,0,0,252
428,51052,3,11,0,0,251
429,51052,0,11,0,0,250
430,203203,0,5,0,0,250
431,116705,4,5,0,0,269
432,116705,0,5,0,0,268
435,101643,0,9,0,0,268
438,119582,0,5,0,0,268
440,29166,7,5,0,0,102
442,287081,0,11,0,0,252
447,2094,5,9,0,0,261
448,2094,5,9,0,0,259
449,2094,5,9,0,0,260
450,853,8,5,0,0,65
451,5246,3,9,0,0,71
452,107570,10,5,0,0,71
453,5211,3,5,0,0,105
454,6789,0,5,0,0,267
455,119381,7,5,0,0,270
456,119381,7,5,0,0,269
558,375087,6,7,0,0,1467
560,363534,5,5,0,0,1468
561,370960,7,5,0,0,1468
562,370537,0,0,0,0,1468
563,357210,3,9,0,0,1468
564,357210,0,5,0,0,1467
565,370388,0,5,0,0,1468
566,370388,0,5,0,0,1467
567,370553,0,0,0,0,1468
569,374251,0,8,0,0,1468
570,374251,0,8,0,0,1467
571,378441,4,9,0,0,1468
572,378441,4,9,0,0,1467
575,363916,1,11,0,0,1468
576,363916,1,11,0,0,1467
578,59752,0,0,0,1,1446
579,7744,0,0,0,5,1446
580,20572,0,0,1,2,1446
584,20572,0,0,3,2,1448
586,20572,0,0,4,2,1453
587,20572,0,0,6,2,1455
588,33702,0,0,8,2,1449
589,33702,0,0,5,2,1452
590,33702,0,0,9,2,1454
591,33697,0,0,10,2,1450
592,33697,0,0,7,2,1444
593,20594,0,0,0,3,1446
594,58984,0,0,0,4,1446
595,20549,0,0,0,6,1446
596,20589,0,0,0,7,1446
597,26297,0,0,0,8,1446
598,69070,0,0,0,9,1446
599,28730,0,0,8,10,1449
600,28730,0,0,9,10,1454
601,25046,0,0,4,10,1453
602,232633,0,0,5,10,1452
603,50613,0,0,6,10,1455
604,129597,0,0,10,10,1450
605,80483,0,0,3,10,1448
606,155145,0,0,2,10,1451
607,69179,0,0,1,10,1446
608,202719,0,0,12,10,1456
609,28880,0,0,1,11,1446
610,59544,0,0,5,11,1452
611,121093,0,0,10,11,1450
612,59543,0,0,3,11,1448
613,59542,0,0,2,11,1451
614,59545,0,0,6,11,1455
615,59547,0,0,7,11,1444
616,59548,0,0,8,11,1449
618,370626,0,0,4,11,1453
619,68992,0,0,0,22,1446
620,107079,0,0,0,25,1446
622,107079,0,0,0,26,1449
623,260364,0,0,0,27,1446
624,255654,0,0,0,28,1446
625,256948,0,0,0,29,1446
626,255647,0,0,0,30,1446
627,291944,0,0,0,31,1446
628,287712,0,0,0,32,1446
629,265221,0,0,0,34,1446
630,312411,0,0,0,35,1446
631,274738,0,0,0,36,1446
632,312916,0,0,0,37,1446
633,357214,0,0,0,70,1446
634,357214,0,0,0,52,1449
636,383005,7,5,0,0,1467
637,383005,7,5,0,0,1468
639,351338,5,5,0,0,1467
645,377509,0,9,0,0,1468
648,357170,6,5,0,0,1468
650,359816,0,1,0,0,1468
651,352278,4,9,0,0,64
652,55342,1,8,0,0,64
654,31661,9,5,0,0,64
657,342245,2,9,0,0,63
658,342245,2,9,0,0,64
661,352278,4,9,0,0,62
662,352278,4,8,0,0,63
663,31661,9,5,0,0,63
664,31661,9,5,0,0,62
666,86949,8,8,0,0,63
668,8122,3,9,0,0,258
670,421453,7,5,0,0,256
673,10060,7,5,0,0,257
674,10060,8,5,0,0,256
679,47476,8,5,0,0,252
680,47476,0,5,0,0,251
682,370965,7,5,0,0,577
689,124974,0,9,0,0,104
690,391528,6,5,0,0,105
691,391528,6,5,0,0,102
692,391528,6,5,0,0,103
693,391528,0,5,0,0,104
695,319454,0,9,0,0,104
696,319454,0,9,0,0,105
700,132158,8,5,0,0,105
701,109248,0,5,0,0,255
707,109248,0,5,0,0,253
710,264735,2,11,0,0,254
711,388035,0,9,0,0,254
712,474421,4,9,0,0,254
713,19577,4,9,0,0,255
714,19577,4,9,0,0,253
715,633,9,5,0,0,70
716,633,0,9,0,0,66
718,376079,9,5,0,0,71
719,376079,8,5,0,0,72
720,107574,7,7,0,0,72
728,378081,0,5,0,0,264
732,185313,0,4,0,0,260
733,185313,0,4,0,0,259
736,360194,7,7,0,0,259
738,378441,4,9,0,0,1473
739,383005,8,5,0,0,1473
740,377509,0,9,0,0,1473
742,351338,5,5,0,0,1473
743,370553,0,5,0,0,1473
744,363916,1,11,0,0,1473
748,395152,0,5,0,0,1473
749,396286,0,5,0,0,1473
750,403631,3,5,0,0,1473
751,360827,0,9,0,0,1473
752,404977,0,7,0,0,1473
754,205021,7,5,0,0,64
755,5277,3,11,0,0,260
804,436344,0,0,0,84,1446
805,436344,0,0,0,85,1449
806,406732,0,5,0,0,1473
807,372048,2,9,0,0,1473
