ID,Name_lang,Name1_lang,Mask_ID,Flags
144,Bloodsail Admiral %s,Bloodsail Admiral %s,111,0
1017,%s of the Magram,%s of the Magram,1,0
1018,%s of the Gelkis,%s of the Gelkis,2,0
1224,%s the Alchemist,%s the Alchemist,3,0
1225,%s the Blacksmith,%s the Blacksmith,0,0
1227,%s the Enchanter,%s the Enchanter,4,0
1228,%s the Engineer,%s the Engineer,5,0
1229,%s the Leatherworker,%s the Leatherworker,6,0
1230,%s the Tailor,%s the Tailor,7,0
1258,Private %s,Private %s,8,4
1259,Corporal %s,Corporal %s,9,4
1260,Sergeant %s,Sergeant %s,10,4
1261,Master Sergeant %s,Master Sergeant %s,11,4
1262,Sergeant Major %s,Sergeant Major %s,12,4
1263,Knight %s,Knight %s,13,4
1264,Knight-Lieutenant %s,Knight-Lieutenant %s,14,4
1265,Knight-Champion %s,Knight-Champion %s,15,4
1266,Lieutenant Commander %s,Lieutenant Commander %s,16,4
1267,Commander %s,Commander %s,17,4
1268,Marshal %s,Marshal %s,18,4
1269,Field Marshal %s,Field Marshal %s,19,4
1270,Grand Marshal %s,Grand Marshal %s,20,4
1271,Scout %s,Scout %s,21,4
1272,Grunt %s,Grunt %s,22,4
1273,Sergeant %s,Sergeant %s,23,4
1274,Senior Sergeant %s,Senior Sergeant %s,24,4
1275,First Sergeant %s,First Sergeant %s,25,4
1276,Stone Guard %s,Stone Guard %s,26,4
1277,Blood Guard %s,Blood Guard %s,27,4
1278,Legionnaire %s,Legionnaire %s,28,4
1279,Centurion %s,Centurion %s,29,4
1280,Champion %s,Champion %s,30,4
1281,Lieutenant General %s,Lieutenant General %s,31,4
1282,General %s,General %s,32,4
1283,Warlord %s,Warlord %s,33,4
1284,High Warlord %s,High Warlord %s,34,4
1309,Knight-Captain %s,Knight-Captain %s,35,4
1312,[DNT] Test %s,DNT Test %s,36,0
1313,Master Angler %s,Master Angler %s,37,0
1330,%s of the Nightclaw,%s of the Nightclaw,38,0
1352,%s the Harbinger of Darkness,%s the Harbinger of Darkness,39,0
