ID,Name,Field_12_0_0_64499_001,Field_9_1_5_39977_001
5,Global - Scene,0,340
7,Test - Darren's Test Scene 1,0,57
8,Test - Darren's Test Scene 2,0,495
9,Test - Darren's Test Scene 3,0,192
18,Test - Darren's Test Scene 4,0,110
19,Test - Kun Lai - JSB,0,40
22,Test - Darren's Test Scene 5,0,52
23,Kun Lai Summit - Horde Hub Swap Scene - JSB,0,360
25,Kun Lai Summit - Alliance Hub Swap Scene - JSB,0,141
26,Shen-zin Su - Healing Cinematic (CSA),0,77
27,Kun Lai Summit - Troll Scene - Reclaiming the Thunder God - JSB,0,428
41,Kun Lai Summit - Troll Scene - Resurrecting the Thunder God - JSB/ZTO,0,422
43,Jade Forest - Fresco Scene 01 - JSB,0,21
44,Jade Forest - MoP Horde Intro Scene - JSB,0,991
54,Vale of Eternal Blossoms - Lorewalker Story - S1: The Humble Grummle - ZTO - DEPRECATED,0,243
55,Stormwind - Varian Gets Punched - PRK,0,22
59,Stormstout Brewery - Virmen Keg - JMF,0,57
60,Siege of Niuzao Temple - The Mantid Army - SLG,0,17
61,Test - Darren's Test 4000+,0,19
63,Orgrimmar - MoP Horde Intro Scene - JSB,0,220
64,Townlong - Dread Shadow Fight - PRK,0,30
67,Vale of Eternal Blossoms - Lorewalker Story - S2: Between a Saurok and a Hard Place - ZTO,0,350
68,Townlong Steppes - Ring Worm Intro Camera (CSA),0,37
69,Townlong Steppes - Finale Spyglass Intro (CSA),0,24
147,"Jade Forest - Stay a While, and Listen - JSB",0,80
148,Great Wall - Mantid Army,0,71
154,Valley of the Four Winds - Stoneplow Finale - PRK,0,482
156,Cinematic Framework,0,314
157,"""""",0,2391
159,PetBattle (3.0) - Extended Attacks,0,581
163,PetBattle - Unique Spells - Mechanical,0,539
164,PetBattle - Unique Spells - Beast,0,344
166,PetBattle (3.0) - Pad Effects,0,595
168,PetBattle - Unique Spells - Flying,0,552
173,PetBattle 5.2.0,0,420
174,Vale of Eternal Blossoms - Lorewalker Story - S13: Ballad of Liu Lang - ZTO,0,190
176,Vale of Eternal Blossoms - Lorewalker Story - S3: Hozen in the Mist - ZTO,0,151
177,Vale of Eternal Blossoms - Lorewalker Story - S4: Fish Tales - ZTO,0,143
178,Vale of Eternal Blossoms - Lorewalker Story - S5: Dark Heart of the Mogu - ZTO,0,150
179,Vale of Eternal Blossoms - Lorewalker Story - S6: Heart of the Mantid Swarm - ZTO,0,83
180,Vale of Eternal Blossoms - Lorewalker Story - S7: What is Worth Fighting For - ZTO ,0,104
181,Vale of Eternal Blossoms - Lorewalker Story - S10: Song of the Yaungol - ZTO,0,107
182,Vale of Eternal Blossoms - Lorewalker Story - S12: The Seven Burdens of Shaohao - ZTO,0,157
184,PetBattle - Unique Spells - Aquatic,0,161
185,Item - RAM - Alerage Keg,0,49
186,Jade Forest - Alliance - Lorewalker Cho Intro - Dream Brew - ZTO,0,186
188,PetBattle - Unique Spells - Walls,0,293
189,PetBattle - Unique Spells - Critter,0,180
190,Dustwallow Marsh - Theramore Explosion Scene - JSB,0,329
191,MoP - KS - Tiger Temple Monks - ZTO,0,1
192,Dread Wastes - Mantid Swarm Small - ZTO,0,117
195,Jade Forest - Sha of Doubt Scene - JSB,0,95
196,MoP - KS - Tiger Temple Arena - ZTO,0,17
197,Item - RAM - Flip Table Scene,0,80
198,PetBattle - Unique Spells - Magic,0,40
200,Jade Forest - Temple Intro - PRK,0,59
201,Dread Wastes - Klaxxi'Vess Assault - ZTO,0,233
202,Jade Forest - Serpent Scene - PRK,0,98
205,Veiled Stair - Cave Saurok - ZTO (NYI),0,64
206,Dread Wastes - Mantid Swarm Linear - ZTO,0,24
207,Dread Wastes - Klaxxi'Vess Assault v2 - ZTO,0,74
208,Legendary 5.0 - Chapter 01 - Tavern Intro - Ally - DGK,0,192
209,PetBattle - Unique Spells - Humanoid,0,221
210,Jade Forest - Horde Gunship Crash v2 - ZTO (NYI),0,7
211,Kun Lai Summit - Yaungol Boss Scene - JSB,0,157
212,MoP - Dread Wastes - Klaxxi'Vess Finale - ZTO,0,411
213,"MoP - Kun-Lai Summit - Zouchin Village - ""Enemies at our Door"" - ZTO",0,83
214,Kun Lai Summit - Celestial Gate Scene - JSB,0,292
215,Legendary 5.0 - Chapter 01 - Tavern Intro - Globe Test - DGK,0,17
216,Test - Darren's Test Relative Motion,0,12
217,Test - Darren's Test Screen Effects,0,2
218,MoP - Jade Forest - Serpent Rider Race - ZTO,0,15
219,Dread Wastes - Bind The Glamour - PRK,0,53
221,Jade Forest - Twinspire Keep - Bomb 01 (Imps) - PRK,0,203
222,Jade Forest - Twinspire Keep - Bomb 02 (Beholder) - PRK,0,18
223,Jade Forest - Twinspire Keep - Bomb 03 (Munitions) - PRK,0,38
224,Jade Forest - Twinspire Keep - Bomb 04 (Demolishers) - PRK,0,20
225,PetBattle - Unique Spells - Elemental,0,157
227,Jade Forest - MoP Horde Intro Scene REVISED - JSB,0,28
228,Jade Forest - MoP Horde Intro Scene REVISED 02 - JSB,0,402
229,Jade Forest - Garroshar Point - Strafing Runs - ZTO,0,137
234,Legendary 5.0 - Chapter 01 - Tavern Intro - Horde - DGK,0,25
235,Jade Forest - Garroshar Point - Strafing Runs - Relative - ZTO,0,66
236,Test - Darren's Test Missiles,0,15
237,Jade Forest - Garroshar Point - Crashing Planes - Relative - ZTO ,0,125
238,PetBattle - Unique Spells - Undead,0,124
239,Stormwind - The Skyfire: zto - Bomber Patrols,0,44
241,Jade Forest - Garroshar Point - Naval Finale - ZTO,0,377
244,MoP - KS - Tiger Temple - 10' Pole - ZTO,0,18
245,Legendary 5.0 - Chapter 04 - Finale Spell Effects - DGK,0,64
246,Jade Forest - MoP ALLIANCE Intro Scene - OLD,0,9
247,Test - Darren's Test Local,0,3
248,Jade Forest - MoP ALLIANCE Intro Scene - JSB,0,456
249,Test - Darren's Test Vertex Effects,0,4
251,Jade Forest - Thunder Hold - Finale - Part 1 of 2 - ZTO,0,142
252,Jade Forest - Thunder Hold - Finale - Part 2 of 2 - ZTO (OLD),0,153
253,Test - Darren's Test Roll,0,1
254,Jade Forest - Thunder Hold - Finale - Part 2 of 2 - ZTO,0,205
255,Jade Forest - Thunder Hold:zto - Flight Spline Test,0,4
256,MoP - Fade to Black Test - ZTO,0,6
259,Test - Darren's Test Item Replacement,0,8
260,Jade Forest - Fresco Scene 02 - JSB,0,5
263,Jade Forest - Anduin Hozen Scene - JSB,0,247
264,VFW: (DLA) - Lotus Farm - Golden Dream,0,28
269,Krasaran Wilds - PVP Hubs - Goblin Escape Pod (relative)- ZTO,0,20
270,Krasarang Wilds 5.1 - Domination Point - Cannon Fire (zto),0,34
273,Krasarang Wilds 5.1 - Domination Point - Demolisher Detonation (zto),0,43
274,Krasarang Wilds 5.1 - Domination Point - Wolves Distraction - ZTO,0,26
275,Krasarang Wilds 5.1 - Domination Point - Burrow (zto),0,17
278,Krasarang Wilds 5.1 - Domination Point: zto - Burning Goblin Camp,0,11
280,Krasarang Wilds 5.1 - Domination Point: zto - Explode Goblin Camp,0,24
