ID,ProfessionEffectID,Order,ModifiedCraftingCategoryID
1,12,0,68
2,8,1,68
3,9,0,69
4,13,1,69
5,72,0,134
6,72,0,133
7,141,0,127
8,140,1,127
12,169,0,367
13,173,1,367
14,175,0,396
15,170,0,125
16,163,0,126
17,173,1,126
18,163,0,128
19,167,1,128
20,163,0,129
21,167,1,129
22,141,0,364
23,140,1,364
24,169,0,365
25,163,1,365
26,141,0,152
27,140,1,152
28,169,0,153
29,163,1,153
32,166,0,403
33,168,0,404
34,141,0,439
35,140,1,439
36,165,0,440
37,163,1,440
38,126,1,396
39,141,0,366
40,172,0,368
41,140,1,366
