ID,Red,Blue,Green
0,255,136,32
1,189,91,0
2,158,54,0
3,255,27,137
4,225,0,69
5,177,46,0
6,255,23,179
7,246,0,135
8,174,0,75
9,255,20,252
10,243,0,202
11,196,0,155
12,255,20,255
13,216,0,221
14,166,0,172
15,227,24,246
16,183,3,192
17,142,0,151
18,188,27,246
19,136,3,186
20,88,0,128
21,30,104,255
22,4,71,195
23,0,15,130
24,30,193,247
25,4,143,183
26,0,97,144
27,33,255,220
28,0,197,157
29,0,145,99
30,77,218,142
31,44,174,106
32,0,130,53
33,211,200,74
34,173,172,41
35,134,154,15
36,255,250,56
37,201,195,0
38,155,166,0
39,255,191,31
40,211,135,0
41,163,104,0
42,197,50,129
43,135,19,85
44,79,0,35
45,35,35,35
46,100,100,100
47,180,168,187
48,215,203,221
49,255,255,255
50,252,145,104
