ID,LegacySlotIndex,TriggerType,Charges,CoolDownMSec,CategoryCoolDownMSec,SpellCategoryID,SpellID,ChrSpecializationID,PlayerConditionID
10621,0,0,0,1500,-1,0,65183,0,0
27415,0,0,-1,-1,-1,0,55884,0,0
27416,1,6,0,-1,-1,0,42609,0,0
97043,0,2,0,-1,-1,0,18077,0,0
97044,0,0,0,-1,-1,0,469,0,0
97045,0,0,0,-1,-1,0,472,0,0
97046,0,0,-1,-1,-1,0,402265,0,0
97048,0,0,-1,0,3000,330,55884,0,0
97049,0,0,0,0,0,0,581,0,0
97050,0,0,0,0,0,0,580,0,0
97051,0,0,0,0,0,0,579,0,0
97052,0,0,0,120000,60000,12,547,0,0
97053,0,0,-5,-1,-1,0,8176,0,0
97054,0,0,-1,-1,-1,0,402265,0,0
97055,0,0,-1,1000,0,0,673,0,0
97056,0,0,-1,0,60000,24,1940,0,0
97057,0,0,-1,-1,-1,0,402265,0,0
97058,0,0,-1,-1,-1,0,402265,0,0
97059,0,0,0,3600000,0,0,18831,0,0
97060,0,2,0,-1,-1,0,13480,0,0
97061,0,0,-1,-1,-1,0,402265,0,0
97062,0,0,-1,-1,-1,0,402265,0,0
97063,0,0,-1,-1,-1,0,402265,0,0
97064,0,0,-1,-1,-1,0,402265,0,0
97065,0,0,-1,-1,-1,0,402265,0,0
97066,0,0,-1,-1,-1,0,402265,0,0
97067,0,0,-1,0,0,0,560,0,0
97068,0,0,-1,-1,-1,0,1248384,0,0
97069,0,0,-1,-1,-1,0,402265,0,0
97070,0,2,0,-1,-1,0,17504,0,0
97071,0,2,0,-1,-1,0,13439,0,0
97072,0,0,-1,-1,-1,0,1248687,0,0
97073,0,0,-1,300000,120000,4,3591,0,0
97074,0,0,0,480000,20000,2554,17712,0,0
97076,0,0,-1,0,60000,24,8312,0,0
97077,0,0,-1,-1,-1,0,1249503,0,0
97078,0,0,-1,-1,-1,0,29467,0,0
97080,0,0,0,-1,-1,0,459,0,0
97081,0,0,-1,-1,-1,0,402265,0,0
97082,0,0,-1,-1,-1,0,402265,0,0
97083,0,0,-1,-1,-1,0,402265,0,0
97084,0,0,-1,-1,-1,0,402265,0,0
97085,0,0,-1,-1,-1,0,402265,0,0
97086,0,0,-1,0,0,0,402265,0,0
97087,0,2,0,-1,-1,0,18797,0,0
97089,0,0,-1,-1,-1,0,55884,0,0
97090,0,2,0,-1,-1,0,8552,0,0
97091,0,0,-1,0,0,0,402265,0,0
97092,0,0,-1,-1,-1,0,1248383,0,0
97097,0,0,-1,-1,-1,0,402265,0,0
97098,0,0,-1,-1,-1,0,402265,0,0
97099,0,0,-1,-1,-1,0,402265,0,0
97100,0,0,-1,-1,-1,0,402265,0,0
97101,0,0,-1,-1,-1,0,662,0,0
97102,0,0,-1,-1,-1,0,402265,0,0
97103,0,0,-1,-1,-1,0,402265,0,0
97104,0,0,-1,0,-1,11,434,0,0
97105,0,0,-1,0,-1,11,435,0,0
