ID,DataTagGroupID,DataTag
3,2,65
4,2,66
5,2,67
6,2,68
7,2,69
8,3,74
13,3,79
17,3,83
22,3,88
23,3,89
24,3,90
25,3,91
26,3,92
27,3,93
30,3,96
31,3,97
32,3,98
34,4,99
35,4,100
36,4,101
37,4,102
38,4,103
39,4,104
40,4,105
41,4,106
42,4,107
43,4,108
44,4,109
45,4,110
46,5,141
47,5,142
48,5,143
49,5,144
50,5,145
51,5,146
52,5,147
53,5,148
54,5,149
55,5,150
56,5,151
57,5,152
58,5,153
59,5,154
60,5,155
61,5,156
62,5,157
63,5,158
64,5,159
65,5,160
66,5,161
67,5,162
68,5,163
69,5,164
70,6,70
71,6,71
72,6,72
73,6,73
74,7,165
75,7,166
76,7,167
77,7,168
78,7,169
79,7,170
80,7,171
81,7,172
82,7,173
83,7,174
84,7,175
85,8,111
86,8,112
87,8,113
88,8,114
89,8,115
90,8,116
91,8,117
92,8,118
93,8,119
94,8,120
95,8,121
96,8,122
97,8,123
98,8,124
99,8,125
100,8,126
101,9,202
102,9,201
103,9,196
104,9,198
105,9,195
106,9,194
107,9,199
108,9,197
109,9,190
110,9,189
111,9,192
112,9,236
113,9,177
114,9,178
115,9,185
116,9,184
117,9,182
118,9,181
119,9,180
120,9,224
121,9,222
122,9,221
123,9,208
124,9,209
125,9,207
175,5,458
188,13,453
189,13,467
190,13,223
191,13,224
192,13,225
193,13,219
194,13,222
195,13,221
196,13,220
197,3,484
