ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002,Field_1_60_1_69876_003,Field_1_60_1_69876_004,Field_1_60_1_69876_005,Field_1_60_1_69876_006,Field_1_60_1_69876_007,Field_1_60_1_69876_008,Field_1_60_1_69876_009,Field_1_60_1_69876_010,Field_1_60_1_69876_011,Field_1_60_1_69876_012,Field_1_60_1_69876_013,Field_1_60_1_69876_014,Field_1_60_1_69876_015,Field_1_60_1_69876_016,Field_1_60_1_69876_017,Field_1_60_1_69876_018,Field_1_60_1_69876_019,Field_1_60_1_69876_020,Field_1_60_1_69876_021,Field_1_60_1_69876_022,Field_1_60_1_69876_023,Field_1_60_1_69876_024,Field_1_60_1_69876_025,Field_1_60_1_69876_026,Field_1_60_1_69876_027[0],Field_1_60_1_69876_027[1],Field_1_60_1_69876_028[0],Field_1_60_1_69876_028[1]
439,68444,15423576,16736866,0,0,1,37,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
440,68444,2355549,0,0,0,0,80.5,1,0,1030,0,0,0,0,1,0.7,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0
441,69499,51937,906239,4058102,16711680,1,34,1,0,800,1,0,1,0,1,0.7,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
442,69499,16711680,16711680,16711680,16711680,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
443,69499,16711680,16711680,16711680,16711680,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
444,69562,15423576,16736866,0,0,1,32,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
445,69562,2355549,0,0,0,0,80.5,1,0,1030,0,0,0,0,1,0.7,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0
458,67957,16760693,8963071,0,0,1000,0.1,1,0.2,0,650,0,0,0,0.1,0.6,0,0,0,0,0,0,8,0,1,1,1,0,0,0,0
459,69621,16711680,3837381,16711680,0,0,20,1,0,0,881,0,0,0,1,0.7,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
462,69627,16759854,7455487,0,0,1500,0.16,1,0.7,0,0,0,0,0,0,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
463,69624,1999103,7224,0,0,1500,0.5,1,0.75,0,0,0,0,0,0.7,0.9,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
465,69625,1999103,7224,0,0,1500,0.5,1,1,0,0,0,0,0,0.7,0.9,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
467,69627,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
468,69632,15836676,2103564,0,0,1500,0.5,1,1,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
472,69634,0,0,0,0,1500,0.5,1,1.5,0,0,0,0,0,0,0.61,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
474,69635,16759854,6005198,0,0,1500,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
476,69636,16759854,6005198,0,0,1500,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
477,69636,16759854,3256817,2728156,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
478,69639,16759854,4100293,0,0,1500,0.5,1,1,0,0,0,0,0,1,0.7,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
482,69641,16711680,2103564,0,0,1500,0.5,1,1,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
484,69624,15459027,6195,1549,0,0,0.6,2,1.2,0,0,0,0,0,2,0.95,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
485,69625,15852493,7224,3613,0,35,1.2,2,0.85,0,-50,0,0,0,0.5,0.9,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
486,69632,16746752,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.7,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
488,69634,15852493,4387,11330,0,35,1.2,2,1,0,-50,0,0,0,0,0.93,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
489,69635,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
490,69639,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
492,69641,16711680,5128067,5128067,0,50,0.03,3,1,0,0,0,0,0,2,0.7,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
493,69656,16714250,0,0,0,1,2,2,1,400,1,2,2,260,2,1,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0
494,69696,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
495,69696,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
496,69695,16752951,5995470,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
497,69695,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
498,69694,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
499,69694,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
500,69693,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
501,69693,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
502,69692,16759854,7455487,0,0,1500,0.16,1,0.7,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
503,69692,8820129,8629697,9676721,4737096,10,1,1,0.4,0,0,0,0,0,1,0.2,1,1,0,-1,-1,0,13,1,0,1,1,5,10,1,2
504,69691,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
505,69691,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
506,69690,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
507,69690,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
508,69689,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
509,69689,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
510,69688,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
511,69688,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
512,69687,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
513,69687,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
514,69686,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
515,69686,8820129,6788008,7503238,0,50,1,3,0.4,0,0,0,0,0,0,0.2,1,1,0,-1,-1,0,13,1,0,1,1,20,30,2,16.5
516,69686,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
517,69687,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
518,69688,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
519,69689,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
520,69690,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
521,69691,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
522,69692,16711680,16719133,16717077,0,0,1.28,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
523,69693,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
524,69694,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
525,69695,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
526,69696,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
527,69707,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
528,69707,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
529,69706,16752951,5995470,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
530,69706,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
531,69705,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
532,69705,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
533,69704,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
534,69704,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
535,69703,16759854,7455487,0,0,1500,0.16,1,0.7,0,0,0,0,0,0,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
536,69703,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
537,69702,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
538,69702,16759854,3256817,2728156,0,0,0,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
539,69701,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
540,69701,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
541,69700,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
542,69700,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
543,69699,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
544,69699,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
545,69698,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
546,69698,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
547,69697,16759854,6005198,0,0,100,0.05,1,0.5,0,0,0,0,0,2,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
548,69697,16759854,3256817,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
555,69703,15404301,15404301,15404301,0,0,0.74,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
560,69709,16711680,0,0,0,0,0.8,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
561,69709,0,65321,0,0,0,0.04,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0
562,69709,0,16378,0,0,0,0.16,1,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,8,2,0,1,1,0,0,0,0
564,67957,16751104,4692677,3441837,0,0,0.125,0.5,1,0,0,0,0,0,2,0.5,0,0,0,0,0,0,11,2,1,1,1,0,0,0,0
574,69760,16759854,65397,0,0,1500,0.16,1,0.7,0,0,0,0,0,0,0.21,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
575,69760,16759854,16731136,2728156,0,50,0.02,3,0.4,0,0,0,0,0,6,0.2,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
608,69765,1999103,6965,0,0,400,0.2,1,1.5,0,0,0,0,0,1,0.9,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0
609,69765,6267903,10326,3613,0,35,0.8,2,1,0,0,0,0,0,2,0.85,0,0,0,0,0,0,9,1,0,1,1,0,0,0,0
610,69624,19623,3363,0,0,5000,0.01,1,0.1,0,0,0,0,0,10,0.5,0,0,0,0,0,0,8,2,0,1,1,0,0,0,0
611,69625,20657,3244799,0,0,5000,0.01,1,0.15,0,0,0,0,0,10,0.5,0,0,0,0,0,0,8,2,0,1,1,0,0,0,0
612,69627,0,0,0,0,5000,0.5,1,0.2,0,-2000,0,0,0,0,0.3,0,0,0,0,0,0,8,2,0,1,1,0,0,0,0
