ID,StorageIndex,Field_11_0_7_57361_001,Field_11_2_5_62554_002
1,1,3,1315
2,2,0,0
4,4,0,0
6,6,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
19,3,0,0
20,5,0,0
21,7,0,0
22,14,0,0
23,15,0,0
24,16,0,0
25,17,0,0
27,19,0,0
29,20,0,0
30,21,0,0
32,23,0,0
33,24,0,0
34,25,0,0
36,27,0,0
37,28,0,0
38,29,0,0
39,30,0,0
40,31,0,0
41,32,0,0
42,33,0,0
43,34,0,0
44,35,0,0
45,36,0,0
46,37,0,0
47,38,0,0
48,39,0,0
49,40,0,0
50,41,0,0
51,42,0,0
52,43,0,0
53,44,0,0
54,45,0,0
55,46,0,0
56,47,0,0
57,48,0,0
58,49,0,0
59,50,0,0
60,51,0,0
61,52,0,0
62,53,0,0
63,54,0,0
64,55,0,0
65,56,0,0
66,57,0,0
67,58,0,0
68,59,0,0
83,74,1,0
84,75,0,0
85,76,0,0
86,77,0,0
87,78,0,0
88,79,0,0
308,80,0,0
309,81,0,0
310,82,0,0
311,83,0,0
312,84,0,0
313,85,0,0
314,86,0,0
315,87,0,0
316,88,0,0
317,89,0,0
318,90,0,0
319,91,0,0
320,92,0,0
321,93,0,0
322,94,0,0
323,95,0,0
324,96,0,0
325,97,0,0
326,98,0,0
327,99,0,0
328,100,0,0
329,101,0,0
330,102,0,0
331,103,0,0
332,104,0,0
333,105,0,0
334,106,0,0
335,107,0,0
336,108,0,0
337,109,0,0
338,110,0,0
339,111,0,0
340,112,0,0
341,113,0,0
342,114,0,0
343,115,0,0
344,116,0,0
345,117,0,0
346,118,0,0
347,119,0,0
348,120,0,0
349,121,0,0
350,122,0,0
351,123,0,0
352,124,0,0
353,125,0,0
354,126,0,0
355,127,0,0
356,128,0,0
357,129,0,0
358,130,0,0
359,131,0,0
360,132,0,0
361,133,0,0
362,134,0,0
363,135,0,0
364,136,0,0
365,137,0,0
366,138,0,0
367,139,0,0
368,140,0,0
369,141,0,0
370,142,0,0
371,143,0,0
372,144,0,0
373,145,0,0
374,146,0,0
375,147,0,0
376,148,0,0
377,149,0,0
378,150,0,0
379,151,0,0
380,152,0,0
381,153,0,0
382,154,0,0
383,155,0,0
384,156,0,0
385,157,0,0
386,158,0,0
387,159,0,0
388,160,0,0
389,161,0,0
390,162,0,0
391,163,0,0
392,164,0,0
393,165,0,0
394,166,0,0
395,167,0,0
396,168,0,0
397,169,0,0
398,170,0,0
399,171,0,0
400,172,0,0
401,173,0,0
402,174,0,0
403,175,0,0
404,176,0,0
405,177,0,0
406,178,0,0
407,179,0,0
408,180,0,0
409,181,0,0
410,182,0,0
411,183,0,0
412,184,0,0
413,185,0,0
414,186,0,0
415,187,0,0
416,188,0,0
417,189,0,0
418,190,0,0
419,191,0,0
420,192,0,0
421,193,0,0
422,194,0,0
423,195,0,0
424,196,0,0
425,197,0,0
426,198,0,0
427,199,0,0
428,200,0,0
429,201,0,0
430,202,0,0
431,203,0,0
432,204,0,0
433,205,0,0
437,209,0,0
438,210,0,0
439,211,0,0
440,212,0,0
441,213,0,0
442,214,0,0
443,215,0,0
444,216,0,0
445,217,0,0
446,218,0,0
447,219,0,0
448,220,0,0
449,221,0,0
450,222,0,0
451,223,0,0
452,224,0,0
453,225,0,0
454,226,0,0
455,227,0,0
456,228,0,0
457,229,0,0
