ID,EnumID,Field_12_1_5_69594_001
1,0,0
2,1,2
3,2,2
4,3,2
5,4,2
6,5,2
7,6,2
8,7,2
9,8,2
10,9,2
11,10,2
12,11,2
13,12,2
14,13,2
15,14,2
16,15,2
17,16,2
18,17,2
19,18,2
20,19,2
21,20,2
22,21,2
23,22,2
24,23,2
25,24,2
26,25,2
27,26,2
28,27,2
29,28,2
30,29,2
31,30,3
32,31,2
33,32,2
34,33,2
35,34,2
36,35,2
37,36,2
38,37,2
39,38,2
40,39,2
41,40,2
42,41,2
43,42,2
44,43,2
45,44,3
46,45,3
47,46,2
48,47,2
49,48,2
50,49,2
51,50,2
52,51,2
53,52,2
54,53,2
55,54,2
56,55,2
57,56,3
58,57,2
59,58,2
60,59,2
61,60,2
62,61,2
63,62,2
64,63,2
65,64,2
66,65,2
67,66,2
68,67,2
69,68,2
70,69,2
71,70,2
72,71,2
73,72,2
74,73,2
75,74,2
76,75,2
77,76,3
78,77,2
79,78,3
80,79,2
81,80,2
82,81,2
104,82,3
122,83,2
123,84,2
124,85,2
125,86,2
127,87,2
142,88,2
162,89,2
182,90,2
183,91,2
184,92,2
202,93,2
203,94,2
204,95,2
222,96,2
224,97,2
242,98,2
262,99,2
282,100,2
302,101,2
322,102,2
342,103,2
362,104,2
382,105,2
402,106,2
422,107,2
423,108,2
442,109,2
443,110,2
444,111,2
445,112,2
462,113,2
463,114,2
464,115,2
482,116,2
502,117,2
522,118,2
523,119,2
524,120,2
542,121,2
562,122,2
563,123,2
582,124,2
602,125,2
603,126,2
622,127,2
642,128,2
662,129,2
663,130,2
682,131,2
702,132,2
703,133,2
722,134,2
723,135,2
724,136,2
725,137,2
742,138,2
762,139,2
782,140,2
802,141,2
823,142,2
842,143,2
843,144,2
862,145,2
863,146,2
882,147,2
902,148,2
922,149,2
942,150,2
944,151,2
962,152,2
982,153,2
1002,154,2
1003,155,2
1022,156,2
1042,157,2
1062,158,3
1082,159,2
1102,160,2
1122,161,2
1142,162,2
1162,163,2
1163,164,2
1164,165,2
1165,166,2
1166,167,2
1167,168,2
1168,169,2
1169,170,2
1170,171,2
1171,172,2
1172,173,2
1173,174,2
1174,175,2
1175,176,2
1176,177,2
1177,178,2
