Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
Happy,"|cFF00ccffThe War Within Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Happy pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""He's just excited to be here.""",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
Bubbles,"|cFF00ccffThe War Within Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Bubbles pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""It followed you home!""|n|n|cFFFFFFFFBonus Pet: Pinchy|r|n|n|CFFa335eeClassic Pet|r|n|nUnlocks the Pinchy the Plunderer pet in Cataclysm: Classic.|n|n""Watch out for the pointy end!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
Glamrok,"|cFF00ccffThe War Within Pet|r|n|cFF1eff00Plunderstorm Pet|r|n|nUnlocks the Glamrok pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""A fellow loot enthusiast.""",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
Sparklesnap,"|cFF00ccffThe War Within Pet|r
|cFF1eff00Plunderstorm Pet|r

Unlocks the Sparklesnap pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.

""Snapping up anything that sparkles is a lifestyle.""",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
Silver Tidestallion,"|cFF00ccffThe War Within Mount|r|n|nUnlocks the Silver Tidestallion underwater mount.|n|n""It smells like shrimp.""",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
Royal Seafeather,"|cFF00ccffThe War Within Mount|r|n|nUnlocks the Royal Seafeather flying mount.|n|n""With the amount of plunder you have, it'd be a crime not to have a giant parrot.""",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
Polly Roger,"|cFF00ccffThe War Within Mount|r|n|nUnlocks the Polly Roger dragonriding mount.|n|n""The captain has granted you his very own giant tempermental parrot. Good Luck!""|n|n|cFFFFFFFFBonus Mount: Polly Roger|r|n|n|CFFa335eeClassic Mount|r|n|nUnlocks the Polly Roger flying mount in Cataclysm: Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
Plunderlord's Midnight Crocolisk,"|cFF00ccffThe War Within Mount|r|n|nUnlocks the Plunderlord's Midnight Crocolisk mount.|n|n""A luxurious seat made of high quality black leather.""",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
Parley,"|cFF00ccffThe War Within Pet|r|n|n|cFF1eff00Plunderstorm Pet|r Unlocks the Parley pet. In Plunderstorm, Da'kash Grimledger can summon your pet for you.|n|n""Ironically, not big on negotiating.""",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
Deadly Dagger,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Deadly Dagger appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""You're in Keg Leg's Crew now, swabbie. Here's your dagger, get to plundering!""",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
Blacksteel Saber,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Blacksteel Saber appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Forged for swarthy swashbuckling action.""",11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
Bloody Iron Cleaver,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Bloody Iron Cleaver appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A bloody axe for a bloody good pirate!""",12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0
Calcified Claymore,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Calcified Claymore appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A sword is like a dagger, but larger.""",13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0
Swabbie's Shovel,"|cFF00ccffThe War Within Appearance|r|n|n|cFF1eff00Plunderstorm Appearance|r Unlocks the Swabbie's Shovel appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Can you dig it?""",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0
Swabbie's Oar,"|cFF00ccffThe War Within Appearance|r|n|n|cFF1eff00Plunderstorm Appearance|r Unlocks the Swabbie's Oar appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""It's just an oar. Oar is it?""",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0
Plunderlord's Neck-Severer,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Neck-Severer appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""A necessary tool in the arsenal of the pirate lord.""",16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0
