ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,Field_12_0_0_63534_016,QuestID,PlayerConditionID
1832,Rank 1 Rewards,Faction Tabard,Faction Tabard Unlocked,46,1,135026,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,Rank 2 Rewards,Insignia Trinket,Insignia Trinket Unlocked,46,2,133453,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,Rank 3 Rewards,Faction Cloak,Cloak Unlocked,46,3,461814,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,Rank 4 Rewards,Faction Necklace,Necklace Unlocked,46,4,133303,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,Rank 5 Rewards,Combat Potions,Access to Combat Potions Unlocked,46,5,134715,0,0,0,0,0,0,0,0,0,0,0,0,0
1837,Rank 6 Rewards,Elite Faction Tabard,Elite Faction Tabard Unlocked,46,6,514261,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,Rank 7 Rewards,Battle Standard,Battle Standard Unlocked,46,7,132484,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,Rank 8 Rewards,Elite Wrist Upgrade,Elite Wrist Upgrades Unlocked,46,8,236972,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,Rank 9 Rewards,Elite Boot Upgrade,Elite Boot Upgrade Unlocked,46,9,795709,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,Rank 10 Rewards,Elite Glove Upgrade,Elite Glove Upgrade Unlocked,46,10,133832,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,Rank 11 Rewards,Black War Mounts,Faction Black War Mounts Unlocked,46,11,132224,0,0,0,0,0,0,0,0,0,0,0,0,923
1843,Rank 12 Rewards,Elite Leg Upgrade,Elite Leg Upgrades Unlocked,46,12,134628,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,Rank 13 Rewards,Elite Chest Upgrade,Elite Chest Upgrades Unlocked,46,13,132717,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,Rank 14 Rewards,Weapon Arsenal,Weapon Arsenal Unlocked,46,14,135979,0,0,0,0,0,0,0,0,0,0,0,0,0
1856,,Join a shootout with your air rifle. You and other players with this rifle can Stun each other. Even keeps score!|n|n|cFFFFFFFFVisit Innkeeper Wiley in Ratchet to claim your reward.|R,Replica Ironforge Air Rifle,48,15,135614,0,0,276236,0,0,0,0,0,0,0,1,0,0
1857,Spectral Bear Cub,Summons a tiny spectral bear cub as your companion.|n|n|cFFFFFFFFVisit Innkeeper Wiley in Ratchet to claim your reward.|R,Spectral Bear Cub,48,25,294471,0,0,277714,0,0,0,0,0,0,0,1,0,0
1858,Spectral Bear Tabard,Show your dedication with this spectral bear themed tabard.|n|n|cFFFFFFFFVisit Innkeeper Wiley in Ratchet to claim your reward.|R,Spectral Bear Tabard,48,40,7941423,0,0,277717,0,0,0,0,0,0,0,1,0,0
1859,Reins of the Spectral Bear,Summons and dismisses an Epic rideable spectral bear mount that moves at 100% increased speed.|n|n|cFFFFFFFFVisit Innkeeper Wiley in Ratchet to claim your reward.|R,Reins of the Spectral Bear,48,55,3753812,0,0,277718,0,0,0,0,0,0,0,1,0,0
2008,Rank 8 Rewards,Elite Waist Upgrade,Elite Waist Upgrades Unlocked,46,8,132501,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Rank 11 Rewards,Black War Mounts,Faction Black War Mounts Unlocked,46,11,132251,0,0,0,0,0,0,0,0,0,0,0,0,924
2010,Rank 12 Rewards,Elite Shoulder Upgrade,Elite Shoulder Upgrades Unlocked,46,12,135055,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Rank 13 Rewards,Elite Helmet Upgrade,Elite Helmet Upgrades Unlocked,46,13,133074,0,0,0,0,0,0,0,0,0,0,0,0,0
