Name_lang,Description_lang,ID,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
Test: Axe of Uber Super Slaying,"The earliest known trolls belonged to the Zandalar tribes, from which all other trolls lies. The earliest known trolls belonged to the Zandalar tribes, from which all other trolls lies.",1,1,50864,29,2,0,50
Test: Axe of Slaying,"The earliest known trolls belonged to the Zandalar tribes, from which all other trolls lies. The earliest known trolls belonged to the Zandalar tribes, from which all other trolls lies.",2,0,50864,29,0,0,50
Test: Shiny Beads,They glimmer when held up to the light,4,0,50864,29,0,0,50
Pewter Drinking Cup,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",9,0,86857,1,1,461832,35
Test: Dwarf Project Test 2,,10,0,85119,29,2,0,50
Test: Rare Dwarf Project Test 1,,13,1,84796,29,5,0,50
Ceramic Funeral Urn,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",40,0,86864,1,1,461832,35
Worn Hunting Knife,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",42,0,86865,1,0,461832,30
Bone Gaming Dice,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",44,0,86866,1,0,461832,32
Stone Gryphon,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",70,0,88180,1,1,461832,35
Silver Neck Torc,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",72,0,88181,1,1,461832,34
