ID,Hand,Duration,FadeOutTime,EdgeLifeSpan,InitialDelay,SmoothSampleAngle,OverrideAttachTop,OverrideAttachBot,Flags,WeaponTrailID
60,0,1,0.2,0.5,0,60,0,0,0,1
61,0,0.58,0.15,0.2,0,60,0,0,0,2
62,0,0.5,0.1,0.2,0.1,60,0,0,0,3
63,0,1,0.4,0.5,0,60,0,0,0,4
64,0,0.5,0.15,1,0,60,0,0,0,5
65,0,0.5,0.15,1,0,60,0,0,0,6
66,0,0.25,0.1,0.25,0,60,0,0,0,7
67,0,0.5,0.1,0.25,0,60,0,0,0,8
68,0,0.1,0.2,0.35,0,60,0,0,0,9
69,0,0.5,0.25,0.5,0,60,0,0,0,10
70,0,0.65,0.1,0.4,0,60,0,0,0,11
71,0,1,0.2,0.5,0,60,0,0,0,12
72,0,1,0.2,0.5,0,60,0,0,0,13
73,0,6,0.15,0.15,0,60,0,0,0,14
74,0,10,0.5,0.5,0,60,0,0,0,15
75,0,0.25,0.1,0.25,0,60,0,0,0,16
76,0,0.5,0.1,0.2,0,60,0,0,0,17
77,0,0.6,0.1,0.25,0,60,0,0,0,18
78,0,0.58,0.15,0.2,0,60,0,0,0,19
79,0,1.16,0.3,0.4,0,60,0,0,0,20
80,0,0.58,0.15,0.2,0,60,0,0,0,21
85,0,1,0.2,0.35,0,60,0,0,0,29
86,0,1,0.25,0.5,0,60,0,0,0,30
88,0,0.5,0.15,0.25,0,60,0,0,0,32
89,0,0.2,0.25,0.13,0.1,60,0,0,0,33
90,0,0.2,0.15,0.2,0,60,0,0,0,37
91,0,0.35,0.25,0.3,0,60,0,0,0,38
99,0,0.2,0.25,0.13,0.1,60,0,0,0,46
100,0,0.1,0.2,0.15,0.1,60,0,0,0,47
102,0,0.2,0.25,0.13,0.1,60,0,0,0,58
103,0,0.2,0.15,0.2,0,60,0,0,0,59
108,0,0.15,0.15,0.1,0.08,60,0,0,0,71
109,0,0.2,0.1,0.2,0.2,60,0,0,0,72
111,0,1.43,0.25,0.17,0.1,60,0,0,0,77
112,0,0.1,0.1,0.17,0.08,60,0,0,0,78
113,1,0.1,0.1,0.17,0.4,60,0,0,0,78
114,0,0.07,0.1,0.17,0.8,60,0,0,0,78
115,2,0.2,0.2,0.17,1.4,60,0,0,0,78
118,0,0.15,0.15,0.3,0.12,60,0,0,0,79
119,0,0.17,0.18,0.18,0.13,60,0,0,0,425
120,2,0.15,0.15,0.16,0.24,60,0,0,0,426
122,0,0.2,0.15,0.3,0.84,60,0,0,0,318
123,0,0.18,0.18,0.2,0.34,60,0,0,0,427
124,0,0.35,0.15,0.3,0.58,60,0,0,0,322
125,0,0.2,0.15,0.3,0.84,60,0,0,0,436
126,0,0.2,0.15,0.3,0.12,60,0,0,0,342
127,0,0.32,0.15,0.2,0.2,60,0,0,0,334
128,0,0.25,0.15,0.15,0.1,60,0,0,0,365
129,0,0.15,0.2,0.15,0.27,60,0,0,0,338
130,0,0.25,0.15,0.15,0.1,60,0,0,0,369
131,0,0.15,0.125,0.2,0.33,60,0,0,0,397
132,0,0.2,0.2,0.2,0.1,60,0,0,0,401
133,0,0.2,0.2,0.2,0.15,60,0,0,0,405
