ID,GarrEncounterID,GarrEncounterSetID
3,925,3
4,920,3
11,939,7
12,940,7
13,941,7
16,942,9
20,948,9
21,945,9
22,949,9
23,956,9
24,955,10
25,953,10
26,943,10
27,957,10
28,954,10
29,951,11
30,950,11
31,952,11
32,958,11
33,944,11
34,939,13
35,940,13
60,1187,21
61,1195,21
62,1302,21
63,1183,21
64,1196,21
65,1174,21
66,1298,22
67,1297,22
68,1301,22
69,1198,22
70,934,23
71,1138,23
72,1924,23
73,1733,23
74,1743,23
75,922,23
76,1135,23
77,1136,23
78,1139,23
79,926,23
80,927,23
81,1191,24
82,1193,24
83,1172,24
84,1165,24
85,1921,24
86,1750,24
87,1171,24
88,1913,24
89,1748,24
90,1923,24
91,1169,24
92,1164,24
93,1914,25
94,1718,25
95,929,25
96,1856,25
97,1152,25
98,1950,25
99,1007,25
100,931,25
101,1728,25
102,1004,25
103,1752,25
104,1744,25
105,1715,25
106,925,25
107,1815,25
108,1938,25
109,913,25
110,1132,25
111,1124,25
112,1763,25
113,1831,25
114,1933,25
115,1868,25
116,1930,25
117,1823,25
118,1126,25
119,1129,25
120,1168,26
121,1921,26
122,1182,26
123,1170,27
124,1175,27
125,1976,27
126,1967,27
127,1170,27
128,1973,27
129,1920,27
130,1982,27
131,1180,27
132,1179,27
133,1972,27
134,1975,27
135,1177,28
136,1197,28
137,1173,28
138,1915,28
139,1352,28
140,1750,28
141,1185,28
142,1157,28
143,1303,28
144,1923,28
145,1163,29
146,1970,29
147,1740,29
148,1971,29
149,1916,29
150,1299,29
151,1969,29
152,1968,29
153,1759,30
154,1609,30
155,1962,30
156,1636,30
157,1629,30
158,1639,30
159,1623,30
160,1955,30
161,1729,30
162,1757,30
163,1762,30
164,1963,30
165,1613,30
166,1813,30
167,1753,30
168,1717,30
169,1714,30
170,1626,30
171,1617,30
172,1620,30
173,1871,30
174,1632,30
175,1615,30
176,1958,30
177,1729,31
178,1963,31
179,1613,31
180,1958,31
181,1759,32
182,1962,32
183,1636,32
184,1813,32
185,1620,32
186,1871,32
187,1758,33
188,1870,33
189,1961,33
190,1609,34
191,1955,34
192,1757,34
193,1762,34
194,1753,34
195,1714,34
196,1632,34
197,1615,34
198,1610,35
199,1624,35
200,1633,35
201,1754,35
202,1761,35
203,1956,35
204,1614,35
205,1822,36
206,1816,36
207,1945,36
208,1925,36
209,1272,36
210,1274,36
211,1285,36
212,1340,37
213,1275,37
214,1342,37
215,1346,37
216,1339,37
217,1350,37
218,1926,37
219,1931,37
220,1338,37
221,1349,37
222,1929,37
223,1638,37
224,1939,38
225,1206,38
226,1223,38
227,1212,38
228,1935,38
229,1207,38
230,1215,38
231,1214,38
232,1210,38
233,1205,38
234,1222,38
235,1202,38
236,1305,38
237,1203,38
238,1833,38
239,1942,38
240,1311,39
241,1712,39
242,1934,39
243,1309,39
244,1834,39
245,1308,39
246,1306,39
247,1354,39
248,1208,40
249,1937,40
250,1836,40
251,1875,40
252,1628,41
253,1835,41
254,1936,41
255,1262,42
256,1252,42
257,1948,42
258,1250,42
259,1271,42
260,1257,42
261,1246,42
262,1248,42
263,1260,42
264,1269,42
265,1265,42
266,1244,42
267,1267,43
268,1238,43
269,1230,44
270,1251,44
271,1229,44
272,1266,44
273,1231,45
274,1984,45
275,1985,45
276,1986,45
277,1239,46
278,1263,46
279,1270,46
280,1264,46
281,1253,46
282,1255,46
285,2062,49
286,2070,49
287,2072,49
288,2060,49
289,2069,49
290,2059,49
291,2063,49
292,2074,49
293,2065,49
294,2068,49
295,2073,49
296,2075,49
297,2061,49
298,2058,49
299,2071,49
300,2064,49
301,2066,49
302,2067,49
303,2024,50
304,2041,50
305,2033,50
306,2035,50
307,2037,50
308,2036,50
309,2026,50
310,2023,50
311,2031,50
312,2039,50
313,2047,50
314,2022,50
315,2032,50
316,2040,50
317,2029,50
318,2030,50
319,2028,50
320,2027,50
321,2046,50
322,2051,50
323,2054,50
324,2053,50
325,2043,50
326,2025,50
327,2034,50
328,2052,50
329,2042,50
330,2049,50
331,2050,50
332,2048,50
333,2056,50
334,2055,50
335,2057,50
336,2044,50
337,2045,50
338,2038,50
339,1285,51
340,1820,51
341,1278,51
342,1276,51
343,1279,51
344,1273,51
345,1282,51
346,1286,51
347,1274,51
348,1825,51
349,1830,51
350,1289,51
351,1288,51
