ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002,Field_1_60_1_69876_003,Field_1_60_1_69876_004,Field_1_60_1_69876_005,Field_1_60_1_69876_006,Field_1_60_1_69876_007,Field_1_60_1_69876_008,Field_1_60_1_69876_009
12,60,80000,2,1,0.5,1,0.3,5,1,0.3
15,500,50000,2,1,0.8,1,0.4,0.8,1,0.4
17,60,4000,2,1,0.5,1,0.3,5,1,0.3
20,32,7689,4,3,-1,0,1,-1,0,1
24,64,50000,5,3,-0.16,12,3,-0.16,2,2
44,128,42000,2,1.8,-1,0,1,-0.163,0.445,0.3
45,256,36000,5,1.8,-0.29,12,0.9,-0.36,100,0.7
46,512,16000,6,1.8,-0.2,20,1.5,-0.35,200,0.7
92,128,23000,11,1,0,256,1,-0.158,1,0.506
96,32,200000,6,4,-1,0,1,-1,0,1
103,64,50000,6,2,-0.13,12,3,-0.13,6,2
108,32,8071,5,2,-1,0,1,-1,0,1
120,32,8071,3,1,-1,110.38,0.5,-0.075,1,0.66
121,64,676,3,1,-0.126,1,0.42,-0.076,1,0.605
122,16,30000,4,1.8,-1,0,1,-0.158,1,0.506
124,128,23000,7.28,1,-0.22,0.9,0.8,-0.22,0.9,0.8
137,32,1000000,0.024,1.3,-0.204,12,3,-0.217,12,3
139,32,40000,3,1.8,0.092,12,1,-0.064,0.684,0.1
140,16,10000,0.15,3,0,0.001,1,0,1,0.1
141,48,12000,1,4,0,0.001,1,0,0.5,0.2
142,64,8000,4,2,0,0,1,0,1,0.1
145,24,100000,12,1,0.1,1,20,0.13,0.5,2
146,46,50000,6,2,0.1,0.5,20,0.2,0.5,2
