ID,Field_12_0_0_63534_002,AchievementID,QuestID,Field_12_0_0_63967_005,HouseDecorID
1,1,4405,0,0,1674
2,1,19719,0,0,857
3,1,11124,0,0,752
4,1,938,0,0,4839
5,1,940,0,0,4841
6,1,20501,0,0,4181
7,1,19458,0,0,4180
8,1,41119,0,0,1121
9,1,40894,0,0,1271
10,1,12869,0,0,837
11,1,13284,0,0,937
12,1,12870,0,0,933
13,1,12509,0,0,944
14,1,12867,0,0,838
15,1,12479,0,0,1183
16,1,13038,0,0,1175
17,1,12733,0,0,1191
18,1,12746,0,0,1417
19,1,13039,0,0,1185
20,1,12614,0,0,1188
21,1,0,76213,0,4423
22,1,0,36614,0,1407
23,1,0,36615,0,4818
24,1,0,37322,0,8240
25,1,0,83176,0,1276
26,1,0,85711,0,1266
27,1,0,87008,0,1274
28,1,0,85780,0,827
29,1,0,87297,0,1267
30,1,0,86408,0,825
31,1,0,51985,0,935
32,1,0,51984,0,863
33,1,0,38882,0,947
34,1,0,52978,0,936
35,1,0,52122,0,934
36,1,0,51601,0,864
37,1,0,27098,0,923
38,1,0,27098,0,924
39,1,0,51986,0,862
40,1,0,46931,0,865
41,1,42674,0,0,7690
42,1,61054,0,0,7686
43,1,61060,0,0,7623
44,1,42321,0,0,7624
45,1,42689,0,0,8811
46,1,42692,0,0,7621
47,1,42675,0,0,7658
48,1,42318,0,0,7610
49,1,42547,0,0,11942
50,1,42619,0,0,7625
51,1,42627,0,0,7687
52,1,42628,0,0,11278
53,1,42655,0,0,9165
54,1,42658,0,0,7620
55,1,61218,0,0,8810
56,1,13018,0,0,1418
57,1,12997,0,0,9141
58,1,12582,0,0,1704
59,1,13049,0,0,9140
60,1,11257,0,0,1307
61,1,40504,0,0,9181
62,1,20595,0,0,9169
63,1,40859,0,0,9185
64,1,40210,0,0,9244
65,1,13475,0,0,2435
66,1,13477,0,0,2430
67,1,13473,0,0,2326
68,1,19408,0,0,9237
69,1,0,30612,0,3879
70,1,11340,0,0,3982
71,1,17529,0,0,4482
72,1,19507,0,0,4161
73,1,5442,0,0,4813
74,1,10698,0,0,1881
75,1,11258,0,0,1887
76,1,4859,0,0,1216
77,1,8316,0,0,11160
78,1,5245,0,0,11296
79,1,13723,0,0,2322
80,1,10398,0,0,11751
81,1,10996,0,0,11315
82,1,5223,0,0,3867
83,1,213,0,0,3899
84,1,40612,0,0,3890
85,1,200,0,0,3886
86,1,231,0,0,3884
87,1,158,0,0,3894
88,1,229,0,0,3885
89,1,167,0,0,3887
90,1,221,0,0,3895
91,1,1153,0,0,3896
92,1,222,0,0,3897
93,1,212,0,0,3898
94,1,1157,0,0,3893
95,1,6981,0,0,3880
96,1,6981,0,0,3881
97,1,42189,0,0,11453
98,1,42187,0,0,11456
99,1,42188,0,0,11457
100,1,61467,0,0,767
101,1,40542,0,0,2532
102,1,0,50963,0,1205
103,1,0,47188,0,1170
104,1,0,47250,0,1192
105,1,0,50808,0,1179
106,1,0,47741,0,1196
107,1,0,48554,0,1697
108,1,0,47874,0,1310
109,1,0,53720,0,9052
110,1,0,50972,0,9035
111,1,0,48089,0,9041
112,1,0,51401,0,9044
113,1,0,47489,0,9055
114,1,0,55045,0,9166
115,1,0,50611,0,9142
116,1,0,53887,0,9049
117,1,0,50783,0,1900
118,1,0,42622,0,1251
119,1,0,42590,0,1235
120,1,0,39496,0,1309
121,1,0,39614,0,1294
122,1,0,39780,0,1291
123,1,0,39117,0,1801
124,1,0,14402,0,1829
125,1,0,46107,0,1802
126,1,0,24675,0,858
127,1,0,26760,0,1833
128,1,0,82895,0,9182
129,1,0,79530,0,9168
130,1,0,82144,0,9188
131,1,0,78761,0,9178
132,1,0,78999,0,9179
133,1,0,79703,0,9183
134,1,0,83160,0,9246
135,1,0,78759,0,9240
136,1,0,55736,0,2467
137,1,0,31230,0,3869
138,1,0,32816,0,3995
139,1,0,42489,0,4040
140,1,0,44052,0,4028
141,1,0,41915,0,4031
142,1,0,43318,0,4025
143,1,0,44955,0,1747
144,1,0,44756,0,3981
145,1,0,71097,0,4479
146,1,0,70880,0,4481
147,1,0,72935,0,4477
148,1,0,59583,0,4405
149,1,0,54,0,4815
150,1,0,26297,0,4819
151,1,0,30526,0,4488
152,1,0,12227,0,4448
153,1,0,26270,0,4444
154,1,0,26390,0,4447
155,1,0,543,0,4487
156,1,0,35176,0,4844
157,1,0,114,0,9424
158,1,0,60,0,5115
159,1,0,53566,0,1118
160,1,0,28064,0,2226
161,1,0,28244,0,2244
162,1,0,28655,0,2245
163,1,0,26868,0,2239
164,1,0,28035,0,1315
165,1,0,42751,0,1692
