ID,GarrTypeID,Field_9_0_2_36294_001,CooldownSeconds,Condition_9_0_2_36294_003,Field_9_0_2_36294_004,Field_9_0_2_36294_005
12,2,3,0,0,302,0
18,2,10,8553610,5793,0,0
19,2,4,2700,0,413,0
20,2,2,14400,0,302,0
26,2,0,0,5703,0,0
28,2,3,0,0,302,0
29,2,1,518400,0,302,0
30,2,5,14400,0,816,0
31,2,1,259200,0,816,0
32,2,2,43200,0,302,0
33,2,2,43200,0,816,0
34,2,4,1800,0,302,0
36,2,1,259200,0,302,0
38,2,2,43200,0,816,0
41,2,1,1209600,0,816,0
42,2,1,604800,0,816,0
43,2,2,28800,0,302,0
44,2,0,0,0,302,0
45,2,1,259200,0,816,0
46,2,1,259200,0,816,0
48,2,1,172800,0,816,0
49,2,1,1209600,0,816,0
53,2,1,259200,0,816,0
54,2,1,1728000,0,302,0
55,2,1,259200,0,816,0
56,2,1,259200,0,816,0
57,2,1,259200,0,816,0
58,2,1,259200,0,816,0
59,2,1,259200,0,816,0
60,2,1,259200,0,816,0
61,2,1,259200,0,816,0
62,2,2,86400,0,816,0
64,3,1,1800,5793,0,0
67,3,0,0,0,0,0
68,2,3,0,0,176,0
69,2,3,0,0,176,0
70,2,2,28800,0,176,0
71,2,2,28800,0,176,0
72,2,2,28800,0,176,0
73,2,2,28800,0,176,0
74,2,1,604800,0,176,0
75,2,2,28800,0,176,0
76,2,2,28800,0,176,0
77,3,3,0,0,339,0
78,2,1,604800,0,176,0
79,2,1,604800,0,176,0
80,2,1,604800,0,176,0
81,3,0,0,0,0,0
82,2,3,64800,0,176,0
83,2,1,1152000,0,176,0
84,2,1,0,0,176,0
86,2,1,259200,0,176,0
87,2,1,604800,0,176,0
88,2,1,0,0,176,0
89,2,1,28800,0,176,0
92,3,0,0,0,0,0
93,3,3,0,0,339,0
94,3,3,0,0,339,0
95,3,3,0,0,339,0
96,3,1,3,0,0,0
97,3,0,0,0,0,0
98,3,0,0,0,0,0
99,3,0,0,0,0,0
100,3,0,0,0,0,0
101,3,0,0,0,0,0
120,3,1,1,0,339,0
121,3,1,0,0,339,0
125,3,1,1,0,339,0
127,3,1,0,0,339,0
128,3,1,8553601,5793,0,0
129,3,1,1,0,339,0
131,3,1,0,0,339,0
132,3,1,0,0,0,0
133,3,1,1,0,339,0
147,3,1,0,0,339,0
148,3,1,1,0,339,0
149,3,1,1,0,339,0
153,3,1,0,0,339,0
154,3,100,0,40311,0,0
155,3,1,0,0,339,0
156,3,1,1,0,339,0
157,3,1,1,0,339,0
158,3,1,0,0,339,0
159,3,1,1,0,339,0
161,3,1,0,0,339,0
162,3,1,1,0,339,0
163,3,1,0,0,339,0
164,3,3,7200,40826,339,0
165,3,3,10800,40827,339,0
166,3,5,14400,40828,339,0
167,3,2,3600,40856,339,0
168,3,5,14400,40864,339,0
169,3,5,14400,40865,339,0
170,3,4,14400,40866,339,0
171,3,1,0,0,339,0
173,3,1,1,0,339,0
174,3,1,1,0,339,0
176,3,1,1,0,339,0
177,3,1,0,0,339,0
178,3,1,0,0,339,0
179,3,1,1,0,339,0
180,3,1,0,0,339,0
181,3,1,1,0,339,0
183,3,1,1,0,339,0
184,3,1,0,0,339,0
185,3,1,0,0,339,0
186,3,1,1,0,339,0
187,3,1,1,0,339,0
188,3,1,0,0,339,0
189,3,1,1,0,339,0
190,3,1,1,0,339,0
192,3,1,604800,5793,339,0
193,3,1,0,0,339,0
194,3,1,1,0,339,0
195,3,1,1,0,339,0
196,3,0,0,5793,0,0
197,3,1,1,0,339,0
198,3,1,1,0,339,0
199,3,1,0,0,339,0
200,3,1,0,0,339,0
201,3,1,1123200,5793,0,0
202,3,1,86400,43445,339,0
203,3,1,604800,43598,339,0
204,3,1,5,43353,339,0
