ID,Flags,ExpansionID,HPScalingCurveID,DMGScalingCurveID,HPPrimaryStatScalingCurveID,DMGPrimaryStatScalingCurveID,PrimaryStatScalingModPlayerDataElementCharacterID,PrimaryStatScalingModPlayerDataElementCharacterMultiplier,MinLevelSquish,MaxLevelSquish,MinLevelScalingOffset,MaxLevelScalingOffset,AllowedMinOffset,AllowedMaxOffset,LfgMinLevel,LfgMaxLevel,ILevel,XpMultQuest
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,0,-3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
371,0,-3,0,0,0,0,0,0,1,1,0,0,0,255,0,0,0,1
1395,0,-3,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1
1396,0,-3,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,1
2180,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,1
2836,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,1
4509,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,1
4512,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,1
4522,0,0,0,0,0,112491,0,0,35,35,0,0,0,0,0,0,0,1
4549,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,1
4550,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,1
5019,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5084,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,1
5146,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5237,256,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,1
5238,256,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,1
5239,256,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,1
5240,256,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,1
5241,256,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,1
5242,256,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,1
5243,256,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,1
5244,256,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,1
5245,256,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,1
5246,256,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,1
5247,256,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,1
5248,256,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,1
5249,256,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,1
5250,256,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,1
5251,256,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,1
5252,256,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,1
5253,256,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,1
5254,256,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,1
5255,256,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,1
5256,0,0,0,0,0,0,0,0,15,15,0,0,0,0,27,27,0,1
5376,0,0,0,0,0,0,0,0,32,36,0,0,0,0,0,0,0,1
5841,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5905,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,1
5906,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,1
5995,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1
6051,256,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1
6061,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,1
6102,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,0,0,1
6103,0,0,0,0,0,0,0,0,17,49,0,0,0,0,0,0,0,1
6147,0,0,0,0,0,0,0,0,22,30,0,0,0,0,0,0,0,1
6148,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,1
6149,0,0,0,0,0,0,0,0,29,38,0,0,0,0,0,0,0,1
6150,0,0,0,0,0,0,0,0,34,45,0,0,0,0,0,0,0,1
6151,0,0,0,0,0,0,0,0,37,46,0,0,0,0,0,0,0,1
6152,0,0,0,0,0,0,0,0,41,51,0,0,0,0,0,0,0,1
6153,0,0,0,0,0,0,0,0,44,54,0,0,0,0,0,0,0,1
6154,0,0,0,0,0,0,0,0,46,55,0,0,0,0,0,0,0,1
6155,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,1
6156,0,0,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,1
6259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6326,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,1
6409,256,0,0,0,0,0,0,0,35,47,0,0,0,0,0,0,0,1
6773,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,1
6874,0,11,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,1
7000,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,1
7033,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,1
7321,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,1
7323,0,0,0,0,0,0,0,0,13,13,0,0,0,0,13,13,0,1
7413,0,0,0,0,0,0,0,0,40,40,0,2,0,0,0,0,0,1
7414,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,1
7415,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,1
7416,0,0,0,0,0,0,0,0,45,60,0,0,0,0,0,0,0,1
7419,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,1
7420,0,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,1
7421,0,0,0,0,0,0,0,0,15,60,0,0,0,0,0,0,0,1
7422,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,1
7423,0,0,0,0,0,0,0,0,25,60,0,0,0,0,0,0,0,1
7424,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,1
7425,0,0,0,0,0,0,0,0,35,60,0,0,0,0,0,0,0,1
7426,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,1
7427,0,0,0,0,0,0,0,0,45,60,0,0,0,0,0,0,0,1
7428,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,0,0,1
7429,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,1
7430,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,1
7431,0,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,1
