AreaName_lang,ID,OrderIndex,PlayerConditionID,Field_11_1_5_59571_004,AreaID
Chamber of Lost Light,1,0,68604,0,9994
Terrace of Crafters,2,1,63282,0,8670
Anchors Down,3,0,63448,0,9401
The Drunk Tank,4,0,63426,0,9617
Sink n' Swim,5,0,5703,0,9617
Heyman's Hideaway,6,0,63291,0,8502
The Sand Bar,7,0,63292,0,8733
The Screaming Pit,8,0,5703,0,9698
Torga's Tavern,9,0,63306,0,8502
The Whale's Belly,10,0,63374,0,8567
Peon Hideout,11,0,65214,0,5484
Grong's Grotto,12,0,65990,0,9420
Grong's Grotto,13,0,65990,0,8731
Safe House,15,0,67602,0,9979
Safe House,16,0,67602,0,8717
Anduin's Wrath,17,0,67138,0,10454
Dawnsailor,18,0,67139,0,10454
Tiffin's Melody,19,0,67140,0,10454
The Lionheart,20,0,67141,0,10454
The Lionheart,21,0,67141,0,10455
Tiffin's Melody,22,0,67140,0,10455
Dawnsailor,23,0,67139,0,10455
Anduin's Wrath,24,0,67138,0,10455
Light of the Loa,25,0,68603,0,9994
Mad Duke's Parlor,27,0,73061,0,10985
Costel's Hideout,28,0,73506,0,10985
Manor of Minions,29,1,76787,0,10985
Seat of the Primus,30,0,78035,0,11466
Citadel of Doubt,31,0,0,0,13311
Zerekriss,42,0,85380,0,11462
The Stitchwerks,43,0,86352,0,13473
Zolramus,44,0,86354,0,13473
Arkoban Hall,45,0,87430,0,13400
Torment Chamber: Jaina,46,0,87491,0,13404
Torment Chamber: Thrall,47,0,87550,0,13413
Ring of Dance,48,0,88819,0,11510
Ring of Dance,49,0,88819,0,12244
Ring of Dance,50,0,88819,0,12243
Ossuary of the Banished,51,0,89786,0,13575
Temple of Devotion,52,0,91076,0,11379
The Rift,53,0,91308,0,13196
The Rift,54,0,91308,0,11524
The Rift,55,0,91308,0,11528
The Rift,56,0,91308,0,11530
The Rift,57,0,91308,0,11400
The Rift,58,0,91308,0,13217
The Rift,59,0,91308,0,13216
The Rift,60,0,91308,0,13560
The Rift,61,0,91308,0,11526
The Rift,62,0,91308,0,13215
Hollow of the Insolent,63,0,91308,0,13432
The Rift,64,0,91308,0,11525
The Rift,65,0,91308,0,13222
The Rift,66,0,91308,0,11529
The Rift,67,0,91308,0,13223
The Rift,68,0,91308,0,13437
The Rift,69,0,91308,0,13218
The Rift,70,0,91308,0,13491
The Rift,71,0,91308,0,13492
The Rift,72,0,91308,0,11527
The Rift,73,0,91308,0,13219
The Rift,74,0,91308,0,13221
The Rift,75,0,91308,0,13570
The Rift,76,0,91308,0,13624
The Rift,77,0,91308,0,13625
The Rift,78,0,91308,0,13626
The Rift,79,0,91308,0,13627
The Rift,80,0,91308,0,13628
The Rift,81,0,91308,0,13629
The Rift,82,0,91308,0,13630
The Rift,83,0,91308,0,13631
The Rift,84,0,91308,0,13666
The Rift,85,0,91308,0,13673
The Rift,86,0,91308,0,13677
The Rift,87,0,91308,0,13538
Penance of the Fallen King,88,0,92820,0,13561
The Eye's Overlook,89,3,92897,0,13561
The Bubble Bath,90,0,102752,0,14158
The Drifter's Dive,91,0,105179,0,13646
Zskera Vault: Ur,92,0,105458,0,14619
Zskera Vault: Az,93,0,105457,0,14619
Zskera Vaults,94,0,108147,0,14619
Zskera Vault: Kx,95,0,106952,0,14619
Zskera Vault: Ix,96,0,105459,0,14619
Suffusion Camp: Frostburn,97,3,109548,0,13892
Suffusion Camp: Cinderwind,98,1,107864,0,13754
Suffusion Camp: Frostburn,99,1,109548,0,13860
Ruins of Boulderhome,100,0,111020,0,14875
Grand Rampart,101,1,125385,0,15362
Grand Rampart,103,1,125385,0,15364
Terrace of Majesty,104,1,125954,0,15365
The Ascending Reach,105,1,126053,0,15365
Kili-zar Arena,106,1,126056,0,15365
Entrepreneur Inc.,107,0,127336,0,15351
Entrepreneur Inc.,108,0,127336,0,15350
The Moneymaker,109,0,128497,0,15347
