ID,FileDataID,OrderIndex,Type,LiquidTypeID
37270,219901,0,-1,1
37271,219912,1,-1,1
37272,219923,2,-1,1
37273,219925,3,-1,1
37274,219926,4,-1,1
37275,219927,5,-1,1
37276,219928,6,-1,1
37277,219929,7,-1,1
37278,219930,8,-1,1
37279,219902,9,-1,1
37280,219903,10,-1,1
37281,219904,11,-1,1
37282,219905,12,-1,1
37283,219906,13,-1,1
37284,219907,14,-1,1
37285,219908,15,-1,1
37286,219909,16,-1,1
37287,219910,17,-1,1
37288,219911,18,-1,1
37289,219913,19,-1,1
37290,219914,20,-1,1
37291,219915,21,-1,1
37292,219916,22,-1,1
37293,219917,23,-1,1
37294,219918,24,-1,1
37295,219919,25,-1,1
37296,219920,26,-1,1
37297,219921,27,-1,1
37298,219922,28,-1,1
37299,219924,29,-1,1
37301,463849,31,-1,1
37302,317230,32,-1,1
37303,219855,0,-1,2
37304,219866,1,-1,2
37305,219877,2,-1,2
37306,219879,3,-1,2
37307,219880,4,-1,2
37308,219881,5,-1,2
37309,219882,6,-1,2
37310,219883,7,-1,2
37311,219884,8,-1,2
37312,219856,9,-1,2
37313,219857,10,-1,2
37314,219858,11,-1,2
37315,219859,12,-1,2
37316,219860,13,-1,2
37317,219861,14,-1,2
37318,219862,15,-1,2
37319,219863,16,-1,2
37320,219864,17,-1,2
37321,219865,18,-1,2
37322,219867,19,-1,2
37323,219868,20,-1,2
37324,219869,21,-1,2
37325,219870,22,-1,2
37326,219871,23,-1,2
37327,219872,24,-1,2
37328,219873,25,-1,2
37329,219874,26,-1,2
37330,219875,27,-1,2
37331,219876,28,-1,2
37332,219878,29,-1,2
37333,0,30,0,2
37334,463849,31,-1,2
37335,317230,32,-1,2
37336,219795,0,-1,3
37337,219806,1,-1,3
37338,219817,2,-1,3
37339,219819,3,-1,3
37340,219820,4,-1,3
37341,219821,5,-1,3
37342,219822,6,-1,3
37343,219823,7,-1,3
37344,219824,8,-1,3
37345,219796,9,-1,3
37346,219797,10,-1,3
37347,219798,11,-1,3
37348,219799,12,-1,3
37349,219800,13,-1,3
37350,219801,14,-1,3
37351,219802,15,-1,3
37352,219803,16,-1,3
37353,219804,17,-1,3
37354,219805,18,-1,3
37355,219807,19,-1,3
37356,219808,20,-1,3
37357,219809,21,-1,3
37358,219810,22,-1,3
37359,219811,23,-1,3
37360,219812,24,-1,3
37361,219813,25,-1,3
37362,219814,26,-1,3
37363,219815,27,-1,3
37364,219816,28,-1,3
37365,219818,29,-1,3
37366,219991,0,-1,4
37367,220002,1,-1,4
37368,220013,2,-1,4
37369,220015,3,-1,4
37370,220016,4,-1,4
37371,220017,5,-1,4
37372,220018,6,-1,4
37373,220019,7,-1,4
37374,220020,8,-1,4
37375,219992,9,-1,4
37376,219993,10,-1,4
37377,219994,11,-1,4
37378,219995,12,-1,4
37379,219996,13,-1,4
37380,219997,14,-1,4
37381,219998,15,-1,4
37382,219999,16,-1,4
37383,220000,17,-1,4
37384,220001,18,-1,4
37385,220003,19,-1,4
37386,220004,20,-1,4
37387,220005,21,-1,4
37388,220006,22,-1,4
37389,220007,23,-1,4
37390,220008,24,-1,4
37391,220009,25,-1,4
37392,220010,26,-1,4
37393,220011,27,-1,4
37394,220012,28,-1,4
37395,220014,29,-1,4
37396,219991,0,-1,21
37397,220002,1,-1,21
37398,220013,2,-1,21
37399,220015,3,-1,21
37400,220016,4,-1,21
37401,220017,5,-1,21
37402,220018,6,-1,21
37403,220019,7,-1,21
37404,220020,8,-1,21
37405,219992,9,-1,21
37406,219993,10,-1,21
37407,219994,11,-1,21
37408,219995,12,-1,21
37409,219996,13,-1,21
37410,219997,14,-1,21
37411,219998,15,-1,21
37412,219999,16,-1,21
37413,220000,17,-1,21
37414,220001,18,-1,21
37415,220003,19,-1,21
37416,220004,20,-1,21
37417,220005,21,-1,21
37418,220006,22,-1,21
37419,220007,23,-1,21
37420,220008,24,-1,21
37421,220009,25,-1,21
37422,220010,26,-1,21
37423,220011,27,-1,21
37424,220012,28,-1,21
37425,220014,29,-1,21
37462,219901,0,-1,13
37463,219912,1,-1,13
37464,219923,2,-1,13
37465,219925,3,-1,13
37466,219926,4,-1,13
37467,219927,5,-1,13
37468,219928,6,-1,13
37469,219929,7,-1,13
37470,219930,8,-1,13
37471,219902,9,-1,13
37472,219903,10,-1,13
37473,219904,11,-1,13
37474,219905,12,-1,13
37475,219906,13,-1,13
37476,219907,14,-1,13
37477,219908,15,-1,13
37478,219909,16,-1,13
37479,219910,17,-1,13
37480,219911,18,-1,13
37481,219913,19,-1,13
37482,219914,20,-1,13
37483,219915,21,-1,13
37484,219916,22,-1,13
37485,219917,23,-1,13
37486,219918,24,-1,13
37487,219919,25,-1,13
37488,219920,26,-1,13
37489,219921,27,-1,13
37490,219922,28,-1,13
37491,219924,29,-1,13
37492,0,30,2,13
37493,463849,31,-1,13
37494,317230,32,-1,13
37495,219901,0,-1,5
37496,219912,1,-1,5
37497,219923,2,-1,5
37498,219925,3,-1,5
37499,219926,4,-1,5
37500,219927,5,-1,5
37501,219928,6,-1,5
37502,219929,7,-1,5
37503,219930,8,-1,5
37504,219902,9,-1,5
37505,219903,10,-1,5
37506,219904,11,-1,5
37507,219905,12,-1,5
37508,219906,13,-1,5
37509,219907,14,-1,5
37510,219908,15,-1,5
37511,219909,16,-1,5
37512,219910,17,-1,5
37513,219911,18,-1,5
37514,219913,19,-1,5
37515,219914,20,-1,5
37516,219915,21,-1,5
37517,219916,22,-1,5
37518,219917,23,-1,5
37519,219918,24,-1,5
37520,219919,25,-1,5
37521,219920,26,-1,5
37522,219921,27,-1,5
37523,219922,28,-1,5
37524,219924,29,-1,5
37525,0,30,1,5
37526,463849,31,-1,5
37527,317230,32,-1,5
37528,219885,0,-1,9
37529,219893,1,-1,9
37530,219894,2,-1,9
37531,219895,3,-1,9
