ID,SmoothFacingChaseRate
1,2
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
321,4
341,5
361,0
381,6
401,5
421,0
441,10
461,0
481,0
501,12
521,0
541,10
561,0
581,0
601,0
602,0
641,5.7
661,5
681,5
701,0
721,10
741,10
761,5
781,1
801,0.25
821,0
841,0
861,0
862,6
863,1
864,0
865,0
866,5
867,0
868,0
869,6
870,1
871,0
872,0
873,0
875,0
884,0
885,2
888,2
894,0
903,0
907,0
908,12
911,0
912,0
913,10
915,0
916,4
917,5
918,0
922,0
923,0
924,6
925,6
926,0
927,0.5
928,6
929,0
930,0
931,0
935,0
936,0
937,0
938,0
939,4
940,0
941,5
942,6
943,0
944,5
945,2
947,20
948,5
949,6
950,0
951,1
952,5
953,8
954,5
955,5
956,0
957,1
958,0
959,0
960,1
961,0
962,4
963,0
964,0
965,0
966,0
967,5
968,3
969,4
970,5
971,5
972,8
973,8
974,0
975,0
977,0
978,0
979,1
980,2
981,0
982,5
983,0
984,3
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
996,0
997,6
999,0
1000,3
1001,1
1003,0
1779,0
1780,2
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0.5
1887,0
1888,0
1889,0
1890,0
1892,0
1893,0
1894,0
1895,2
1896,4
1985,0
1986,0
2073,0
2075,9999
2076,4
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2089,0
2091,0
2092,0
2093,0
2094,0.5
2095,0
2096,12
2098,2
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2111,0
2114,6
2115,0
2116,0
2120,0
