ID,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
248,Portal,"Creates a portal, teleporting group members who use it to a major city.",0,128,135748,-1321907123,1427461461
249,Portal,"Creates a portal, teleporting group members who use it to a major city.",0,128,135744,1309324210,-1440044374
250,Teleport,Teleports you to a major city.,0,128,135763,-1321907123,1427461461
251,Teleport,Teleports you to a major city.,0,128,135759,1309324210,-1440044374
252,Spell Resistances,Your resistances to spells.,0,-1,135911,-1,-1
253,Aspect,Take on aspects of nature.,0,4,236172,-1,-1
257,Weapon Proficiencies,"Your weapon skill determines your effectiveness in combat, affecting your chance to hit, critically hit, and avoid being dodged or parried, as well as the damage reduction of your Glancing Blows.",0,-1,1030902,-1,-1
259,Summon Demon,Summons a Demon under the command of the Warlock,0,256,136218,-1,-1
261,Imp Spells,[PH] Commands the Imp to cast spells,0,256,135809,-1,-1
262,Shapeshift,Shapeshift into a different form.,0,1024,132276,-1,-1
263,Retribution Blessings,Places Retribution Blessings on friendly targets.,0,2,135906,-1,-1
264,Blessings,Places a Blessing on friendly targets.,0,2,135995,-1,-1
265,Protection Blessings,Places Protection Blessings on friendly targets.,0,2,135968,-1,-1
267,Pet Utilities,Manage your pets.,0,4,132164,-1,-1
268,Tracking,Track your quarry.,0,4,132328,-1,-1
269,Stances,Activate a combat stance.,0,1,132349,-1,-1
270,Auras,Activate a protective aura for your group.,0,2,135893,-1,-1
272,Greater Blessings,Blessings that target all members of your group that share the same class.,0,2,135908,-1,-1
273,Utility Blessings,Short duration Blessings used to save a single target.,0,2,135968,-1,-1
