ID,ExpansionID,CreatureHealth,PlayerHealth,CreatureAutoAttackDps,CreatureArmor,PlayerMana,PlayerPrimaryStat,PlayerSecondaryStat,ArmorConstant,CreatureSpellDamage,ContentSetID,Lvl
1,-2,132.6,584.49426,9.507064,50,400,20,0,116,584.49426,0,1
2,-2,150.345,642.94366,10.457769,54,430,22,0,126,642.94366,0,2
3,-2,171.07524,701.3931,11.408476,59,465,24,0,137,701.3931,0,3
4,-2,194.99768,759.8425,12.359182,63,500,26,0,147,759.8425,0,4
5,-2,219.6958,818.292,13.309889,68,540,28,0,158,818.292,0,5
6,-2,246.54286,876.7414,14.275702,72,585,30,0,168,877.6702,0,6
7,-2,277.61255,935.1908,15.258671,77,630,32,0,179,938.103,0,7
8,-2,316.81226,993.64026,16.577635,81,685,34,0,189,1019.1929,0,8
9,-2,369.63184,1052.0897,18.26436,86,740,36,0,200,1122.893,0,9
10,-2,443.2151,1115.8746,20.353195,90,800,41.116955,3.550728,210,1251.3145,0,10
11,-2,542.3096,1181.1067,23.244751,95,860,47.498642,8.693524,221,1416.3181,0,11
12,-2,664.28735,1248.03,26.987734,99,925,54.979706,15.128895,231,1629.5553,0,12
13,-2,809.388,1975.1384,32.03719,104,995,63.63723,22.948322,242,1916.849,0,13
14,-2,977.1028,2081.1606,37.848164,108,1070,73.56717,32.26478,252,2243.74,0,14
15,-2,1164.1469,2190.332,44.44103,113,1150,79.15124,38.222134,263,2610.1697,0,15
16,-2,1378.2413,3074.394,52.251514,117,1240,88.663826,53.593937,273,3040.2021,0,16
17,-2,1615.3977,3233.9048,60.52218,122,1335,99.18065,71.419785,284,3488.1755,0,17
18,-2,1868.6066,4230.6304,69.17522,126,1435,108.25628,86.90324,294,3948.8901,0,18
19,-2,2136.1975,4422.5967,77.82372,131,1545,117.86507,104.0115,305,4399.8423,0,19
20,-2,2403.2856,4601.9697,86.66857,135,1660,125.82597,118.40924,315,4852.284,0,20
21,-2,2664.389,5616.1997,95.63052,137,1790,132.56544,133.75789,320,5301.501,0,21
22,-2,2915.6643,5713.544,103.79459,139,1925,139.48839,150.02217,325,5697.0776,0,22
23,-2,3144.085,5792.5957,111.52648,142,2070,143.23944,160.73221,330,6060.2,0,23
24,-2,3361.474,6852.1855,119.43829,143,2230,146.89455,171.41754,335,6424.506,0,24
25,-2,3565.5073,6948.2983,126.98552,145,2400,150.44928,182.0377,339,6760.709,0,25
26,-2,3754.2898,7034.4844,134.22437,147,2580,152.62164,184.97118,343,7072.371,0,26
27,-2,3938.1338,7122.3853,141.21892,149,2780,162.38596,187.55725,347,7363.3423,0,27
28,-2,4099.1406,7212.133,148.45372,151,2990,164.37846,189.80785,352,7659.0244,0,28
29,-2,4243.817,8349.047,155.95987,153,3215,166.45024,192.1487,356,7960.6074,0,29
30,-2,4378.775,8459.818,162.62292,155,3460,168.60362,194.58247,361,8211.373,0,30
31,-2,4505.3022,8574.88,168.94266,157,3725,170.84108,197.11194,366,8437.672,0,31
32,-2,4635.451,8694.365,174.92494,159,4010,173.16519,199.73999,371,8640.358,0,32
33,-2,4769.1445,8818.414,180.56885,161,4315,175.57867,202.46967,377,8819.945,0,33
34,-2,4906.2925,8947.172,185.87273,164,4640,178.08434,205.30412,382,8976.909,0,34
35,-2,5046.7944,9080.793,190.83414,166,4995,180.68513,208.2467,388,9111.694,0,35
36,-2,5190.8955,9219.437,195.94244,169,5375,183.38416,211.30089,394,9247.961,0,36
37,-2,5338.8438,9363.2705,201.91283,171,5785,186.18465,214.47028,400,9418.829,0,37
38,-2,5496.576,9512.471,208.68564,174,6225,189.08998,217.7587,406,9620.13,0,38
39,-2,5663.9473,9667.219,216.19731,177,6695,192.10371,221.17014,413,9847.644,0,39
40,-2,5840.844,9827.707,224.37994,180,7205,195.22952,224.70874,420,10097.098,0,40
41,-2,6027.1895,9994.136,233.16109,183,7755,198.4713,228.37886,427,10492.249,0,41
42,-2,6211.5625,11437.555,242.61588,186,8345,201.83307,232.18504,434,10917.714,0,42
43,-2,6394.7505,11638.871,251.2543,189,8980,205.31909,236.13206,442,11306.443,0,43
44,-2,6577.511,11847.612,259.1318,193,9660,208.93379,240.2249,450,11660.931,0,44
45,-2,6760.5776,12064.046,266.30713,196,10395,212.6818,244.46873,458,11983.821,0,45
46,-2,6950.345,12288.456,272.84268,200,11185,216.56793,248.86903,467,12277.92,0,46
47,-2,7147.104,12521.137,278.80457,204,12035,220.5973,253.4315,476,12546.206,0,47
48,-2,7352.7056,12762.397,285.15463,208,12955,224.77519,258.16208,485,12831.959,0,48
49,-2,7569.0776,13012.561,292.71198,212,13940,229.10716,263.06702,494,13172.039,0,49
50,-2,7798.2295,13271.967,301.50626,216,15000,233.59901,268.15283,504,13567.782,0,50
51,-2,8053.2207,13540.968,311.56833,220,15785,238.25682,273.42636,514,14020.575,0,51
52,-2,8333.68,13819.936,307.10968,225,16610,243.08694,278.89474,525,13819.936,0,52
53,-2,8639.231,15676.953,348.37674,230,17480,248.09604,284.56546,536,15676.953,0,53
54,-2,8969.498,16043.028,347.7531,235,18400,256.42877,296.54553,548,15648.89,0,54
55,-2,9302.162,16390.098,360.57047,240,19360,261.93378,302.87167,559,16225.671,0,55
56,-2,9637.304,16750.139,372.55664,245,20375,267.64432,309.43375,572,16765.049,0,56
57,-2,9967.373,17123.672,380.73407,251,21445,273.56854,316.24112,585,17133.033,0,57
58,-2,10301.672,17511.242,389.21988,256,22570,279.71512,323.30365,598,17514.895,0,58
59,-2,10651.523,17913.424,398.07608,262,23755,286.09305,330.63168,612,17913.424,0,59
60,-2,11265.036,20210.365,449.11923,268,25000,296.77173,346.12805,626,20210.365,0,60
61,-2,11787.895,20688.676,459.74835,275,26790,303.79523,354.31955,641,20688.676,0,61
62,-2,12333.207,21185.203,470.7823,281,28715,311.0862,362.82303,656,21185.203,0,62
63,-2,12902.103,21700.709,482.23798,288,30775,318.65588,371.65152,672,21700.709,0,63
64,-2,13495.771,24257.445,539.0543,295,32985,326.51596,380.81873,689,24257.445,0,64
65,-2,14115.468,24863.88,552.5307,302,35355,334.67874,390.339,706,24863.88,0,65
66,-2,14740.139,25489.719,566.4382,310,37890,342.83313,399.59753,723,25489.719,0,66
67,-2,15367.839,26135.596,580.791,317,40610,350.9631,408.5526,740,26135.596,0,67
68,-2,15996.567,29035.705,645.2379,325,43525,359.05258,417.162,758,29035.705,0,68
69,-2,16624.291,29781.076,661.8017,332,46650,367.08557,425.38297,775,29781.076,0,69
70,-2,17248.973,30550.508,678.90015,340,50000,375.0464,433.1729,793,30550.508,0,70
71,-2,21422.756,37980.54,844.012,344,52065,380.23508,440.48938,803,37980.54,0,71
72,-2,22353.4,38359.01,852.4225,348,54220,385.17203,447.29056,813,38359.01,0,72
