InternalName,ID,Amount,TraitCurrencyID
10.0 Professions - Blacksmithing - Tab Unlock Cost - Test (HRO),28,1,3
10.0 Professions - Blacksmithing - Knowledge - Test (HRO),29,1,1
10.0 Professions - Blacksmithing - Armorsmithing Children Cost - Test (HRO),30,1,24
Validation Test Sourced Cost (AMK),31,1,25
10.0 Professions - Blacksmithing - Large Plate Armor Children Cost - Test (HRO),32,1,26
10.0 Professions - Blacksmithing - Sculpted Armor Children Cost - Test (HRO),33,1,27
Validation Test Gold Cost (AMK),34,1,28
Validation Test Currency Cost (AMK),35,1,29
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,197,1,292
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,198,1,293
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,199,1,294
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,200,1,295
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,201,1,296
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,202,1,297
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,203,1,298
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,204,1,299
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,205,1,300
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,206,1,301
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,207,1,302
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,208,1,303
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,209,1,304
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,210,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,211,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,212,1,305
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,213,1,306
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,214,1,307
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,215,1,308
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,216,1,309
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,217,1,310
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,218,1,311
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,219,1,312
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,220,1,313
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,221,1,314
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,222,1,315
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,223,1,316
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,224,1,317
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,225,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,226,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,227,1,318
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,228,1,319
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,229,1,320
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,230,1,321
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,231,1,322
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,232,1,323
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,233,1,324
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,234,1,325
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,235,1,326
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,236,1,327
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,237,1,328
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,238,1,329
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,239,1,330
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,240,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,241,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,242,1,331
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,243,1,332
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,244,1,333
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,245,1,334
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,246,1,335
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,247,1,336
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,248,1,337
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,249,1,338
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,250,1,339
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,251,1,340
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,252,1,341
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,253,1,342
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,254,1,343
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,255,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,256,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,272,1,357
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,273,1,358
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,274,1,359
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,275,1,360
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,276,1,361
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,277,1,362
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,278,1,363
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,279,1,364
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,280,1,365
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,281,1,366
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,282,1,367
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,283,1,368
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,284,1,369
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,285,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,286,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,287,1,370
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,288,1,371
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,289,1,372
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,290,1,373
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,291,1,374
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,292,1,375
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,293,1,376
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,294,1,377
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,295,1,378
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,296,1,379
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,297,1,380
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,298,1,381
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,299,1,382
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,300,1,3
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,301,1,1
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,302,1,383
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,303,1,384
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,304,1,385
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,305,1,386
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,306,1,387
