ID,AirFriction,MaxVel,Field_10_0_0_44167_002,DoubleJumpVelMod,LiftCoefficient,GlideStartMinHeight,AddImpulseMaxSpeed,BankingRateMin,BankingRateMax,PitchingRateDownMin,PitchingRateDownMax,PitchingRateUpMin,PitchingRateUpMax,TurnVelocityThresholdMin,TurnVelocityThresholdMax,SurfaceFriction,OverMaxDeceleration,Field_10_0_0_45232_017,Field_10_0_0_45232_018,Field_10_0_0_45232_019,Field_10_0_0_45232_020,Field_10_0_0_45232_021,Field_10_0_0_45335_022,Field_10_1_5_49719_023,SpellID
1,1.5,65,20,5,0.07,7.5,100,140,250,180,320,180,280,45,65,2.75,7,120,180,180,65,35,0.4,0.92,372610
2,1.5,45,20,5,0.07,7.5,100,140,270,180,320,180,280,45,65,2.75,7,120,180,180,65,35,0.4,0.92,372610
3,1.5,65,20,5,0.07,7.5,100,140,270,180,360,180,360,45,65,2.75,7,120,180,180,65,35,0.4,0.92,372610
4,1,55,20,5,0.07,7,85,75,150,180,360,180,360,45,75,5,5,120,180,180,65,35,0.4,0.92,398222
5,1.5,65,0,5,0.07,7.5,100,140,270,180,360,180,360,45,65,2.75,7,120,180,180,65,35,0.4,0,401671
6,1,45,20,5,0.07,7,85,80,125,180,360,180,360,35,65,5.5,7,120,180,180,65,35,0.4,0.92,405844
7,1,50,20,5,0.07,7,85,75,150,180,360,180,360,50,75,5,7,120,180,180,65,35,0.4,0.92,405845
8,1,45,20,5,0.07,7,75,100,200,180,360,180,360,60,90,5,6,120,180,180,65,35,0.4,0.92,405846
9,1,40,20,5,0.07,7,75,50,175,180,360,180,360,55,60,5.5,8,120,180,180,65,35,0.4,0.92,405848
10,1.25,75,20,5,0.07,7.5,110,90,270,180,360,180,360,45,70,2.75,5,120,180,180,65,35,0.4,0.92,405844
11,1.5,65,20,5,0.07,7.5,100,140,270,180,320,180,280,45,65,2.75,7,120,180,180,65,35,0.4,0.92,372610
14,1.5,65,20,5,0.07,7.5,100,140,250,180,320,180,280,45,65,2.75,7,120,180,180,65,35,0.4,0.92,372610
15,10,35,20,5,0.1,5,75,30,30,30,30,30,30,45,75,10,10,120,180,180,65,35,1,0.5,0
16,2,60,20,1,0.01,1,60,35,40,25,25,3,3,20,60,90,0,120,180,180,30,25,0.01,0.75,0
17,1.5,60,20,5,0.07,7.5,100,140,270,6,25,25,320,45,65,2.75,7,120,180,180,30,35,0.04,0.92,0
