ID,SpellID,Slot,ModifiedCraftingReagentSlotID,Field_9_0_1_35679_003,ReagentCount,ReagentReCraftCount
19,309181,0,77,0,1,0
30,309180,0,46,0,1,0
32,309179,0,46,0,1,0
34,309178,0,46,0,1,0
36,309177,0,46,0,1,0
38,309176,0,46,0,1,0
40,309175,0,46,0,1,0
43,309174,0,77,0,1,0
51,310877,0,77,45,1,0
54,310876,0,46,45,1,0
57,310875,0,46,45,1,0
60,310874,0,46,45,1,0
63,310873,0,46,45,1,0
66,310872,0,46,45,1,0
69,310871,0,46,45,1,0
72,310870,0,46,45,1,0
75,310869,0,77,45,1,0
78,307670,0,77,45,1,0
81,307669,0,46,45,1,0
84,307668,0,46,45,1,0
87,307667,0,46,45,1,0
90,307666,0,46,45,1,0
93,307665,0,46,45,1,0
96,307664,0,46,45,1,0
99,307663,0,46,45,1,0
114,288097,0,67,0,1,0
115,288097,1,67,0,1,0
117,309189,0,77,0,1,0
120,309188,0,46,0,1,0
123,309187,0,46,0,1,0
126,309186,0,46,0,1,0
129,309185,0,46,0,1,0
132,309184,0,46,0,1,0
135,309183,0,46,0,1,0
138,309182,0,77,0,1,0
165,309237,0,17,0,1,0
166,309237,1,17,0,1,0
167,309237,2,16,0,1,0
168,309236,0,17,0,1,0
169,309236,1,17,0,1,0
170,309236,2,16,0,1,0
171,309235,0,17,0,1,0
172,309235,1,17,0,1,0
173,309235,2,16,0,1,0
174,309234,0,17,0,1,0
175,309234,1,17,0,1,0
176,309234,2,16,0,1,0
177,309233,0,17,0,1,0
178,309233,1,17,0,1,0
179,309233,2,16,0,1,0
180,309232,0,17,0,1,0
181,309232,1,17,0,1,0
182,309232,2,16,0,1,0
183,309230,0,17,0,1,0
184,309230,1,17,0,1,0
185,309230,2,16,0,1,0
186,309231,0,17,0,1,0
187,309231,1,17,0,1,0
188,309231,2,16,0,1,0
357,309245,0,17,0,1,0
358,309245,1,17,0,1,0
359,309245,2,16,0,1,0
360,309244,0,17,0,1,0
361,309244,1,17,0,1,0
362,309244,2,16,0,1,0
363,309243,0,17,0,1,0
364,309243,1,17,0,1,0
365,309243,2,16,0,1,0
366,309242,0,17,0,1,0
367,309242,1,17,0,1,0
368,309242,2,16,0,1,0
369,309241,0,17,0,1,0
370,309241,1,17,0,1,0
371,309241,2,16,0,1,0
372,309240,0,17,0,1,0
373,309240,1,17,0,1,0
374,309240,2,16,0,1,0
375,309238,0,17,0,1,0
376,309238,1,17,0,1,0
377,309238,2,16,0,1,0
378,309239,0,17,0,1,0
379,309239,1,17,0,1,0
380,309239,2,16,0,1,0
392,322595,0,17,0,1,0
393,322595,1,17,0,1,0
394,322595,2,16,0,1,0
395,322593,0,17,0,1,0
396,322593,1,17,0,1,0
397,322593,2,16,0,1,0
398,322587,0,17,0,1,0
399,322587,1,17,0,1,0
400,322587,2,16,0,1,0
401,322588,0,17,0,1,0
402,322588,1,17,0,1,0
403,322588,2,16,0,1,0
404,322589,0,17,0,1,0
405,322589,1,17,0,1,0
406,322589,2,16,0,1,0
407,322590,0,17,0,1,0
408,322590,1,17,0,1,0
409,322590,2,16,0,1,0
410,322591,0,17,0,1,0
411,322591,1,17,0,1,0
412,322591,2,16,0,1,0
413,322594,0,17,0,1,0
414,322594,1,17,0,1,0
415,322594,2,16,0,1,0
417,122568,0,47,0,1,0
418,122583,0,31,40,1,0
419,171696,0,31,40,1,0
421,122576,0,31,40,1,0
422,122580,0,31,40,1,0
423,122600,0,31,0,1,0
424,122604,0,31,0,1,0
425,122639,0,31,40,1,0
426,153667,0,31,0,1,0
427,122577,0,31,40,1,0
428,122579,0,31,40,1,0
429,122582,0,31,40,1,0
430,122601,0,31,0,1,0
431,122603,0,31,0,1,0
432,122606,0,31,0,1,0
433,171691,0,31,40,1,0
434,171692,0,31,40,1,0
435,171694,0,31,40,1,0
436,171697,0,31,40,1,0
437,178243,0,31,40,1,0
438,122581,0,31,40,1,0
439,122605,0,31,0,1,0
440,122640,0,31,0,1,0
441,122578,0,31,40,1,0
442,122602,0,31,0,1,0
443,153666,0,31,0,1,0
444,171698,0,47,40,1,0
445,178245,0,47,40,1,0
446,171707,0,47,40,1,0
447,171693,0,47,40,1,0
448,171704,0,47,40,1,0
449,153668,0,47,0,1,0
450,171702,0,47,40,1,0
451,122570,0,47,0,1,0
452,122586,0,47,0,1,0
453,122635,0,47,40,1,0
454,122636,0,47,40,1,0
455,171701,0,47,40,1,0
456,122574,0,47,0,1,0
457,122584,0,47,0,1,0
458,122590,0,47,0,1,0
459,171695,0,47,40,1,0
460,122569,0,47,0,1,0
461,122575,0,47,0,1,0
462,122585,0,47,0,1,0
463,122591,0,47,0,1,0
464,171700,0,47,40,1,0
468,122573,0,48,0,1,0
469,122589,0,48,0,1,0
470,153605,0,48,0,1,0
471,153608,0,48,0,1,0
472,153628,0,48,0,1,0
473,153629,0,48,0,1,0
474,171703,0,48,40,1,0
475,153612,0,48,0,1,0
476,122572,0,48,0,1,0
477,122588,0,48,0,1,0
478,153607,0,48,0,1,0
479,153627,0,48,0,1,0
480,153630,0,48,0,1,0
481,122571,0,48,0,1,0
482,122587,0,48,0,1,0
483,122637,0,48,40,1,0
484,122638,0,48,40,1,0
485,122641,0,48,0,1,0
486,122597,0,48,0,1,0
487,122613,0,48,0,1,0
488,122647,0,48,0,1,0
489,153609,0,48,0,1,0
490,171706,0,48,40,1,0
491,122644,0,48,0,1,0
492,122646,0,48,0,1,0
493,153611,0,48,0,1,0
494,122595,0,48,0,1,0
495,122611,0,48,0,1,0
496,122650,0,48,0,1,0
497,122651,0,48,0,1,0
498,122652,0,48,0,1,0
499,122653,0,48,0,1,0
500,122654,0,48,0,1,0
501,153606,0,48,0,1,0
502,122593,0,48,0,1,0
503,122609,0,48,0,1,0
504,122596,0,49,0,1,0
505,122612,0,49,0,1,0
506,122615,0,49,0,1,0
507,153610,0,49,0,1,0
508,122594,0,49,0,1,0
509,122610,0,49,0,1,0
510,122649,0,49,0,1,0
511,153649,0,49,0,1,0
512,153653,0,49,0,1,0
513,122592,0,49,0,1,0
514,122608,0,49,0,1,0
515,122645,0,49,0,1,0
516,122648,0,49,0,1,0
517,153631,0,49,0,1,0
518,153644,0,49,0,1,0
519,153645,0,49,0,1,0
520,171705,0,49,40,1,0
521,122598,0,49,0,1,0
522,122614,0,49,0,1,0
523,153651,0,49,0,1,0
524,153652,0,49,0,1,0
525,122621,0,49,0,1,0
526,122629,0,49,0,1,0
527,122642,0,49,0,1,0
528,122643,0,49,0,1,0
529,137780,0,49,40,1,0
530,137781,0,49,40,1,0
531,137791,0,49,40,1,0
532,137792,0,49,40,1,0
533,153648,0,49,0,1,0
534,122617,0,49,0,1,0
535,122625,0,49,0,1,0
536,140842,0,49,40,1,0
537,137775,0,49,40,1,0
538,137786,0,49,40,1,0
539,137797,0,49,40,1,0
540,153643,0,49,0,1,0
541,122623,0,49,0,1,0
542,122631,0,49,0,1,0
543,137776,0,49,40,1,0
544,137777,0,49,40,1,0
545,137787,0,49,40,1,0
546,137788,0,49,40,1,0
547,153650,0,49,0,1,0
548,122619,0,49,0,1,0
549,122627,0,49,0,1,0
550,126855,0,49,0,1,0
551,126851,0,49,0,1,0
552,126853,0,49,0,1,0
553,140845,0,49,40,1,0
554,137783,0,49,40,1,0
555,137794,0,49,40,1,0
556,153646,0,49,0,1,0
557,122618,0,49,0,1,0
558,122626,0,49,0,1,0
