ID,PVPStatID,PVPScoreboardColumnHeaderID,OrderIndex
2,42,57,1
3,44,62,2
4,61,63,3
5,63,71,1
6,64,67,4
7,65,61,2
8,82,64,7
9,122,65,0
10,123,69,1
11,183,1093,1
12,215,58,1
13,216,59,2
14,231,60,2
15,232,70,1
16,245,65,0
17,246,69,1
18,290,57,1
19,291,62,2
20,370,65,0
21,371,69,1
22,391,65,1
23,392,69,2
24,393,57,0
25,418,87,0
26,419,88,1
27,422,57,0
28,423,62,1
29,428,75,0
30,457,78,0
31,458,79,1
32,459,1092,2
33,460,81,3
34,501,89,0
35,679,65,0
36,680,69,1
37,688,65,0
38,690,69,1
39,744,99,0
40,762,57,0
41,763,62,1
42,923,102,0
44,926,65,0
45,927,69,1
46,928,57,1
47,929,62,0
48,931,98,0
50,1006,67,4
51,1007,71,1
52,1004,64,7
54,1005,61,2
55,1003,63,3
56,1001,65,0
57,1002,69,1
58,1008,1097,0
60,1010,1097,0
61,1014,1097,0
62,1013,1097,0
63,1012,1097,0
64,1011,1097,0
65,1009,1097,0
66,1015,1097,0
67,1016,1097,0
68,1017,1097,0
69,1018,1097,0
