ID,DataTagID,HouseDecorID
614,4,376
615,58,376
677,110,374
678,142,374
679,159,374
680,184,374
681,66,374
682,79,374
683,154,374
684,71,374
685,80,374
686,183,374
687,110,377
688,142,377
689,159,377
690,216,377
691,66,377
692,79,377
693,154,377
694,71,377
695,80,377
696,110,378
697,142,378
698,159,378
700,205,378
701,79,378
702,154,378
703,71,378
704,80,378
705,110,379
706,142,379
707,159,379
708,194,379
710,79,379
711,71,379
712,80,379
713,110,383
714,142,383
715,159,383
716,67,383
717,79,383
718,71,383
719,215,383
720,110,388
721,142,388
722,159,388
724,192,388
725,79,388
726,71,388
727,110,389
728,142,389
729,67,389
730,204,389
731,79,389
732,71,389
733,110,390
734,142,390
735,159,390
736,184,390
738,79,390
739,154,390
740,71,390
741,80,390
742,183,390
743,110,494
744,142,494
745,159,494
746,177,494
748,79,494
749,154,494
750,176,494
751,71,494
752,80,494
753,110,495
754,142,495
755,159,495
757,79,495
758,154,495
759,71,495
760,80,495
761,186,495
762,110,496
763,142,496
764,159,496
765,67,496
766,180,496
767,79,496
768,71,496
769,110,497
770,142,497
771,159,497
772,67,497
773,180,497
774,79,497
775,71,497
776,110,498
777,142,498
778,159,498
779,67,498
780,79,498
781,201,498
782,71,498
793,110,373
794,142,373
795,159,373
797,184,373
798,79,373
799,154,373
800,71,373
801,80,373
802,183,373
811,70,81
812,110,81
813,160,81
815,90,81
816,141,81
817,215,81
819,216,726
820,154,726
821,71,726
839,110,1083
840,184,1083
841,68,1083
842,205,1083
843,71,1083
883,159,1118
884,68,1118
885,104,1118
886,74,1118
887,141,1118
888,77,1118
889,210,1118
890,159,1119
891,200,1119
892,108,1119
893,68,1119
894,74,1119
895,141,1119
896,201,1119
897,159,1120
898,108,1120
899,69,1120
900,74,1120
901,141,1120
902,77,1120
903,210,1120
904,109,1121
905,150,1121
906,160,1121
907,188,1121
908,68,1121
909,91,1121
910,110,1122
911,159,1122
912,67,1122
913,79,1122
914,176,1122
915,71,1122
916,110,1123
917,159,1123
918,66,1123
920,71,1123
921,183,1123
947,88,1231
948,160,1231
949,188,1231
951,105,1231
952,151,1231
953,154,1231
954,88,1232
955,160,1232
957,105,1232
958,151,1232
960,154,1232
961,88,1233
962,160,1233
963,67,1233
964,105,1233
965,151,1233
966,199,1233
967,154,1233
968,88,1235
969,160,1235
970,105,1235
971,151,1235
972,66,1235
973,154,1235
974,183,1235
981,88,1242
982,160,1242
983,67,1242
984,105,1242
985,151,1242
986,154,1242
987,209,1242
988,88,1243
989,160,1243
990,105,1243
991,151,1243
993,154,1243
994,209,1243
997,95,1241
998,160,1241
999,188,1241
1000,68,1241
1001,148,1241
1002,93,1241
1003,106,1241
1004,88,1251
1005,160,1251
1006,67,1251
1007,105,1251
1008,151,1251
1009,203,1251
1010,154,1251
1017,109,1257
1018,150,1257
1019,160,1257
1020,91,1257
1021,180,1257
1022,66,1257
1023,109,1259
1024,150,1259
1025,160,1259
1026,91,1259
1027,177,1259
1028,66,1259
1029,176,1259
1030,109,1260
1031,150,1260
1032,160,1260
1033,67,1260
1034,91,1260
1035,177,1260
1036,176,1260
1037,109,1268
1038,150,1268
1039,160,1268
1040,184,1268
1041,67,1268
1042,91,1268
1043,183,1268
1044,109,1269
1045,150,1269
1046,160,1269
1047,184,1269
1048,91,1269
1049,66,1269
1050,183,1269
1051,109,1270
1052,150,1270
1053,160,1270
1054,67,1270
1055,91,1270
1056,183,1270
1057,200,1273
1058,109,1273
1059,150,1273
1060,160,1273
1061,68,1273
1062,91,1273
1063,201,1273
1064,109,1274
1065,150,1274
1066,160,1274
1067,188,1274
1068,67,1274
1069,91,1274
1070,109,1276
1071,150,1276
1072,160,1276
1073,188,1276
1075,91,1276
1076,187,1277
1077,109,1277
1078,150,1277
1079,160,1277
1080,67,1277
1081,91,1277
1082,109,1278
1083,150,1278
1084,160,1278
1085,91,1278
1086,216,1278
1087,66,1278
1088,109,1279
1089,150,1279
1090,160,1279
1091,188,1279
1092,91,1279
1093,66,1279
1094,110,1280
1095,142,1280
1096,159,1280
1097,66,1280
1098,154,1280
1099,71,1280
1100,183,1280
1101,142,1123
1102,154,1123
1103,99,1281
1104,200,1281
1105,88,1281
1106,160,1281
1107,67,1281
1108,151,1281
1109,154,1281
1110,201,1281
1111,99,1282
1112,200,1282
1113,88,1282
1114,160,1282
