ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Frostfire Gronnling,80693,1067373,0,0.75,0.55,0,0
2,Thunderlord Scout,87430,1067284,0,1.4,0.5,0,0
4,Orc Encounter 1,78009,1067281,0,1.5,0.5,0,0
5,Orc Encounter 2,79359,1067297,0,1.5,0.5,0,0
7,Ogre Encounter 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Frostfire Gronnling,80704,1067391,0,0.75,0.55,0,0
31,Frostfire Gronnling,80693,1067373,0,0.75,0.55,0,0
32,Icemaw Rylak,80705,1067265,0,0.55,0.45,0,0
33,Thunderlord Scout,80192,1067335,0,0.6,0.9,0,0
34,Thunderlord Scout,80172,1067334,0,1.2,0.5,0,0
35,Ogre Encounter 2,79380,1067230,0,0.9,0.55,0,0
36,Undead Encounter 1,79380,1067230,0,1,0.5,0,0
37,Aberration Encounter 1,79383,1067191,0,0.8,0.5,0,0
38,Arakkoa Encounter 1,79387,1067348,0,0.5,0.5,0,0
39,Arakkoa Encounter 2,81338,1067462,0,0.9,0.5,0,0
40,Beast Encounter 1,79384,1067296,0,1.1,0.5,0,0
41,Beast Encounter 2,79386,1067246,0,1.4,0.5,0,0
42,Demon Encounter 1,79381,1067240,0,1.1,0.6,0,0
43,Demon Encounter 2,81339,1067193,0,0.6,0.6,0,0
44,Breaker Encounter 1,79382,1067290,0,1,0.5,0,0
45,Breaker Encounter 2,79385,1067311,0,1.5,0.6,0,0
46,Fury Encounter 1,81340,1067223,0,1.2,0.5,0,0
47,Fury Encounter 2,81341,2395691,0,1,0.5,0,0
48,Primal Encounter 1,81342,1067224,0,1,0.5,0,0
49,Primal Encounter 2,81343,1067208,0,1,0.5,0,0
50,Wretched Slugs,19787,0,0,1,0.4,0,0
51,Skulking Ravager,81538,1067344,0,0.9,0.45,0,0
52,Thunderlord Crag-Leaper,81562,1067236,0,1.55,0.5,0,0
53,Thunderlord Windreader,81565,1067286,0,1.55,0.5,0,0
54,Cursed Wolf,81568,1067253,0,1.5,0.5,0,0
