ID,ItemUpgradePathID,ItemLevelIncrement,PrerequisiteID,CurrencyType,CurrencyAmount
1,1,8,0,0,0
373,89,4,0,396,75000
374,89,8,373,396,75000
375,90,4,0,0,0
376,90,4,375,0,0
377,90,4,376,0,0
378,91,7,0,0,0
379,91,4,0,0,0
380,91,4,379,0,0
445,108,0,0,0,0
446,108,4,445,395,100000
447,108,8,446,395,100000
451,110,0,0,0,0
452,110,8,451,395,75000
453,111,0,0,0,0
454,111,4,453,1901,100000
455,111,8,0,1901,100000
456,112,0,0,0,0
457,112,8,456,1901,75000
458,113,0,0,0,0
459,113,4,458,0,0
460,113,8,459,0,0
461,113,12,460,396,25000
462,113,16,461,396,25000
465,116,0,0,0,0
466,116,4,465,395,100000
467,116,8,466,395,100000
468,117,0,0,0,0
469,117,4,468,0,0
470,117,8,469,0,0
471,117,12,470,396,25000
472,117,16,471,396,25000
476,118,0,0,0,0
479,119,0,0,0,0
491,124,0,0,0,0
492,124,7,491,396,25000
493,124,14,492,396,25000
494,125,0,0,0,0
495,125,4,494,0,0
496,125,8,495,0,0
497,125,12,496,396,25000
498,125,16,497,396,25000
504,0,18,493,395,100000
505,0,22,504,395,100000
506,125,20,498,396,25000
507,125,24,506,396,25000
645,238,0,0,0,0
646,238,7,645,395,100000
647,238,14,646,395,100000
651,240,0,0,0,0
652,240,4,651,395,100000
653,240,8,652,395,100000
654,241,0,0,0,0
655,241,4,654,396,25000
656,241,8,655,396,25000
657,0,12,656,395,100000
658,0,16,657,395,100000
659,242,0,0,0,0
660,242,4,659,396,25000
661,242,8,660,396,25000
