ID,TutorialText_lang,SpellID,ActionBarOverrideSpellID,SpellLabel,UiTextureKitID,UiPriority
1,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,170108,0,5289,0
2,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.,313347,313335,0,5290,100
3,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.,326526,326532,0,5290,200
4,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,170097,0,5289,0
5,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,170109,0,5289,0
6,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,166499,0,5291,0
7,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,166498,0,5291,0
8,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,161693,0,5292,0
9,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,161694,0,5293,0
10,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,168474,0,5294,0
11,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,166502,0,5295,0
12,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,162131,0,5296,0
13,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,168478,0,5297,0
14,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,171333,0,5298,0
15,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,171334,0,5298,0
16,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,166500,0,5295,0
17,Garrison Zone ability unlocked!|n|nYou can drag this to your action bar.,161691,162130,0,5299,0
18,,211390,0,193,5300,0
19,,251463,0,321,0,0
20,,264739,0,391,0,0
21,,314955,0,851,0,0
22,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.,313347,315593,0,5303,100
23,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.,326526,329350,0,5303,200
24,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.,313347,329887,0,5303,100
26,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.,313347,331114,0,5310,100
27,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.,313347,331119,0,5310,100
28,Night Fae zone ability unlocked!|n|nYou can drag this to your action bar.,326526,331120,0,5310,200
29,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.,313347,334387,0,5311,100
30,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.,326526,334388,0,5311,200
31,Venthyr zone ability unlocked!|n|nYou can drag this to your action bar.,326526,340716,0,5303,200
32,Kyrian zone ability unlocked!|n|nYou can drag this to your action bar.,326526,340757,0,5290,200
33,Kyrian ability unlocked!|n|nYou can drag this to your action bar.,313347,340835,0,5290,100
34,Kyrian signature ability unlocked!|n|nYou can drag this to your action bar.,326526,341085,0,5290,200
35,Necrolord ability unlocked!|n|nYou can drag this to your action bar.,313347,341090,0,5311,100
36,Necrolord signature ability unlocked!|n|nYou can drag this to your action bar.,326526,341091,0,5311,200
37,Venthyr ability unlocked!|n|nYou can drag this to your action bar.,313347,341093,0,5303,100
38,Venthyr signature ability unlocked!|n|nYou can drag this to your action bar.,326526,341092,0,5303,200
39,Ardenweald ability unlocked!|n|nYou can drag this to your action bar.,313347,341086,0,5310,100
40,Ardenweald signature ability unlocked!|n|nYou can drag this to your action bar.,326526,341089,0,5310,200
41,Construct Ability available|n|nYou can drag this to your action bar.,347013,0,1156,5311,100
44,Ability available|n|nYou can drag this to your action bar.,356550,0,1312,5311,100
45,Torghast Ability available|n|nYou can drag this to your action bar.,357857,0,1332,5405,90
46,,264739,358145,0,5310,0
47,,264739,358022,0,5290,0
48,,264739,358150,0,5311,0
49,,264739,358157,0,5303,0
50,Necrolord zone ability unlocked!|n|nYou can drag this to your action bar.,313347,362180,0,5311,100
51,Pocopoc summon unlocked!|n|nYou can drag this to your action bar.,360078,362639,0,5421,100
52,[PH] Reuse ME,0,0,0,5303,100
53,,0,0,0,5428,90
54,Shikaar ability unlocked!|n|nYou can drag this to your action bar.,376280,0,1533,5469,100
55,Shikaar ability unlocked!|n|nYou can drag this to your action bar.,384522,0,1758,5469,100
57,Throw the ball into a goal.,385265,0,1779,5428,1
58,Celormu's Help available |n |nYou can drag this to your action bar.,385535,0,2291,5471,100
59,Recharge Vigor|n |nYou can drag this to your action bar.,409295,409302,0,5471,100
60,Reset Positon|n |nYou can drag this to your action bar.,409349,409350,0,5471,101
61,Fire Flynn's Pistol at the barrel,248082,0,2797,5299,100
62,Dungeon Assistance |n |nYou can drag this to your action bar.,426756,426758,0,5428,100
