ID,Position[0],Position[1],Position[2],MapID,Field_10_1_5_50006_002,Field_10_1_5_50006_003,Field_10_1_5_50006_004,JournalInstanceID
3,-8274.061,-4531.6704,-219.6101,967,2300,80675,-1,187
110,1432.099,374.43576,548.0794,870,5840,80633,-1,369
111,1432.099,374.43576,548.0794,1795,9105,80633,-1,369
112,-884.1406,4349.942,741.23663,1220,7502,111246,-1,786
113,-884.1406,4349.942,741.23663,1220,7502,111246,-1,822
114,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1180
115,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1180
116,1432.099,374.43576,548.0794,870,5840,80633,-1,320
117,1432.099,374.43576,548.0794,1795,9105,80633,-1,320
118,5590.218,4600.461,136.58748,1330,7004,94870,0,557
119,1922.7848,319.6736,88.96585,1159,7078,94870,1,557
120,5593.31,4594.316,136.63698,1153,7004,94870,0,557
121,1927.0035,326.70312,88.96585,1331,7078,94870,1,557
122,1432.099,374.43576,548.0794,870,5840,80633,-1,362
123,1432.099,374.43576,548.0794,1795,9105,80633,-1,362
124,5590.218,4600.461,136.58748,1330,7004,94870,0,477
125,1922.7848,319.6736,88.96585,1159,7078,94870,1,477
126,5593.31,4594.316,136.63698,1153,7004,94870,0,477
127,1927.0035,326.70312,88.96585,1331,7078,94870,1,477
128,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1031
129,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1031
130,-884.1406,4349.942,741.23663,1220,7502,111246,-1,959
131,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1177
132,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1177
133,-884.1406,4349.942,741.23663,1220,7502,111246,-1,768
134,5590.218,4600.461,136.58748,1330,7004,94870,0,457
135,1922.7848,319.6736,88.96585,1159,7078,94870,1,457
136,5593.31,4594.316,136.63698,1153,7004,94870,0,457
137,1927.0035,326.70312,88.96585,1331,7078,94870,1,457
138,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1028
139,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1028
140,-884.1406,4349.942,741.23663,1220,7502,111246,-1,946
141,-1949.3195,1370.441,5266.9106,2222,10565,205959,-1,1195
142,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1179
143,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1179
144,1432.099,374.43576,548.0794,870,5840,80633,-1,322
145,1432.099,374.43576,548.0794,1795,9105,80633,-1,322
146,5590.218,4600.461,136.58748,1330,7004,94870,0,669
147,1922.7848,319.6736,88.96585,1159,7078,94870,1,669
148,5593.31,4594.316,136.63698,1153,7004,94870,0,669
149,1927.0035,326.70312,88.96585,1331,7078,94870,1,669
150,1432.099,374.43576,548.0794,870,5840,80633,-1,330
151,1432.099,374.43576,548.0794,1795,9105,80633,-1,330
152,-1949.3195,1370.441,5266.9106,2222,10565,205959,-1,1193
153,-1949.3195,1370.441,5266.9106,2222,10565,205959,-1,1190
154,-884.1406,4349.942,741.23663,1220,7502,111246,-1,861
155,-8274.061,-4531.6704,-219.6101,1,2300,80675,-1,187
156,1171.6771,-597.67706,31.658792,1643,8717,177193,1,1176
157,-1076.4062,769.02954,445.58234,1642,8499,177208,0,1176
158,1432.099,374.43576,548.0794,870,5840,80633,-1,317
159,1432.099,374.43576,548.0794,1795,9105,80633,-1,317
160,-884.1406,4349.942,741.23663,1220,7502,111246,-1,875
