Description_lang,ID,Field_3_4_1_46722_002,Field_3_4_1_46722_003
Farmer Fung considers you a %s. Farmer Fung likes Marsh Lilies and Wildfowl Roast.,2,1283,604882
Chee Chee considers you a %s. Chee Chee likes Blue Feathers and Valley Stir Fry.,16,1277,604882
Ella considers you a %s. Ella likes Jade Cats and Shrimp Dumplings.,17,1275,604882
Fish Fellreed considers you a %s. Fish likes Jade Cats and Twin Fish Platters.,18,1282,604882
Gina Mudclaw considers you a %s. Gina likes Marsh Lilies and Swirling Mist Soup.,19,1281,604882
Haohan Mudclaw considers you a %s. Haohan likes Ruby Shards and Charbroiled Tiger Steak.,20,1279,604882
Jogu the Drunk considers you a %s. Jogu likes Lovely Apples and Sauteed Carrots.,21,1273,604882
Old Hillpaw considers you a %s. Old Hillpaw likes Blue Feathers and Braised Turtle.,22,1276,604882
Sho considers you a %s. Sho likes Lovely Apples and Eternal Blossom Fish.,23,1278,604882
Tina Mudclaw considers you a %s. Tina likes Ruby Shards and Fire Spirit Salmon.,24,1280,604882
"Nomi is a very bright %s Cook. With each lesson you give him, he becomes increasingly skilled!",25,1357,604882
"Nat considers you a %s.  Nat likes to drink.  Maybe if you find him some more rare fish, he'll share!",26,1358,604882
You are currently %s in the Brawl'gar Arena.,28,1374,666624
You are currently %s in Bizmo's Brawlpub.,43,1419,666623
The Darkspear Rebellion is %s.,72,1440,666624
