ID,Name_lang,Description_lang,CompletionPlayerConditionID,Flags,QuestID,PlayerConditionID,Field_10_2_7_54171_005
1,Foothold in a Savage Land,,0,8,0,0,0
18,Siege of Bladespire Citadel,,0,8,0,0,0
19,Defense of Wor'gol,,0,8,0,0,0
20,Ga'nar's Vengeance,,0,8,0,0,0
21,Thunder's Fall,,0,8,0,0,0
22,The Battle of Thunder Pass,,0,8,0,0,0
23,Establishing your Outpost,,0,8,0,0,0
24,The Battle for Shattrath,,0,8,0,0,0
25,The Plight of the Arakkoa,,0,8,0,0,0
26,In the Shadows of Auchindoun,,0,8,0,0,0
27,Against the Warsong,,0,8,0,0,0
28,Against the Warsong,,0,8,0,0,0
29,The Throne of the Elements,,0,8,0,0,0
30,The Throne of the Elements,,0,8,0,0,0
31,In the Shadows of Auchindoun,,0,8,0,0,0
32,The Battle for Shattrath,,0,8,0,0,0
33,Establishing your Outpost,,0,8,0,0,0
34,Shadows Gather,,0,8,0,0,0
35,Admiral Taylor's Garrison,,0,8,0,0,0
36,Admiral Taylor's Garrison,,0,8,0,0,0
37,Secrets of the Talonpriests,,0,8,0,0,0
38,The Gods of Arak,,0,8,0,0,0
39,Foothold in a Savage Land,,0,8,0,0,0
40,Shadows Awaken,,0,8,0,0,0
41,The Exarch Council,,0,8,0,0,0
42,Botani In Bloom,,0,8,0,0,0
43,The Dark Side of the Moon,,0,8,0,0,0
44,The Light of Karabor,,0,8,0,0,0
45,Ending the Gloom,,0,8,0,0,0
46,Legacy of the Apexis,,0,8,0,0,0
47,Terokk's Legend,,0,8,0,0,0
48,Establishing Axefall,,0,8,0,0,0
49,Securing Southport,,0,8,0,0,0
50,Pinchwhistle Gearworks,,0,8,0,0,0
51,When the Raven Swallows the Day,,0,8,0,0,0
52,We Need An Outpost,,0,8,0,0,0
53,Supporting Your Garrison,,0,8,0,0,0
54,Supporting Your Garrison,,0,8,0,0,0
55,In the Land of Giants,,0,8,0,0,0
56,In the Land of Giants,,0,8,0,0,0
57,Establish a Foothold,,0,8,0,0,0
58,On the Shadow's Trail,,0,8,0,0,0
59,On the Shadow's Trail,,0,8,0,0,0
60,The Dark Portal,,0,8,0,0,0
61,The Bleeding Hollow,,0,8,0,0,0
62,The Shattered Hand,,0,8,0,0,0
