ID,TownHallUiPos[0],TownHallUiPos[1],GarrSiteID,GarrLevel,MapID,UpgradeMovieID,UiTextureKitID,MaxBuildingLevel,UpgradeCost,UpgradeGoldCost
5,0.3584606,0.6308265,2,1,1158,192,10,1,200,0
6,0.2967181,0.2204033,2,3,1159,194,12,3,0,0
258,0.49030733,0.64121985,71,1,1152,189,53,1,200,0
259,0.2825415,0.43115616,71,3,1153,191,55,3,0,0
444,0.30797458,0.24390979,2,2,1331,193,11,2,2000,5000
445,0.2825415,0.4824382,71,2,1330,190,54,2,2000,5000
560,0,0,161,1,1220,0,0,1,0,0
579,0.5,0.5,161,2,1461,0,0,2,0,0
580,0.5,0.5,161,3,1462,0,0,3,0,0
584,0,0,163,1,1463,0,0,1,0,0
585,0.5,0.5,163,2,1464,0,0,2,0,0
586,0.5,0.5,163,3,1466,0,0,3,0,0
599,0,0,168,1,1643,0,0,1,0,0
600,0.5,0.5,168,2,1825,0,0,2,0,0
601,0.5,0.5,168,3,1771,0,0,3,0,0
611,0,0,169,1,1642,0,0,1,0,0
612,0.5,0.5,169,2,1861,0,0,2,0,0
613,0.5,0.5,169,3,1876,0,0,3,0,0
837,0,0,296,1,2222,0,0,1,0,0
838,0.5,0.5,296,2,2162,0,0,2,0,0
839,0.5,0.5,296,3,2236,0,0,3,0,0
864,0,0,299,1,2261,0,0,1,0,0
865,0.5,0.5,299,2,2114,0,0,2,0,0
866,0.5,0.5,299,3,2161,0,0,3,0,0
978,0,0,321,1,2444,0,0,1,0,0
979,0.5,0.5,321,2,2447,0,0,2,0,0
980,0.5,0.5,321,3,2448,0,0,3,0,0
