Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
Northshire Abbey,-8888.98,-0.54,94.39,0,0,0,0,1,0,0,1,0,0,0,0,0,308,0
"Stormwind, Elwynn",-8841.06,489.656,109.607,0.00998004,0.010174419,0,0,2,0,0,2,1,0,0,0,0,0,541
Programmer Isle,16391.81,16341.21,69.44,0,0,0,0,3,0,0,3,0,0,0,0,0,308,0
"Sentinel Hill, Westfall",-10551.9,1034.39,56.9543,0,0,0,0,4,0,0,4,1,0,0,0,0,0,541
"Lakeshire, Redridge",-9429.1,-2231.4,68.65,0,0,0,0,5,0,0,5,1,0,0,0,0,0,541
"Ironforge, Dun Morogh",-4821.78,-1155.44,502.21,0,0,0,0,6,0,0,6,1,0,0,0,0,0,541
"Menethil Harbor, Wetlands",-3787.81,-777.696,1.5582,-0.002,0.002,0,0,7,0,0,7,1,0,0,0,0,0,541
"Thelsamar, Loch Modan",-5421.91,-2930.01,347.25,0,0,0,0,8,0,0,8,1,0,0,0,0,0,541
"Booty Bay, Stranglethorn",-14271.8,299.87,31.09,0,0,0,0,9,0,0,9,0,0,0,0,0,0,541
"The Sepulcher, Silverpine Forest",478.86,1536.59,131.32,0,0,0,0,10,0,0,10,2,0,0,0,0,3574,0
"Undercity, Tirisfal",1568.62,267.97,-43.1,0,0,0,0,11,0,0,11,2,0,0,0,0,3574,0
"Darkshire, Duskwood",-10515.5,-1261.65,41.34,0,0,0,0,12,0,0,12,1,0,0,0,0,0,541
"Tarren Mill, Hillsbrad",-17.7066,-874.203,59.0056,0,0.003,0,0,13,0,0,13,2,0,0,0,0,3574,0
"Southshore, Hillsbrad",-711.48,-515.48,26.11,0,0,0,0,14,0,5793,14,0,0,0,0,0,0,541
Eastern Plaguelands,2253.4,-5344.9,83.38,0,0,0,0,15,0,0,15,0,0,0,0,0,0,541
"Refuge Pointe, Arathi",-1240.53,-2515.11,22.16,0,0,0,0,16,0,0,16,1,0,0,0,0,0,541
"Hammerfall, Arathi",-916.29,-3496.89,70.45,0.007,-0.007,0,0,17,0,0,17,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14444.29,509.62,26.2,0,0,0,0,18,0,0,18,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14473,464.15,36.43,0,0,0,0,19,0,0,19,1,0,0,0,0,0,541
"Grom'gol, Stranglethorn",-12414.2,146.29,3.28,0,0,0,0,20,0,0,20,2,0,0,0,0,2224,0
"New Kargath, Badlands",-6676.87,-2433.37,272.771,0.002,-0.01,0,0,21,0,0,21,2,0,0,0,0,2224,0
"Thunder Bluff, Mulgore",-1197.21,29.71,176.95,0,0,0,0,22,1,0,22,2,0,0,0,0,2224,0
"Orgrimmar, Durotar",1798.27,-4363.27,102.848,0.0249501,0.0043604653,0,0,23,1,0,23,2,0,0,0,0,2224,0
"Generic, World Target 002",-6666,-2222.3,278.6,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0
"The Crossroads, Northern Barrens",-441.8,-2596.08,96.06,0.00399202,-0.0101744,0,0,25,1,0,25,2,0,0,0,0,2224,0
"Lor'danel, Darkshore",7459.9,-326.56,8.09,0,-0.02,0,0,26,1,0,26,1,0,0,0,0,0,3837
"Rut'theran Village, Teldrassil",8383.75,980.964,30.8292,0,0,0,0,27,1,0,27,1,0,0,0,0,0,3837
"Astranaar, Ashenvale",2827.34,-289.24,107.16,0.008,0,0,0,28,1,0,28,1,0,0,0,0,0,3837
"Sun Rock Retreat, Stonetalon Mountains",966.57,1040.32,104.27,0.021,0.005,0,0,29,1,0,29,2,0,0,0,0,2224,0
"Westreach Summit, Thousand Needles",-4310.61,-927.064,81.1796,0,0,0,0,30,1,0,30,2,0,0,0,0,2224,0
"Shadebough, Feralas",-4996.88,73.9427,99.8385,0,0,0,0,31,1,0,31,1,0,0,0,0,0,3837
"Theramore, Dustwallow Marsh",-3825.37,-4516.58,10.44,0,0.008,0,0,32,1,0,32,1,0,0,0,0,0,541
"Thal'darah Overlook, Stonetalon Mountains",2147.25,1537.87,341.24,-0.017,0,0,0,33,1,0,33,1,0,0,0,0,0,3837
"Transport, Booty Bay",-1965.17,-5824.29,-1.06,0,0,0,0,34,1,0,34,0,0,0,0,0,0,0
"Transport, Orgrimmar",1320.07,-4649.2,21.57,0,0,0,0,35,1,0,35,0,0,0,0,0,0,0
"Generic, World Target 001",-8644.62,433.28,59.46,0,0,0,0,36,0,0,36,0,0,0,0,0,15665,0
"Nijel's Point, Desolace",139.24,1325.82,193.5,0.007,0,0,0,37,1,0,37,1,0,0,0,0,0,3837
"Shadowprey Village, Desolace",-1767.64,3263.89,4.94,0,0,0,0,38,1,0,38,2,0,0,0,0,2224,0
"Gadgetzan, Tanaris",-7185.97,-3768.24,9.30053,0,0,0,0,39,1,0,39,1,0,0,0,0,0,541
"Gadgetzan, Tanaris",-7094.03,-3813.69,9.49695,0,0,0,0,40,1,0,40,2,0,0,0,0,2224,0
"Feathermoon, Feralas",-4467.04,2188.64,17.8939,0,-0.01,0,0,41,1,0,41,1,0,0,0,0,0,3837
"Camp Mojache, Feralas",-4419.86,199.31,25.06,-0.004,0,0,0,42,1,0,42,2,0,0,0,0,2224,0
"Aerie Peak, The Hinterlands",283.74,-2002.76,194.74,0,-0.01,0,0,43,0,0,43,1,0,0,0,0,0,541
"Bilgewater Harbor, Azshara",3547.2,-6294.66,0.754245,0,0,0,0,44,1,0,44,2,0,0,0,0,2224,0
"Nethergarde Keep, Blasted Lands",-11112.3,-3435.74,79.09,0,0.015,0,0,45,0,0,45,1,0,0,0,0,0,541
"Transport, Southshore",-986.43,-547.86,-3.86,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0
"Transport, Grom'gol",-12418.77,235.43,1.12,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0
"Bloodvenom Post, Felwood [DISABLED in 4.x]",5123.51,-321.181,359.54,0,0,0,0,48,1,5793,48,0,0,0,0,0,2224,0
Moonglade,7458.45,-2487.21,462.33,0,0,0,0,49,1,0,49,1,0,0,0,0,0,3837
"Transport, Menethil Harbor",0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0
"Transport, Auberdine",0,0,0,0,0,0,0,51,0,0,51,0,0,0,0,0,0,0
"Everlook, Winterspring",6796.8,-4742.39,701.5,0,-0.01,0,0,52,1,0,52,1,0,0,0,0,0,3837
"Everlook, Winterspring",6813.06,-4611.12,710.67,0,-0.009,0,0,53,1,0,53,2,0,0,0,0,2224,0
"Transport, Feathermoon",-4203.87,3284,-12.86,0,0,0,0,54,1,0,54,0,0,0,0,0,0,0
"Brackenwall Village, Dustwallow Marsh",-3147.39,-2842.18,34.61,-0.006,0,0,0,55,1,0,55,2,0,0,0,0,2224,0
"Stonard, Swamp of Sorrows",-10457,-3279.25,21.35,-0.008,0,0,0,56,0,0,56,2,0,0,0,0,2224,0
"Fishing Village, Teldrassil",8701.51,991.37,14.21,0,0,0,0,57,1,0,57,0,0,0,0,0,0,3837
"Zoram'gar Outpost, Ashenvale",3351.82,1052.3,3.07,-0.008,-0.009,0,0,58,1,0,58,2,0,0,0,0,2224,0
"Dun Baldar, Alterac Valley",574.21,-46.65,37.61,0,0,0,0,59,30,0,59,0,0,0,0,0,0,541
"Frostwolf Keep, Alterac Valley",-1335.44,-319.69,90.66,0,0,0,0,60,30,0,60,0,0,0,0,0,3574,0
"Splintertree Post, Ashenvale",2302.39,-2524.55,104.4,0,-0.012,0,0,61,1,0,61,2,0,0,0,0,2224,0
"Nighthaven, Moonglade",7793.61,-2403.47,489.32,0,0,0,0,62,1,0,62,1,0,0,0,0,0,3837
"Nighthaven, Moonglade",7787.72,-2404.1,489.56,0,0,0,0,63,1,0,63,2,0,0,0,0,2224,0
"Talrendis Point, Azshara (NEVER in 4.x)",2721.99,-3880.64,100.87,0,0,0,0,64,1,5793,64,0,0,0,0,0,0,3837
"Talonbranch Glade, Felwood",6214.32,-1874.28,565.956,0.004,0,0,0,65,1,0,65,1,0,0,0,0,0,3837
"Chillwind Camp, Western Plaguelands",931.32,-1430.11,64.67,-0.007,0.015,0,0,66,0,0,66,1,0,0,0,0,0,541
"Light's Hope Chapel, Eastern Plaguelands",2271.09,-5340.8,87.11,0,0,0,0,67,0,924,67,1,0,0,0,0,0,44248
"Light's Hope Chapel, Eastern Plaguelands",2270.2,-5343.11,86.9733,-0.008,-0.005,0,0,68,0,923,68,2,0,0,0,0,44248,0
Moonglade,7470.39,-2123.38,492.34,0,0,0,0,69,1,0,69,2,0,0,0,0,2224,0
"Flame Crest, Burning Steppes",-7504.03,-2187.54,165.53,0.015,0,0,0,70,0,0,70,2,0,0,0,0,2224,0
"Morgan's Vigil, Burning Steppes",-8364.61,-2738.35,185.46,0,0,0,0,71,0,0,71,1,0,0,0,0,0,541
"Cenarion Hold, Silithus",-6811.39,836.74,49.81,0,0,0,0,72,1,0,72,2,0,0,0,0,2224,0
"Cenarion Hold, Silithus",-6761.83,772.03,88.91,0,-0.005,0,0,73,1,0,73,1,0,0,0,0,0,3837
"Thorium Point, Searing Gorge",-6552.59,-1168.27,309.31,-0.004,0.027,0,0,74,0,0,74,1,0,0,0,0,0,541
"Thorium Point, Searing Gorge",-6554.93,-1100.05,309.57,0.027,0.027,0,0,75,0,0,75,2,0,0,0,0,2224,0
