ID,AfterTimeInAnimation,AnimationDataID,AnimKitID,Field_10_0_0_44795_002,Field_10_0_0_44795_003,Flags,SpellID,LabelID,Field_10_0_0_44795_006,Field_10_0_0_45232_007,DefaultBlendIn,DefaultBlendOut
2,60,1532,0,151476,159808,0,360954,0,163935,0,300,500
3,45,1722,0,0,159805,0,360954,0,0,0,300,500
4,65,1724,0,151476,159809,0,360954,0,163934,0,300,500
5,25,1722,0,0,159799,0,360954,0,0,0,300,500
6,0,1722,0,0,159799,0,360954,0,0,0,300,500
7,65,1724,0,151476,160408,0,368896,0,163934,0,300,500
8,60,1532,0,151476,160410,0,368896,0,163935,0,300,500
9,45,1722,0,0,160407,0,368896,0,0,0,300,500
10,25,1722,0,0,160412,0,368896,0,0,0,300,500
11,0,1722,0,0,160412,0,368896,0,0,0,300,500
12,65,1724,0,151476,160414,0,368901,0,163934,0,300,500
13,60,1532,0,151476,160415,0,368901,0,163935,0,300,500
14,45,1722,0,0,160416,0,368901,0,0,0,300,500
15,25,1722,0,0,160417,0,368901,0,0,0,300,500
16,0,1722,0,0,160417,0,368901,0,0,0,300,500
17,65,1724,0,151476,160418,0,368899,0,163934,0,300,500
18,60,1532,0,151476,160419,0,368899,0,163935,0,300,500
19,45,1722,0,0,160420,0,368899,0,0,0,300,500
20,25,1722,0,0,160421,0,368899,0,0,0,300,500
21,0,1722,0,0,160421,0,368899,0,0,0,300,500
23,105,0,0,0,159917,1,0,0,0,389959,300,500
29,17,1722,0,0,160911,0,369536,0,0,0,300,500
30,28,1722,0,0,160911,0,369536,0,0,0,300,500
31,55,1532,0,164612,160912,0,369536,0,163935,0,300,500
32,65,1724,0,164612,160913,0,369536,0,163934,0,300,500
33,0,1722,0,0,160911,0,369536,0,0,0,300,500
34,105,1724,0,151476,159809,0,360954,0,163934,0,300,500
35,105,1724,0,151476,160408,0,368896,0,163934,0,300,500
36,105,1724,0,151476,160414,0,368901,0,163934,0,300,500
37,105,1724,0,151476,160418,0,368899,0,163934,0,300,500
39,105,1724,0,164612,160913,0,369536,0,163934,0,300,500
43,45,0,0,0,168967,4,0,0,0,393513,300,500
44,105,0,0,0,168965,4,0,0,0,393513,300,500
45,45,0,0,0,168962,1,0,0,0,393513,300,500
46,25,0,0,0,172088,1,369536,0,0,393513,300,500
47,100,0,0,0,172086,1,369536,0,0,393513,300,500
48,25,0,0,0,172090,4,369536,0,0,393513,300,500
49,100,0,0,0,172089,4,369536,0,0,393513,300,500
50,100,0,0,0,0,8,0,0,0,393513,100,300
64,105,1724,0,177362,176091,0,368893,0,163934,0,300,500
65,65,1724,0,177362,176092,0,368893,0,163934,0,300,500
66,60,1532,0,177362,176093,0,368893,0,163935,0,300,500
67,45,1722,0,0,176094,0,368893,0,0,0,300,500
68,25,1722,0,0,176095,0,368893,0,0,0,300,500
69,0,1722,0,0,176096,0,368893,0,0,0,300,500
70,65,1724,0,151476,182368,0,412088,0,163934,0,300,500
71,105,1724,0,151476,182368,0,412088,0,163934,0,300,500
72,60,1532,0,151476,182367,0,412088,0,163935,0,300,500
73,45,1722,0,0,0,0,412088,0,0,0,300,500
74,0,1722,0,0,0,0,412088,0,0,0,300,500
75,25,1722,0,0,0,0,0,2808,0,0,300,500
76,65,1724,0,151476,182370,0,0,2808,163934,0,300,500
77,105,1724,0,151476,182370,0,0,2808,163934,0,300,500
78,60,1532,0,151476,182371,0,0,2808,163935,0,300,500
79,45,1722,0,0,0,0,0,2808,0,0,300,500
80,0,1722,0,0,0,0,0,2808,0,0,300,500
81,105,0,0,0,159917,1,0,0,0,0,300,500
82,45,0,0,0,168962,1,0,0,0,0,300,500
83,105,0,0,0,168965,4,0,0,0,0,300,500
84,45,0,0,0,168967,4,0,0,0,0,300,500
85,0,1722,0,0,0,0,413409,0,0,0,300,500
86,25,1722,0,0,0,0,413409,0,0,0,300,500
87,45,1722,0,0,0,0,413409,0,0,0,300,500
88,60,1532,0,151476,182366,0,413409,0,163935,0,300,500
89,65,1724,0,151476,182363,0,413409,0,163934,0,300,500
90,105,1724,0,151476,182363,0,413409,0,163934,0,300,500
91,0,1722,0,0,182549,0,0,2807,0,0,300,500
92,25,1722,0,0,182549,0,0,2807,0,0,300,500
93,65,1724,0,151476,182557,0,0,2807,163934,0,300,500
94,105,1724,0,151476,182557,0,0,2807,163934,0,300,500
95,60,1532,0,151476,182556,0,0,2807,163935,0,300,500
96,45,1722,0,0,182555,0,0,2807,0,0,300,500
97,25,1722,0,0,182665,0,0,2806,0,0,300,500
98,65,1724,0,151476,182668,0,0,2806,163934,0,300,500
99,105,1724,0,151476,182668,0,0,2806,163934,0,300,500
100,60,1532,0,151476,182667,0,0,2806,163935,0,300,500
101,45,1722,0,0,182666,0,0,2806,0,0,300,500
102,0,1722,0,0,182665,0,0,2806,0,0,300,500
103,0,1722,0,0,160412,0,417548,0,0,0,300,500
104,25,1722,0,0,160412,0,417548,0,0,0,300,500
105,45,1722,0,0,160407,0,417548,0,0,0,300,500
106,60,1532,0,151476,160410,0,417548,0,163935,0,300,500
107,65,1724,0,151476,160408,0,417548,0,163934,0,300,500
108,105,1724,0,151476,160408,0,417548,0,163934,0,300,500
109,105,1724,0,151476,160414,0,417554,0,163934,0,300,500
110,65,1724,0,151476,160414,0,417554,0,163934,0,300,500
111,60,1532,0,151476,160415,0,417554,0,163935,0,300,500
112,45,1722,0,0,160416,0,417554,0,0,0,300,500
113,25,1722,0,0,160417,0,417554,0,0,0,300,500
114,0,1722,0,0,160417,0,417554,0,0,0,300,500
115,105,1724,0,151476,160418,0,417552,0,163934,0,300,500
116,65,1724,0,151476,160418,0,417552,0,163934,0,300,500
117,60,1532,0,151476,160419,0,417552,0,163935,0,300,500
118,45,1722,0,0,160420,0,417552,0,0,0,300,500
119,25,1722,0,0,160421,0,417552,0,0,0,300,500
120,0,1722,0,0,160421,0,417552,0,0,0,300,500
121,105,1724,0,177362,176091,0,417556,0,163934,0,300,500
122,65,1724,0,177362,176092,0,417556,0,163934,0,300,500
123,60,1532,0,177362,176093,0,417556,0,163935,0,300,500
124,45,1722,0,0,176094,0,417556,0,0,0,300,500
125,25,1722,0,0,176095,0,417556,0,0,0,300,500
126,0,1722,0,0,176096,0,417556,0,0,0,300,500
127,0,1722,0,0,182369,0,443660,0,0,0,300,500
128,25,1722,0,0,0,0,417888,0,0,0,300,500
129,45,1722,0,0,159805,0,417888,0,0,0,300,500
130,60,1532,0,186120,186121,0,417888,0,163935,0,300,500
131,65,1724,0,186120,186122,0,417888,0,163934,0,300,500
132,105,1724,0,186120,186122,0,417888,0,163934,0,300,500
134,0,1722,0,0,0,0,0,2810,0,0,300,500
135,25,1722,0,0,0,0,0,2810,0,0,300,500
136,45,1722,0,0,0,0,0,2810,0,0,300,500
137,60,1532,0,151476,192353,0,0,2810,163935,0,300,500
138,65,1724,0,151476,182557,0,0,2810,163934,0,300,500
139,105,1724,0,151476,182557,0,0,2810,163934,0,300,500
140,0,1722,0,0,0,0,0,2809,0,0,300,500
141,25,1722,0,0,0,0,0,2809,0,0,300,500
142,45,1722,0,0,0,0,0,2809,0,0,300,500
143,60,1532,0,151476,192355,0,0,2809,163935,0,300,500
144,65,1724,0,151476,192356,0,0,2809,163934,0,300,500
145,105,1724,0,151476,192356,0,0,2806,163934,0,300,500
146,0,1722,0,0,0,0,0,2811,0,0,300,500
147,25,1722,0,0,0,0,0,2811,0,0,300,500
148,45,1722,0,0,0,0,0,2811,0,0,300,500
149,60,1532,0,151476,192329,0,0,2811,163935,0,300,500
150,65,1724,0,151476,192330,0,0,2811,163934,0,300,500
151,105,1724,0,151476,192330,0,0,2811,163934,0,300,500
152,0,1722,0,0,182665,0,244712,0,0,0,300,500
153,25,1722,0,0,182665,0,244712,0,0,0,300,500
154,45,1722,0,0,182666,0,244712,0,0,0,300,500
155,60,1532,0,151476,182667,0,244712,0,163935,0,300,500
156,65,1724,0,151476,186060,0,244712,0,163934,0,300,500
157,105,1724,0,151476,186060,0,244712,0,163934,0,300,500
158,25,1722,0,0,182369,0,412088,0,0,0,300,500
159,0,1722,0,0,176096,0,418286,0,0,0,300,500
160,25,1722,0,0,176095,0,418286,0,0,0,300,500
161,45,1722,0,0,176094,0,418286,0,0,0,300,500
162,60,1532,0,177362,176093,0,418286,0,163935,0,300,500
163,65,1724,0,177362,176092,0,418286,0,163934,0,300,500
164,105,1724,0,177362,176091,0,418286,0,163934,0,300,500
165,0,1722,0,0,0,0,425338,0,0,0,300,500
166,25,1722,0,0,182369,0,425338,0,0,0,300,500
167,45,1722,0,0,0,0,425338,0,0,0,300,500
168,60,1532,0,151476,182367,0,425338,0,163935,0,300,500
169,65,1724,0,151476,182368,0,425338,0,163934,0,300,500
170,105,1724,0,151476,182368,0,425338,0,163934,0,300,500
171,0,1722,0,0,182369,0,424484,0,0,0,300,500
172,25,1722,0,0,182369,0,424484,0,0,0,300,500
173,45,1722,0,0,182372,0,424484,0,0,0,300,500
174,60,1532,0,151476,189049,0,424484,0,163935,0,300,500
175,65,1724,0,151476,189048,0,424484,0,163934,0,300,500
176,105,1724,0,151476,189048,0,424484,0,163934,0,300,500
178,0,1722,0,0,160911,0,430747,0,0,0,300,500
179,25,1722,0,0,160911,0,430747,0,0,0,300,500
180,45,1722,0,0,160911,0,430747,0,0,0,300,500
181,60,1532,0,164612,160912,0,430747,0,163935,0,300,500
182,65,1724,0,164612,160913,0,430747,0,163934,0,300,500
183,105,1724,0,164612,160913,0,430747,0,163934,0,300,500
184,105,1724,0,151476,182368,0,431049,0,163934,0,300,500
185,65,1724,0,151476,182368,0,431049,0,163934,0,300,500
186,60,1532,0,151476,182367,0,431049,0,163935,0,300,500
187,45,1722,0,0,0,0,431049,0,0,0,300,500
188,25,1722,0,0,182369,0,431049,0,0,0,300,500
189,0,1722,0,0,0,0,431049,0,0,0,300,500
190,105,1724,0,151476,182368,0,431050,0,163934,0,300,500
191,65,1724,0,151476,182368,0,431050,0,163934,0,300,500
192,60,1532,0,151476,182367,0,431050,0,163935,0,300,500
193,45,1722,0,0,0,0,431050,0,0,0,300,500
194,25,1722,0,0,182369,0,431050,0,0,0,300,500
195,0,1722,0,0,0,0,431050,0,0,0,300,500
196,0,1722,0,0,0,0,0,3090,0,0,300,500
197,25,1722,0,0,0,0,0,3090,0,0,300,500
198,45,1722,0,0,0,0,0,3090,0,0,300,500
199,60,1532,0,151476,192364,0,0,3090,163935,0,300,500
200,65,1724,0,151476,192365,0,0,3090,163934,0,300,500
201,105,1724,0,151476,192365,0,0,3090,163934,0,300,500
202,0,1722,0,0,0,0,0,3098,0,0,300,500
203,25,1722,0,0,0,0,0,3098,0,0,300,500
204,45,1722,0,0,0,0,0,3098,0,0,300,500
205,60,1532,0,0,192579,0,0,3098,163935,0,300,500
206,65,1724,0,0,192580,0,0,3098,163934,0,300,500
207,105,1724,0,0,192580,0,0,3098,163934,0,300,500
208,0,0,28801,0,0,16,0,3157,0,0,0,0
210,50,40,0,0,0,0,434902,0,0,437966,300,500
