ID,Flags
18440,8
18441,8
18443,8
18444,8
18445,8
18449,8
18453,8
18454,8
18455,8
18456,8
18457,8
18458,8
18465,8
18478,8
18479,8
18490,8
18491,8
18497,8
18498,8
18505,8
18506,8
18509,8
18510,8
18516,8
18517,8
18518,8
18519,8
18532,8
18534,8
18535,8
18536,8
18537,8
18539,8
18540,8
18541,8
18542,8
18543,8
18544,8
18545,8
18548,8
18549,8
18572,8
18573,8
18574,8
18575,8
18576,8
18577,8
18578,8
18586,8
18589,8
18590,8
18599,8
18600,8
18601,8
18602,8
18603,8
18605,8
18606,8
18607,8
18608,8
18614,8
18652,8
18654,8
18655,8
18656,8
18657,8
18666,8
18667,8
18668,8
18669,8
18670,8
18671,8
18686,8
18687,8
18688,8
18689,8
18690,8
18691,8
18692,8
18693,8
18694,8
18695,8
18696,8
18697,8
18702,8
18703,8
18704,8
18705,8
18706,8
18707,8
18708,8
18709,8
18710,8
18711,8
18712,8
18734,8
18736,8
18737,8
18746,8
18747,8
18748,8
18749,8
18751,8
18752,8
18753,8
18754,8
18755,8
18756,8
18757,8
18758,8
18759,8
18760,8
18761,8
18762,8
18763,8
18779,8
18780,8
18793,8
18797,8
18798,8
18799,8
18801,8
18802,8
18811,8
18812,8
18818,8
18831,8
18832,8
18834,8
18835,8
18836,8
18837,8
18865,8
18866,8
18867,8
18868,8
18883,8
18894,8
18895,8
18929,8
18937,8
24079,8
24081,8
26012,8
26487,8
26488,8
26489,8
26490,8
26491,8
26492,8
26493,8
26494,8
26495,8
26530,8
26536,8
26540,8
26541,8
26542,8
26543,8
26544,8
26545,8
26555,8
26556,8
26558,8
26559,8
26560,8
26561,8
26562,8
26574,8
26579,8
26582,8
26583,8
26584,8
26585,8
26586,8
26587,8
26588,8
26589,8
26590,8
26593,8
26594,8
26608,8
26616,8
26617,8
26618,8
26619,8
26621,8
26622,8
26623,8
26624,8
26635,8
26660,8
26669,8
26670,8
26671,8
26672,8
26722,8
26735,8
26737,8
26741,8
26803,8
26804,8
26858,8
26859,8
26860,8
26861,24
27628,8
27629,8
27630,8
27750,8
29074,8
29075,8
29146,8
29158,8
29163,8
29195,8
29215,8
29231,8
29256,8
29257,8
29258,8
29259,8
29267,8
29268,8
29269,8
29272,8
29288,8
29290,8
29300,26
29312,8
29327,8
29330,24
29331,24
29332,24
29333,24
29334,24
29335,24
29387,8
29444,8
29445,8
29504,8
29505,8
29506,8
29518,8
29597,8
30998,24
30999,24
31000,24
31001,24
31002,24
31003,24
