ID,MilestoneSeason,StartTimeEvent,ExpansionLevel,HeroicLFGDungeonMinGear
3,2,85,7,305
5,1,86,7,305
12,20,83,7,325
13,21,84,7,325
15,30,87,7,345
17,31,82,7,345
56,41,111,7,365
57,40,110,7,365
69,49,119,7,60
70,52,122,8,155
71,51,121,8,155
75,50,120,8,155
76,60,123,8,170
77,55,134,8,155
78,61,148,8,170
80,70,149,8,185
81,71,150,8,185
83,79,333,8,185
87,69,204,8,170
91,81,248,8,0
92,82,253,8,0
93,91,260,9,342
94,90,254,9,342
97,92,294,9,372
98,93,350,9,402
99,100,574,10,571
100,94,353,9,441
101,99,356,10,551
102,95,355,9,441
