ID,MaxRandomSkillBonusPercent,CraftSkillBonusPercent,ReCraftSkillBonusPercent,InspirationSkillBonusPercent,Field_10_0_0_44649_004,ConcentrationSkillCurveID,ConcentrationDifficultyCurveID
1,0,25,6.25,33.334,0,77360,77361
2,0,25,10,16.667,0,77358,77359
7,5,25,6.25,33.334,0,77360,77361
13,0,40,15,0,0,76115,76116
14,0,40,15,0,0,71148,71149
15,0,40,15,0,0,76115,78493
16,0,40,15,0,0,76115,78498
17,0,40,15,0,0,76115,78495
18,0,40,15,0,0,76115,78496
19,0,40,15,0,0,71148,78499
20,0,40,15,0,0,71148,78501
21,0,40,15,0,0,71148,78500
22,0,40,15,0,0,76115,78497
23,0,40,15,0,0,76115,78494
24,0,40,15,0,0,76115,78896
25,0,40,15,0,0,84397,84404
26,0,40,15,0,0,84397,84876
27,0,40,15,0,0,84397,84875
28,0,40,15,0,0,84397,84877
29,0,40,15,0,0,84397,84878
30,0,40,15,0,0,84397,84879
31,0,40,15,0,0,84397,84880
32,0,40,15,0,0,84884,84881
33,0,40,15,0,0,84884,84882
34,0,40,15,0,0,84884,84883
35,0,40,15,0,0,84884,84885
36,0,40,15,0,0,84397,84876
