ID,WeaponSubClassID,ParrySoundType,ImpactSource,ImpactSoundID[0],ImpactSoundID[1],ImpactSoundID[2],ImpactSoundID[3],ImpactSoundID[4],ImpactSoundID[5],ImpactSoundID[6],ImpactSoundID[7],ImpactSoundID[8],ImpactSoundID[9],ImpactSoundID[10],CritImpactSoundID[0],CritImpactSoundID[1],CritImpactSoundID[2],CritImpactSoundID[3],CritImpactSoundID[4],CritImpactSoundID[5],CritImpactSoundID[6],CritImpactSoundID[7],CritImpactSoundID[8],CritImpactSoundID[9],CritImpactSoundID[10],PierceImpactSoundID[0],PierceImpactSoundID[1],PierceImpactSoundID[2],PierceImpactSoundID[3],PierceImpactSoundID[4],PierceImpactSoundID[5],PierceImpactSoundID[6],PierceImpactSoundID[7],PierceImpactSoundID[8],PierceImpactSoundID[9],PierceImpactSoundID[10],PierceCritImpactSoundID[0],PierceCritImpactSoundID[1],PierceCritImpactSoundID[2],PierceCritImpactSoundID[3],PierceCritImpactSoundID[4],PierceCritImpactSoundID[5],PierceCritImpactSoundID[6],PierceCritImpactSoundID[7],PierceCritImpactSoundID[8],PierceCritImpactSoundID[9],PierceCritImpactSoundID[10]
1,0,1,1,57522,57526,57524,57530,57533,57539,57541,57535,57537,3210,57522,57523,57527,57525,57532,57534,57540,57542,57536,57538,3210,57523,57522,57526,57524,57530,57533,57539,57541,57535,57537,0,57522,57523,57527,57525,57532,57534,57540,57542,57536,57538,0,57523
2,1,1,0,61591,61596,61594,61598,61600,61605,61605,61602,61604,61591,61591,61592,61595,61593,61597,61599,61605,61606,61601,61603,61592,61592,61591,61596,61594,61598,61600,61605,61606,61602,61604,61591,61591,61592,61595,61593,61597,61599,61605,61606,61601,61603,61592,61592
3,2,0,0,56665,56665,56665,124581,124581,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256,57256
4,3,0,0,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,57073,3262,57073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,941,939,945,53808,3262,53804,949,3202,3206,3210,0,942,940,946,3263,3262,1001,999,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,955,953,959,3263,3262,997,995,3204,3208,3211,0,956,954,960,3263,3262,997,995,3205,3209,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,1,1,127374,127367,127370,127376,127378,127380,127382,127366,127371,127374,127374,127375,127368,127369,127377,127379,127381,127383,127373,127372,127375,127375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1,1,53248,53255,53257,53259,53261,53252,53263,53265,53267,3210,0,53249,53256,53258,53260,53262,53253,53264,53266,53268,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,1,0,64031,63975,64021,64023,64025,64032,64033,64027,64029,3211,0,64020,64019,64022,64024,64026,64032,64033,64028,64030,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,61562,61567,61561,61570,61568,61557,61557,61572,61564,61562,61566,61563,61559,61561,61571,61569,61557,61557,61573,61565,61563,61567,0,0,0,0,0,0,0,0,0,0,58693,0,0,0,0,0,0,0,0,0,0,0
