ID,ChrSpecializationID,GlyphPropertiesID
1,66,189
15,63,591
16,252,1110
17,251,1112
18,252,1112
19,102,1117
20,102,1118
21,105,1119
22,102,1120
23,103,1120
24,105,1120
25,103,1121
26,102,1122
27,102,1123
28,103,1124
29,102,1125
30,105,1125
31,63,1133
32,268,1135
33,269,1136
34,269,1137
35,268,1138
36,270,1139
37,270,1142
38,270,1143
39,66,1144
40,66,1145
41,65,1146
42,258,1150
43,258,1151
44,257,1152
45,258,1154
46,256,1155
47,257,1155
48,258,1156
49,257,1157
50,256,1158
51,257,1158
52,259,1162
53,260,1162
54,263,1163
55,263,1166
56,262,1168
57,263,1168
58,267,1174
59,266,1176
60,266,1177
61,265,1178
62,71,1182
63,72,1182
64,72,1185
65,71,1186
66,72,1186
67,71,1187
68,72,1187
69,71,1188
70,72,1188
74,258,1052
75,258,961
76,258,708
77,258,712
79,258,268
80,258,260
81,258,1003
82,258,1006
83,258,1005
87,70,703
88,70,187
89,70,1009
91,66,704
92,66,560
94,73,502
95,66,194
96,66,185
97,66,191
98,254,677
99,257,1046
100,65,701
101,65,706
102,257,251
103,257,264
104,257,258
106,65,559
107,65,196
108,65,199
109,72,494
110,72,509
112,256,261
113,257,261
114,256,270
115,257,270
116,256,710
117,253,356
122,71,499
123,72,499
124,71,489
125,71,505
126,250,768
127,251,531
128,250,532
132,105,434
134,105,173
135,102,163
136,105,171
137,105,172
138,103,180
139,103,178
140,104,178
141,105,672
142,105,1076
144,103,936
146,104,933
147,103,831
148,102,175
149,102,177
150,104,162
151,102,1126
152,62,313
153,62,651
154,63,316
155,64,700
156,63,1133
157,62,323
158,64,323
159,64,330
160,63,928
161,62,697
162,64,322
163,70,188
164,65,184
165,70,703
167,70,187
168,70,1082
169,70,987
170,66,986
172,269,1037
173,268,1015
174,269,1035
175,268,998
176,268,1021
177,270,1026
178,270,1019
179,270,1013
180,269,1036
181,270,1001
182,269,1038
183,269,1055
184,269,1017
185,269,1028
186,269,1018
188,257,713
189,256,252
190,257,252
191,257,266
192,258,1005
193,256,460
194,258,463
195,258,458
196,257,1049
197,260,394
198,259,1162
199,260,1162
200,259,714
201,261,404
202,260,715
203,264,1070
204,263,736
205,263,218
206,263,474
207,264,223
208,263,1069
209,264,737
210,262,752
211,263,752
212,263,214
213,264,226
214,262,735
215,262,212
216,264,211
217,263,229
218,263,1090
219,262,612
220,267,273
221,265,480
222,267,757
223,267,1071
224,266,284
225,265,291
226,266,292
227,266,278
228,266,272
229,266,286
230,265,282
231,265,275
232,267,275
233,73,767
234,64,696
258,258,1202
259,65,1203
261,73,492
263,73,1181
266,257,1087
267,250,1115
268,102,676
269,104,676
270,105,676
271,103,934
272,104,934
273,104,673
274,103,167
275,103,671
276,104,671
277,268,999
278,269,999
280,70,561
281,65,188
282,66,456
283,70,456
284,65,987
286,261,407
287,264,230
288,262,950
289,263,950
290,262,1167
291,263,1167
292,262,1171
293,264,1171
294,262,1170
295,264,1170
296,262,228
297,264,228
298,264,751
299,265,280
300,266,280
301,71,932
302,72,932
303,71,507
304,73,507
305,73,490
306,72,991
309,73,851
310,73,486
311,103,1205
312,102,1206
313,264,1207
314,65,1208
315,270,1209
316,105,1210
317,256,1211
318,257,1211
319,269,1212
320,102,1213
323,64,1081
324,64,1080
325,64,1079
326,265,755
327,266,755
328,265,760
329,266,760
330,265,1175
331,266,1175
332,270,1028
333,71,927
334,252,771
335,250,771
336,65,197
337,73,1184
343,256,1048
344,257,1048
345,257,1084
346,71,483
347,72,483
354,251,522
355,252,529
356,105,1221
357,256,1085
358,258,1085
360,254,1051
361,254,1226
362,254,1227
363,254,1228
364,254,1229
365,255,1230
366,255,1231
367,255,1232
368,255,1233
369,253,1234
370,253,1235
371,254,1236
372,254,1237
375,262,1243
376,262,1244
377,66,1245
378,253,1253
380,266,1261
381,71,1262
382,268,1265
383,63,1267
384,62,1268
387,259,1272
388,261,1272
391,256,1270
392,257,1270
393,65,1083
394,253,440
395,254,440
396,255,440
404,105,1288
405,260,1272
406,257,1295
407,267,1296
408,256,1299
409,256,1300
410,258,1300
411,258,1301
412,256,1302
513,263,1243
514,264,1243
515,64,1407
516,64,1408
517,64,1412
518,64,1413
519,64,1414
520,253,1415
538,105,1423
539,257,1299
540,257,1085
543,268,1028
544,258,1439
545,269,1443
546,270,1443
547,103,1449
548,105,1449
549,62,1452
550,268,1453
551,265,1461
552,269,1463
553,268,1463
554,270,1463
555,258,1270
556,62,1465
