ID,UiWidgetSetID,WidgetType,GossipNPCOptionID
3,1116,0,120347
4,1114,1,114245
5,1126,0,120088
7,1125,0,120346
10,1127,0,120026
11,1129,0,120025
12,1322,1,120088
13,1128,0,120087
33,1130,0,120637
34,1131,0,120636
35,1132,0,120806
36,1133,0,120805
37,1134,0,114245
38,1135,0,122078
39,1136,0,122341
40,1137,0,114292
41,1138,0,119893
42,1139,0,119892
43,1140,0,120273
44,1141,0,120272
45,1142,0,121084
46,1143,0,121083
47,1144,0,121205
48,1145,0,122056
49,1146,0,120318
50,1147,0,120317
51,1148,0,120974
52,1157,0,120345
53,1319,1,120345
54,1319,1,120347
55,1319,1,120346
56,1317,1,120637
57,1317,1,120636
58,1318,1,120805
59,1318,1,120806
60,1114,1,122078
61,1136,0,114293
62,1316,1,114293
63,1316,1,114292
64,1320,1,119892
65,1320,1,119893
66,1321,1,120025
67,1321,1,120026
68,1322,1,120087
69,1315,1,120272
70,1315,1,120273
71,1323,1,121083
72,1323,1,121084
73,1324,1,121205
74,1324,1,122056
75,1325,1,120317
76,1325,1,120318
77,1326,1,120974
78,1196,0,120632
79,1317,1,120632
80,1184,0,120633
81,1317,1,120633
82,1172,0,120634
83,1317,1,120634
84,1160,0,120635
85,1317,1,120635
86,1256,0,122114
87,1317,1,122114
88,1244,0,122115
89,1317,1,122115
90,1232,0,122116
91,1317,1,122116
92,1220,0,122117
93,1317,1,122117
94,1208,0,122118
95,1317,1,122118
96,1195,0,120801
97,1318,1,120801
98,1183,0,120802
99,1318,1,120802
100,1171,0,120803
101,1318,1,120803
102,1159,0,120804
103,1318,1,120804
104,1255,0,122119
105,1318,1,122119
106,1243,0,122120
107,1318,1,122120
108,1231,0,122121
109,1318,1,122121
110,1219,0,122122
111,1318,1,122122
112,1207,0,122123
113,1318,1,122123
114,1206,0,114311
115,1114,1,114311
116,1194,0,114312
117,1114,1,114312
118,1182,0,114313
119,1114,1,114313
120,1170,0,114314
121,1114,1,114314
122,1158,0,120731
123,1114,1,120731
124,1254,0,122074
125,1114,1,122074
126,1242,0,122075
127,1114,1,122075
128,1230,0,122076
129,1114,1,122076
130,1218,0,122077
131,1114,1,122077
132,1193,0,120342
133,1319,1,120342
134,1181,0,120343
135,1319,1,120343
136,1169,0,120344
137,1319,1,120344
138,1253,0,122109
139,1319,1,122109
140,1241,0,122110
141,1319,1,122110
142,1229,0,122111
143,1319,1,122111
144,1217,0,122112
145,1319,1,122112
146,1205,0,122113
147,1319,1,122113
148,1180,0,114289
149,1316,1,114289
150,1168,0,114290
151,1316,1,114290
152,1156,0,114291
153,1316,1,114291
154,1192,0,114317
155,1316,1,114317
156,1252,0,122079
157,1316,1,122079
158,1240,0,122080
159,1316,1,122080
160,1228,0,122081
161,1316,1,122081
162,1216,0,122082
163,1316,1,122082
164,1204,0,122083
165,1316,1,122083
166,1191,0,119888
167,1320,1,119888
168,1179,0,119889
169,1320,1,119889
170,1167,0,119890
171,1320,1,119890
172,1155,0,119891
173,1320,1,119891
174,1251,0,122084
175,1320,1,122084
176,1239,0,122085
177,1320,1,122085
178,1227,0,122086
179,1320,1,122086
180,1215,0,122087
181,1320,1,122087
182,1203,0,122088
183,1320,1,122088
184,1190,0,120021
185,1321,1,120021
186,1178,0,120022
187,1321,1,120022
188,1166,0,120023
189,1321,1,120023
190,1154,0,120024
191,1321,1,120024
192,1250,0,122089
193,1321,1,122089
194,1238,0,122090
195,1321,1,122090
196,1226,0,122091
197,1321,1,122091
198,1214,0,122092
199,1321,1,122092
200,1202,0,122093
201,1321,1,122093
202,1189,0,120083
