ID,Tier,Component,ShirtID,FileDataID,Color
2296,0,3,1,650146,0
2297,0,4,1,650145,0
2298,1,3,1,650210,0
2299,1,4,1,650209,0
2300,2,3,1,650180,0
2301,2,4,1,650179,0
2302,0,0,2,650404,0
2303,0,3,2,650406,0
2304,0,4,2,650405,0
2305,1,0,2,650503,0
2306,1,3,2,650505,0
2307,1,4,2,650504,0
2308,2,0,2,650457,0
2309,2,3,2,650459,0
2310,2,4,2,650458,0
2311,0,0,3,650810,0
2312,0,1,3,650809,0
2313,0,3,3,650812,0
2314,0,4,3,650811,0
2315,1,0,3,650938,0
2316,1,1,3,650937,0
2317,1,3,3,650940,0
2318,1,4,3,650939,0
2319,2,0,3,650878,0
2320,2,1,3,650877,0
2321,2,3,3,650880,0
2322,2,4,3,650879,0
2323,0,3,1,650148,1
2324,0,4,1,650147,1
2325,1,3,1,650212,1
2326,1,4,1,650211,1
2327,2,3,1,650182,1
2328,2,4,1,650181,1
2329,0,0,2,650407,1
2330,0,3,2,650409,1
2331,0,4,2,650408,1
2332,1,0,2,650506,1
2333,1,3,2,650508,1
2334,1,4,2,650507,1
2335,2,0,2,650460,1
2336,2,3,2,650462,1
2337,2,4,2,650461,1
2338,0,0,3,650814,1
2339,0,1,3,650813,1
2340,0,3,3,650816,1
2341,0,4,3,650815,1
2342,1,0,3,650942,1
2343,1,1,3,650941,1
2344,1,3,3,650944,1
2345,1,4,3,650943,1
2346,2,0,3,650882,1
2347,2,1,3,650881,1
2348,2,3,3,650884,1
2349,2,4,3,650883,1
2350,0,3,1,650150,2
2351,0,4,1,650149,2
2352,1,3,1,650214,2
2353,1,4,1,650213,2
2354,2,3,1,650184,2
2355,2,4,1,650183,2
2356,0,0,2,650410,2
2357,0,3,2,650412,2
2358,0,4,2,650411,2
2359,1,0,2,650509,2
2360,1,3,2,650511,2
2361,1,4,2,650510,2
2362,2,0,2,650463,2
2363,2,3,2,650465,2
2364,2,4,2,650464,2
2365,0,0,3,650818,2
2366,0,1,3,650817,2
2367,0,3,3,650820,2
2368,0,4,3,650819,2
2369,1,0,3,650946,2
2370,1,1,3,650945,2
2371,1,3,3,650948,2
2372,1,4,3,650947,2
2373,2,0,3,650886,2
2374,2,1,3,650885,2
2375,2,3,3,650888,2
2376,2,4,3,650887,2
