ID,Component,FileDataID,ShirtID,Color
1378,3,650042,1,0
1379,4,650041,1,0
1380,0,650241,2,0
1381,3,650243,2,0
1382,4,650242,2,0
1383,0,650553,3,0
1384,1,650552,3,0
1385,3,650555,3,0
1386,4,650554,3,0
1387,3,650044,1,1
1388,4,650043,1,1
1389,0,650244,2,1
1390,3,650246,2,1
1391,4,650245,2,1
1392,0,650557,3,1
1393,1,650556,3,1
1394,3,650559,3,1
1395,4,650558,3,1
1396,3,650046,1,2
1397,4,650045,1,2
1398,0,650247,2,2
1399,3,650249,2,2
1400,4,650248,2,2
1401,0,650561,3,2
1402,1,650560,3,2
1403,3,650563,3,2
1404,4,650562,3,2
1405,3,650048,1,3
1406,4,650047,1,3
1407,0,650250,2,3
1408,3,650252,2,3
1409,4,650251,2,3
1410,0,650565,3,3
1411,1,650564,3,3
1412,3,650567,3,3
1413,4,650566,3,3
1414,3,650050,1,4
1415,4,650049,1,4
1416,0,650253,2,4
1417,3,650255,2,4
1418,4,650254,2,4
1419,0,650569,3,4
1420,1,650568,3,4
1421,3,650571,3,4
1422,4,650570,3,4
1423,3,650052,1,5
1424,4,650051,1,5
1425,0,650256,2,5
1426,3,650258,2,5
1427,4,650257,2,5
1428,0,650573,3,5
1429,1,650572,3,5
1430,3,650575,3,5
1431,4,650574,3,5
1432,3,650054,1,6
1433,4,650053,1,6
1434,0,650259,2,6
1435,3,650261,2,6
1436,4,650260,2,6
1437,0,650577,3,6
1438,1,650576,3,6
1439,3,650579,3,6
1440,4,650578,3,6
1441,3,650056,1,7
1442,4,650055,1,7
1443,0,650262,2,7
1444,3,650264,2,7
1445,4,650263,2,7
1446,0,650581,3,7
1447,1,650580,3,7
1448,3,650583,3,7
1449,4,650582,3,7
1450,3,650058,1,8
1451,4,650057,1,8
1452,0,650265,2,8
1453,3,650272,2,8
1454,4,650271,2,8
1455,0,650585,3,8
1456,1,650584,3,8
1457,3,650587,3,8
1458,4,650586,3,8
1459,3,650060,1,9
1460,4,650059,1,9
1461,0,650273,2,9
1462,3,650275,2,9
1463,4,650274,2,9
1464,0,650589,3,9
1465,1,650588,3,9
1466,3,650591,3,9
1467,4,650590,3,9
1468,3,650062,1,10
1469,4,650061,1,10
1470,0,650276,2,10
1471,3,650278,2,10
1472,4,650277,2,10
1473,0,650593,3,10
1474,1,650592,3,10
1475,3,650595,3,10
1476,4,650594,3,10
1477,3,650064,1,11
1478,4,650063,1,11
1479,0,650279,2,11
1480,3,650281,2,11
1481,4,650280,2,11
1482,0,650597,3,11
1483,1,650596,3,11
1484,3,650599,3,11
1485,4,650598,3,11
1486,3,650066,1,12
1487,4,650065,1,12
1488,0,650282,2,12
1489,3,650284,2,12
1490,4,650283,2,12
1491,0,650601,3,12
1492,1,650600,3,12
1493,3,650604,3,12
1494,4,650602,3,12
1495,3,650068,1,13
1496,4,650067,1,13
1497,0,650285,2,13
1498,3,650287,2,13
1499,4,650286,2,13
1500,0,650606,3,13
1501,1,650605,3,13
1502,3,650608,3,13
1503,4,650607,3,13
1504,3,650070,1,14
1505,4,650069,1,14
1506,0,650288,2,14
1507,3,650290,2,14
1508,4,650289,2,14
1509,0,650610,3,14
1510,1,650609,3,14
1511,3,650612,3,14
1512,4,650611,3,14
1513,3,650072,1,15
1514,4,650071,1,15
1515,0,650291,2,15
1516,3,650293,2,15
1517,4,650292,2,15
1518,0,650614,3,15
1519,1,650613,3,15
1520,3,650630,3,15
1521,4,650618,3,15
1522,3,650074,1,16
1523,4,650073,1,16
1524,0,650294,2,16
1525,3,650297,2,16
1526,4,650295,2,16
1527,0,650647,3,16
1528,1,650631,3,16
1529,3,650672,3,16
1530,4,650668,3,16
1531,3,650076,1,17
1532,4,650075,1,17
1533,0,650298,2,17
1534,3,650300,2,17
1535,4,650299,2,17
1536,0,650674,3,17
1537,1,650673,3,17
1538,3,650676,3,17
1539,4,650675,3,17
1540,3,650078,1,18
1541,4,650077,1,18
1542,0,650301,2,18
1543,3,650303,2,18
1544,4,650302,2,18
1545,0,650678,3,18
1546,1,650677,3,18
1547,3,650680,3,18
1548,4,650679,3,18
1549,3,650080,1,19
1550,4,650079,1,19
1551,0,650304,2,19
1552,3,650306,2,19
1553,4,650305,2,19
1554,0,650682,3,19
1555,1,650681,3,19
1556,3,650684,3,19
1557,4,650683,3,19
1558,3,650082,1,20
1559,4,650081,1,20
1560,0,650307,2,20
1561,3,650309,2,20
1562,4,650308,2,20
1563,0,650686,3,20
1564,1,650685,3,20
1565,3,650688,3,20
1566,4,650687,3,20
1567,3,650084,1,21
1568,4,650083,1,21
1569,0,650310,2,21
1570,3,650313,2,21
1571,4,650311,2,21
1572,0,650690,3,21
1573,1,650689,3,21
1574,3,650692,3,21
1575,4,650691,3,21
1576,3,650086,1,22
1577,4,650085,1,22
1578,0,650314,2,22
1579,3,650316,2,22
1580,4,650315,2,22
1581,0,650694,3,22
1582,1,650693,3,22
1583,3,650696,3,22
1584,4,650695,3,22
1585,3,650088,1,23
1586,4,650087,1,23
1587,0,650317,2,23
1588,3,650319,2,23
1589,4,650318,2,23
1590,0,650698,3,23
1591,1,650697,3,23
1592,3,650700,3,23
1593,4,650699,3,23
1594,3,650090,1,24
1595,4,650089,1,24
1596,0,650320,2,24
1597,3,650322,2,24
1598,4,650321,2,24
1599,0,650702,3,24
1600,1,650701,3,24
1601,3,650704,3,24
1602,4,650703,3,24
1603,3,650092,1,25
1604,4,650091,1,25
1605,0,650323,2,25
1606,3,650325,2,25
1607,4,650324,2,25
1608,0,650706,3,25
1609,1,650705,3,25
1610,3,650708,3,25
1611,4,650707,3,25
1612,3,650094,1,26
1613,4,650093,1,26
1614,0,650326,2,26
1615,3,650328,2,26
1616,4,650327,2,26
1617,0,650710,3,26
1618,1,650709,3,26
1619,3,650712,3,26
1620,4,650711,3,26
1621,3,650096,1,27
1622,4,650095,1,27
1623,0,650329,2,27
1624,3,650331,2,27
1625,4,650330,2,27
1626,0,650714,3,27
1627,1,650713,3,27
1628,3,650716,3,27
1629,4,650715,3,27
1630,3,650098,1,28
