ID,QuestID,ScenarioID,Field_11_0_0_55087_002
1,83791,2569,0
3,81985,2545,0
4,82260,2626,0
5,82263,2627,0
6,82207,2628,0
7,82164,2629,0
8,82285,2630,0
9,82286,2631,0
10,82321,2632,0
13,84733,2781,0
14,83642,2782,0
15,84788,2783,0
16,84791,2784,0
18,83055,2785,0
19,85733,2786,0
20,85758,2787,0
21,85732,2788,0
22,85769,2789,0
23,85770,2790,0
24,85771,2791,0
25,85759,2792,0
26,85773,2793,0
27,85790,2802,0
28,85797,2803,0
29,85715,2804,0
30,85826,2808,0
31,85854,2810,0
32,85861,2812,0
33,85874,2833,0
34,85888,2838,0
35,86311,2855,0
36,86312,2856,0
37,86313,2857,0
38,86314,2858,0
39,86315,2859,0
40,86316,2860,0
41,86317,2861,0
42,86318,2862,0
43,86319,2863,0
44,86320,2864,0
45,86321,2865,0
46,86370,2875,0
47,86397,2890,0
48,86410,2897,0
49,86412,2898,0
50,86418,2902,0
51,86476,2916,0
52,86477,2917,0
53,85946,2933,0
55,87569,2940,0
56,87588,2941,0
57,85717,2942,0
