ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,ItemID,ItemQuantity,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,Hillsbrad Foothills,Join the Forsaken war machine as it marches on Hillsbrad Foothills for the Horde!,Start Quest,,,0,33200,0,3,236779,0,28571,0,9,10,0,0,0,0,25,33600,0,1,0
8,Ashenvale,Drive the night elves from Ashenvale and claim its resources for the Horde!,Start Quest,,,0,33201,0,3,236713,0,28493,0,9,10,0,0,0,0,63,33636,0,1,0
9,Wailing Caverns,Adventure inside the Wailing Caverns and fight the wicked Druids of the Fang.,Join Group,,,6,33956,0,1,236450,1,0,0,7,8,0,0,0,0,0,33955,33976,0,0
10,Deadmines,Explore the abandoned mines beneath Westfall where the Defias Brotherhood musters its outlaw army.,Join Group,,,6,33202,0,1,236409,6,0,0,7,8,0,0,0,0,0,33957,33974,0,0
12,Shadowfang Keep,"A ruined keep overlooking Silverpine Forest, this dark fortress serves as home to a cabal of fallen Gilnean nobility.",Join Group,,,6,33774,0,1,463876,8,0,0,7,8,0,0,0,0,0,33958,33975,0,0
13,Warsong Gulch,Claim Warsong Gulch for the Horde in this capture-the-flag battleground.,Join the Fight!,,,5,33717,1,4,236350,0,0,2,1,7,0,0,0,0,0,34691,0,1,0
14,Arathi Basin,Fight Alliance players for control of Arathi Basin in this resource-race battleground.,Join the Fight!,,,5,33718,1,4,236712,0,0,3,1,7,0,0,0,0,0,34691,0,1,0
17,Ragefire Chasm,Battle the dark cult known as the Searing Blade inside the volcanic caverns beneath Orgrimmar!,Join Group,,,6,33674,0,1,136216,4,0,0,7,8,0,0,0,0,0,33959,33977,0,0
21,Random Dungeon,Run a random Warlords of Draenor dungeon to upgrade your character's gear!,Join Group,,,6,33723,0,1,1042626,788,0,0,7,8,0,0,0,0,0,0,0,0,0
27,Random Battleground,Battle other players inside a Random Battleground!,Join the Fight!,,,5,34154,0,8,132269,0,0,32,1,3,141997,0,0,0,0,33559,0,4,0
29,Silverpine Forest,Aid the Forsaken High Command in conquering the port of Gilneas for the Horde!,Start Quest,,,0,33561,0,3,236830,0,28568,0,9,10,0,0,0,0,21,33596,0,1,0
30,Vashj'ir,Join the invasion fleet to secure a new island off the coast of the Alliance capital of Stormwind!,Start Quest,,,0,33562,0,3,409551,0,27718,0,9,10,0,0,0,0,203,33597,33748,0,0
31,Mount Hyjal,"Deathwing's minions have begun an assault on the World Tree. Our allies, the Cenarion Circle, need your help!",Start Quest,,,0,33563,0,3,409547,0,27721,0,9,10,0,0,0,0,198,33598,33748,0,0
32,Deepholm,Thrall and the Earthen Ring need your aid in assaulting the elemental plane of Deepholm!,Start Quest,,,0,33564,0,3,409546,0,27722,0,9,10,0,0,0,0,207,33599,0,0,0
33,Hillsbrad Foothills,Join the Forsaken war machine as it marches on Hillsbrad Foothills for the Horde!,Start Quest,,,0,33565,1,3,236779,0,28089,0,9,10,0,0,0,0,0,33600,0,0,0
34,Northern Barrens,Your help is needed to secure the Northern Barrens against the encroaching quilboars and centaurs!,Start Quest,,,0,33566,0,3,236717,0,28494,0,9,10,0,0,0,0,10,33601,34301,1,1
35,Azshara,Aid in driving back the encroaching Alliance forces and assist in securing Azshara for the glory of the Horde!,Start Quest,,,0,33567,0,3,236714,0,28496,0,9,10,0,0,0,0,76,33602,34632,1,1
36,Thousand Needles,Join the Horde forces fighting against the renegade Grimtotems who dominate Thousand Needles.,Start Quest,,,0,33568,0,3,236848,0,28504,0,9,10,0,0,0,0,64,33603,34328,1,1
37,Tanaris,Help the Horde and the Bilgewater Cartel establish a presence in Tanaris before the Alliance does!,Start Quest,,,0,33569,0,3,236846,0,28509,0,9,10,0,0,0,0,71,33604,0,1,0
38,Feralas,Help the Horde secure the great forest of Feralas against the Alliance and the Grimtotems.,Start Quest,,,0,33570,0,3,236764,0,28510,0,9,10,0,0,0,0,69,33605,34299,1,1
39,Un'Goro Crater,Provide aid to the Marshal Expeditions' personnel as they uncover the secrets of Un'Goro Crater.,Start Quest,,,0,33571,0,3,236850,0,28526,0,9,10,0,0,0,0,78,33606,0,1,0
40,Silithus,Our Cenarion allies need your aid in their battle to turn back Twilight's Hammer in Silithus.,Start Quest,,,0,33572,0,3,236829,0,28527,0,9,10,0,0,0,0,81,33607,0,1,0
41,Stonetalon Mountains,The Horde forces in Stonetalon Mountains need your help to drive back the Alliance invaders and protect our people.,Start Quest,,,0,33573,0,3,236831,0,28532,0,9,10,0,0,0,0,65,33611,0,1,0
42,Felwood,The Cenarion Circle requires your help to wrest Felwood from the control of demons and other corrupt creatures!,Start Quest,,,0,33574,0,3,236763,0,28542,0,9,10,0,0,0,0,77,33612,0,1,0
43,Winterspring,Donova Snowden may have discovered the key to dealing with the Winterfall furbolg threat in Winterspring once and for all,Start Quest,,,0,33575,0,3,236854,0,28545,0,9,10,0,0,0,0,83,33613,0,1,0
44,Desolace,The brave Horde warriors of Desolace need your help to beat back the armies of the Alliance and ancient demons.,Start Quest,,,0,33576,0,3,236742,0,28548,0,9,10,0,0,0,0,66,33614,0,1,0
45,Southern Barrens,"With the recent Alliance victories in the Barrens, our enemies are threatening to cut our supply lines.  They must be stopped!",Start Quest,,,0,33577,0,3,236717,0,28549,0,9,10,0,0,0,0,199,33615,0,1,0
46,Dustwallow Marsh,Dustwallow Marsh is overrun with enemies of many kinds and the Alliance forces there are dangerously strong.,Start Quest,,,0,33578,0,3,236758,0,28554,0,9,10,0,0,0,0,70,33616,34294,1,1
47,Uldum,Ancient texts tell us that Uldum is home to untold riches and treasures beyond compare. Claim these in the name of the Horde!,Start Quest,,,0,33579,0,3,409550,0,28557,0,9,10,0,0,0,0,249,33617,0,0,0
48,Ghostlands,Your help is needed to turn back the numberless Scourge invaders and secure the help of the Forsaken in fighting the Scourge.,Start Quest,,,0,33580,0,3,236765,0,28560,0,9,10,0,0,0,0,95,33618,0,1,0
49,Arathi Highlands,The Dark Lady's forces need your help to expand the dominions of the Horde and drive back the Alliance.,Start Quest,,,0,33581,0,3,236712,0,28572,0,9,10,0,0,0,0,14,33619,34630,1,1
50,Hinterlands,The Wildhammer dwarves of the Hinterlands have officially thrown in their lot with the Alliance and must be defeated!,Start Quest,,,0,33582,0,3,236780,0,28574,0,9,10,0,0,0,0,26,33620,34631,1,1
51,Western Plaguelands,The Alliance forces are advancing into the ruined city of Andorhal. Stop them before they can gain a foothold there!,Start Quest,,,0,33583,0,3,236851,0,28575,0,9,10,0,0,0,0,22,33621,34629,1,1
52,Eastern Plaguelands,The Argent Crusade has reinforced its presence in the Eastern Plaguelands and it needs your help to consolidate its victories.,Start Quest,,,0,33584,0,3,236760,0,28577,0,9,10,0,0,0,0,23,33622,34627,1,1
53,Badlands,The Alliance is desperate to gain a foothold in the Badlands. Keep them at bay at all costs!,Start Quest,,,0,33585,0,3,236716,0,28580,0,9,10,0,0,0,0,15,33623,0,1,0
54,Searing Gorge,The Shattered Hand reports that the Dark Iron dwarves of the Searing Gorge seem to be preparing for war.,Start Quest,,,0,33586,0,3,236815,0,28581,0,9,10,0,0,0,0,32,33624,0,1,0
55,Burning Steppes,"Eitrigg's son, Ariok, needs your assistance to halt the blind aggression of the Blackrock orcs.",Start Quest,,,0,33587,0,3,236734,0,28667,0,9,10,0,0,0,0,36,33625,0,1,0
56,Blasted Lands,"Okrilla, commander of the Horde forces at Dreadmaul Hold, requires your help to secure the outpost against rebellious ogres.",Start Quest,,,0,33588,0,3,236720,0,28671,0,9,10,0,0,0,0,17,33629,0,1,0
57,Swamp of Sorrows,Persuade Trade Baron Silversnap to continue supplying the Horde with weapons and munitions!,Start Quest,,,0,33589,0,3,236720,0,28677,0,9,10,0,0,0,0,51,33630,0,1,0
58,Northern Stranglethorn Vale,The commander in Northern Stranglethorn Vale requires your aid to keep the supply routes open.,Start Quest,,,0,33591,0,3,236844,0,28688,0,9,10,0,0,0,0,50,33631,0,1,0
59,The Cape of Stranglethorn,Our forces in the Cape of Stranglethorn require your help to deal with the pirates and naga who have overrun the jungle.,Start Quest,,,0,33592,0,3,236844,0,28704,0,9,10,0,0,0,0,210,33632,0,1,0
60,Outland,Your skills are needed to fight the Burning Legion's presence on the shattered remnants of Outland.,Start Quest,,,0,33593,0,3,236813,0,28705,0,9,10,0,0,0,0,100,33633,0,0,0
