ID,Attributes[0],Attributes[1],Attributes[2],Attributes[3],Attributes[4],Attributes[5],Attributes[6],Attributes[7],Attributes[8],Attributes[9],Attributes[10],Attributes[11],Attributes[12],Attributes[13],Attributes[14],Attributes[15],Attributes[16],DifficultyID,CastingTimeIndex,DurationIndex,PvPDurationIndex,RangeIndex,SchoolMask,Speed,LaunchDelay,MinDuration,SpellIconFileDataID,ActiveIconFileDataID,ContentTuningID,ShowFutureSpellPlayerConditionID,SpellVisualScript,ActiveSpellVisualScript,SpellID
26093,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,134015,0,0,0,0,0,42596
26094,384,268435520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,4,0,0,0,134015,0,0,0,0,0,42598
26101,17039632,0,0,536870912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,1,0,0,0,134015,0,0,0,0,0,42609
26979,763625472,168,16389,269486080,128,393224,0,0,0,0,0,0,0,0,0,8192,0,0,1,25,0,1,1,0,0,0,132156,0,0,0,0,0,43680
26980,763625472,168,16385,269486080,128,393224,0,0,0,0,0,0,0,0,0,8192,0,0,1,25,0,1,1,0,0,0,136072,0,0,0,0,0,43681
28061,65568,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,132149,0,0,0,0,0,44950
28062,65568,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,132149,0,0,0,0,0,44953
28065,65568,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,132149,0,0,0,0,0,44958
79861,17039632,0,0,536870912,0,0,0,512,0,0,0,0,0,0,0,0,0,0,1,21,0,1,1,0,0,0,236704,0,0,0,0,0,104047
79863,17039632,0,0,536870912,0,0,0,256,0,0,0,0,0,0,0,0,0,0,1,21,0,1,1,0,0,0,134971,0,0,0,0,0,104049
128914,696254848,1056,273170437,269681152,8388736,393224,4608,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,1,0,0,0,135137,0,0,0,0,0,155059
193020,763625472,168,16389,269484032,128,393224,0,0,0,0,0,0,0,0,0,8192,0,0,1,25,0,1,1,0,0,0,132156,0,0,0,0,0,219003
193021,763625472,168,16385,269484032,128,393224,0,0,0,0,0,0,0,0,0,8192,0,0,1,25,0,1,1,0,0,0,136072,0,0,0,0,0,219004
314053,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,1,0,0,0,136235,0,0,0,0,0,540
314054,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,1,0,0,0,136235,0,0,0,0,0,541
314056,65536,0,0,0,0,0,0,0,4096,0,0,0,0,0,0,8192,0,0,1,9,0,1,4,0,0,0,135806,0,0,0,0,0,543
314057,262352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,21,0,1,1,0,0,0,132223,0,0,0,0,0,601
314058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,4,3,0,4,4,0,0,0,135817,0,0,0,0,0,134
314059,65584,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8192,0,0,39,0,0,1,1,0,0,0,136192,0,0,0,0,0,10015
314060,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,21,0,1,1,0,0,0,136222,0,0,0,0,0,10074
314062,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,1,0,0,0,136235,0,0,0,0,0,490
314063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,15,21,0,1,2,0,0,0,135926,0,0,0,0,0,461
314069,269582608,0,0,0,0,0,0,256,4096,0,0,0,0,0,0,8192,0,0,14,21,0,1,1,0,0,0,132266,136116,0,0,0,0,459
314073,327680,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,0,0,5,2,0,0,0,135928,0,0,0,0,0,633
314074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,5,0,0,1,1,0,0,0,136235,0,0,0,0,0,428
314075,65536,0,0,0,0,0,8388608,0,512,0,0,0,0,128,0,8192,0,0,5,29,0,4,32,0,0,0,136118,0,0,0,0,0,172
314077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,4,3,0,4,4,0,0,0,135817,0,0,0,0,0,184
314078,65536,0,0,0,0,0,33554432,0,0,0,0,0,0,0,0,8192,0,0,16,0,0,4,8,20,0,0,136048,0,0,0,0,0,403
314079,65536,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,64,0,0,0,133951,0,0,0,0,0,597
314080,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,19,0,0,4,2,0,0,0,135924,0,0,0,0,0,598
314081,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,1,0,0,0,136235,0,0,0,0,0,575
314084,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,21,0,1,1,0,0,0,135955,135954,0,0,0,0,463
314085,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,14,0,0,1,1,0,0,0,136235,0,0,0,0,0,481
314086,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,0,0,1,1,0,0,0,136235,0,0,0,0,0,482
314089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,1,0,0,1,1,0,0,0,136235,0,0,0,0,0,14
314090,65536,0,524288,128,1048576,0,0,0,16777216,0,0,0,0,0,0,8192,16,0,1,8,0,5,2,0,0,0,135953,0,0,0,0,0,139
