ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Mighty Stomp,"Throngus stomps his foot on the ground, triggering the walls of Grim Batol to Cave In. Throngus will not Mighty Stomp if he has his shield equipped.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Cave In,"After the Mighty Stomp of Throngus weakens the walls of Grim Batol, pieces of stone begin to fall on top of a random player in a $74986A1 yard radius area. Players who continue to stand in that area take $74986s1 Physical damage every second.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Pick Weapon,"Throngus has several fearsome weapons at his disposal. Periodically during the encounter, he randomly chooses between a massive Shield, a pair of Swords, or a punishing Mace. The chosen weapon grants him new abilities for a short duration of the encounter.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Shield Abilities,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Personal Phalanx,Throngus points his shield at a random player every 10 seconds. Damage dealt to Throngus by a player standing in front of the shield is reduced by $74909s1%.,132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Flaming Arrow,"While Throngus has a shield equipped, archers constantly fire flaming arrows from overhead windows at random players. Each flaming arrow inflicts $74944s1 Fire damage.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Flaming Shield,"A 60 degree cone of fire erupts forward from Throngus' shield, inflicting $90830s1 Fire damage every second to any enemy target engulfed by the fire.",132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Swords Abilities,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Dual Blades,"Throngus wields a flaming sword in each hand, granting him the ability to attack simultaneously with each weapon. His melee damage is reduced by $74981s3% during this time.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Thrash,Throngus will occasionally attack an additional two times when he swings his swords.,132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,Disorienting Roar,"Throngus lets loose a tremendous roar, decreasing the attack and cast speeds of players by $74976s1%. Players may remove this effect by casting a spell or using an ability.  $[!2,4

In Heroic Difficulty Disorienting Roar reduces attack and cast speeds of players by 150%, and each time a player casts a spell or uses an ability the amount of the reduction lowers by $74976s1%.$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,Burning Flames,"The fiery blades burn the target of Throngus' melee attacks, inflicting $90764s1 Fire damage every $90764t1 seconds for $90764d. This effect stacks, but a single dispel effect removes all stacks.",132,12,823,0,0,2,0,0,0,135822,2,140,14
828,Mace Abilities,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,Encumbered,"The incredibly massive weight of Throngus' mace decreases his movement speed by $75007s2%, but increases his melee attack damage by $75007s1%.",132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,Impaling Slam,"Throngus jumps to a random target, impaling them on his mace and inflicting $75056s3 Physical damage every $75056t3 second for $75056d.",132,15,828,0,831,2,0,0,0,133490,0,0,-1
831,Lava Patch,"As Throngus moves with his fiery mace, he leaves patches of fire on the ground. These patches deal $90754s1 Fire damage every second to any player who stands in them.",132,16,828,0,0,2,0,0,0,135822,2,8,14
2010,Stage One: Fists of Flame and Frost,,89,1,0,2011,2014,0,0,0,0,0,1,0,-1
2011,Fists of Flame,"Glubtok shrouds his fists in flame, causing each of his melee attacks that land to deal $87874s1 Fire damage.

Additionally, when Glubtok lands a melee attack he will sometimes deal $87896s1 Fire damage and knock up nearby enemies within $87896A1 yards.",89,2,2010,0,2012,2,0,0,0,135817,0,0,-1
2012,Fists of Frost,"Glubtok coats his fists with frost, causing each of his melee attacks that land to deal $87899s1 Frost damage.

Additionally, when Glubtok lands a melee attack he will sometimes deal $87901s1 Frost damage, reduce the movement speed by $87901s2%, reduce the frequency of melee and ranged attacks by $87901s3%, and increase the casting time by $87901s3% of nearby enemies within $87901A1 yards for $87901d.",89,3,2010,0,2013,2,0,0,0,135785,0,0,-1
2013,Blink,"After either Fists of Flame or Fists of Frost wears off, Glubtok will randomly teleport to a location nearby a random player.$[!2,4

In Heroic Difficulty, when Glubtok casts the Blink spell, he resets the threat of all enemies to zero.$]",89,4,2010,0,0,2,0,0,0,135736,0,0,-1
2014,Stage Two: Arcane Power!,"At 50% remaining health, Glubtok blinks to the center of the room and levitates in place. Glubtok then begins to cast Fire Blossom and Frost Blossom spells randomly throughout the room.",89,5,0,2015,0,0,0,0,0,0,1,0,-1
2015,Fire Blossom,"Glubtok launches a Fire Blossom at a random location in the room that lands two seconds later. When the Fire Blossom lands, it knocks up and inflicts $88173s1 Fire damage to nearby enemies within $88173A1 yards.$[!2,4

In Heroic Difficulty, wherever the spell lands, a Fire Blossom creature rises from the flames and begins to attack.$]",89,6,2014,2018,2016,2,0,0,0,135817,0,0,-1
2016,Frost Blossom,"Glubtok launches a Frost Blossom at a random location in the room that lands two seconds later. When the Frost Blossom lands, it deals $88177s1 Frost damage, reduces the movement speed by $88177s2%, reduces the frequency of melee and ranged attacks by $88177s3%, and increases the casting time by $88177s3% of nearby enemies within $88177A1 yards for $88177d.$[!2,4

In Heroic Difficulty, wherever the spell lands a Frost Blossom creature forms from the ice and begins to attack.$]",89,8,2014,2019,2017,2,0,0,0,135785,0,0,-1
2017,Fire Wall,"After casting Arcane Power, Glubtok creates a single wall of fire that begins to slowly rotate around him. Players who do not avoid the Fire Wall take $91397s1 Fire damage every second.",89,10,2014,0,0,2,0,0,0,135926,2,8,14
2018,Fire Blossom,This elemental has very low health.,89,7,2015,0,0,1,4607,0,0,0,2,8,14
2019,Frost Blossom,This elemental has very low health.,89,9,2016,0,0,1,30160,0,0,0,2,8,14
2020,Stage One: Bombs away!,"Helix Gearbreaker leaps onto the back of the Lumbering Oaf, and begins to order the Oaf around while throwing out Sticky Bombs.",90,1,0,2021,2026,0,0,0,0,0,1,0,-1
2021,Sticky Bomb,"Helix will periodically toss a Sticky Bomb onto the ground near a random player. After six seconds if the bomb detects a nearby player within one yard, the bomb explodes. A Sticky Bomb will also self destruct and explode if it is not triggered by a player after eighteen additional seconds. When a Sticky Bomb explodes, it knocks back and deals $88321s1 damage to enemy targets within $88321A1 yards.",90,2,2020,0,2022,2,0,0,0,136173,0,0,-1
2022,Oaf Smash,"The Lumbering Oaf will periodically grab a player and run to the farthest side of the room from the entrance. The Oaf then quickly runs and smashes into a wooden log on the other side of the room, knocking back and dealing 100 Physical damage to the player.$[!2,4

In Heroic Difficulty, the impact of Oaf Smash instead inflicts $88300s2% of the target player's health in Physical damage. $]",90,3,2020,0,2023,2,0,0,0,132318,0,0,-1
2023,Throw Helix,"The Lumbering Oaf will take Helix from his back, and throw the goblin onto a random player's face for ten seconds. While Helix is attached, he punches the player with his normal melee attack.",90,4,2020,0,2024,2,0,0,0,370769,0,0,-1
