ID,Radius,RadiusPerLevel,RadiusMin,RadiusMax
7,2,0,0,2
8,5,0,0,5
9,20,0,0,20
10,30,0,0,30
11,45,0,0,45
12,100,0,0,100
13,10,0,0,10
14,8,0,0,8
15,3,0,0,3
16,1,0,0,1
17,13,0,0,13
18,15,0,0,15
19,18,0,0,18
20,25,0,0,25
21,35,0,0,35
22,200,0,0,200
23,40,0,0,40
24,65,0,0,65
25,70,0,0,70
26,4,0,0,4
27,50,0,0,50
28,50000,0,0,50000
29,6,0,0,6
30,500,0,0,500
31,80,0,0,80
32,12,0,0,12
33,99,0,0,99
35,55,0,0,55
36,0,0,0,0
37,7,0,0,7
38,21,0,0,21
39,34,0,0,34
40,9,0,0,9
41,150,0,0,150
42,11,0,0,11
43,16,0,0,16
44,0.5,0,0,0.5
45,10,0,4,10
46,5,0,5,10
47,15,0,10,15
48,60,0,0,60
49,90,0,0,90
50,15,0,10,15
51,60,0,15,60
52,5,0,0,5
53,60,0,30,60
54,50000,0,30,50000
55,130,0,0,130
56,38,0,0,38
57,45,0,25,45
58,50000,0,15,50000
59,32,0,0,32
60,44,0,0,44
61,14,0,0,14
62,47,0,0,47
63,23,0,0,23
64,3.5,0,0,3.5
65,80,0,10,80
431,0.25,0,0,0.25
437,600,0,600,600
