ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,2,1,293019,294668,293019,294668
6,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,2,2,294653,294687,298080,298082
7,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,2,3,294650,294688,298081,298083
8,The Eternal Palace Raid|n|cFFFFD200Drop:|r Queen Azshara - Mythic,,2,4,294655,294689,298081,298083
9,"Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",3,1,293031,294910,293031,294910
10,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",3,2,294906,294919,300009,300012
11,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",3,3,294907,294920,300010,300013
12,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",3,4,294908,294922,300010,300013
13,"Island Expeditions|n|cFFFFD200Quest:|r ""Azerite for the Alliance""|n|cFFFFD200Turn-In NPC:|r Flynn Fairwind|n|cFFFFD200Location:|r Boralus Docks|n","Island Expeditions|n|cFFFFD200Quest:|r ""Azerite for the Horde""|n|cFFFFD200Turn-In NPC:|r Captain Rez'okun|n|cFFFFD200Location:|r Port of Zandalar",4,1,295186,295078,295186,295078
14,"Island Expeditions|n|cFFFFD200Combine:|r Fragments of Zem'lan's Lost Treasure Map|n|cFFFFD200Drop:|r Island Expeditions|n|cFFFFD200Mission Table:|r ""Lost Treasure of the Pirate King""|n|cFFFFD200Location:|r Boralus Docks","Island Expeditions|n|cFFFFD200Combine:|r Fragments of Zem'lan's Lost Treasure Map|n|cFFFFD200Drop:|r Island Expeditions|n|cFFFFD200Mission Table:|r ""Lost Treasure of the Pirate King""|n|cFFFFD200Location:|r Port of Zandalar",4,2,295209,295208,298628,298627
