ID,TransitionType,DurationMS,Flags,StartSpellVisualKitID,EndSpellVisualKitID
1,4,5000,0,0,0
2,2,5000,0,0,0
3,4,2000,0,103130,0
4,2,2000,0,0,0
5,4,1,1,0,0
6,2,1,1,0,0
7,2,1000,0,0,0
8,4,3000,0,0,0
9,2,2000,0,0,0
10,2,1,0,0,0
11,2,1,0,0,0
12,2,1000,0,0,0
13,2,2000,0,0,0
14,2,2000,0,0,0
15,2,1,0,0,0
16,2,1,0,0,0
17,2,1,0,0,0
18,2,1,0,0,0
19,2,1,0,0,0
20,2,1,0,0,0
21,2,1,0,0,0
22,4,1,0,0,0
23,4,3000,0,0,0
24,4,1,0,0,0
25,4,1,0,0,0
26,4,1,0,0,0
27,4,100,1,0,0
28,4,3000,0,0,0
29,2,1,0,0,0
30,2,1,0,0,0
31,4,1,0,0,0
32,4,1,0,0,0
33,4,1,0,0,0
34,0,0,0,0,0
135,4,3000,0,0,0
136,2,2000,0,0,0
137,4,3000,0,0,0
138,2,1000,0,0,0
139,4,3000,0,0,0
140,2,2000,0,0,0
141,4,3000,0,0,0
142,2,1000,0,0,0
143,4,3000,0,0,0
144,2,2000,0,0,0
145,4,3000,0,0,0
146,2,1000,0,0,0
147,4,3000,0,0,0
148,2,2000,0,0,0
149,4,3000,0,0,0
150,2,1000,0,0,0
151,4,3000,0,0,0
152,2,2000,0,0,0
153,4,3000,0,0,0
154,2,1000,0,0,0
155,4,3000,0,0,0
156,2,1000,0,0,0
157,4,3000,0,0,0
158,2,1000,0,0,0
159,4,3000,0,0,0
160,2,2000,0,0,0
161,4,3000,0,0,0
162,2,1000,0,0,0
163,4,3000,0,0,0
164,2,2000,0,0,0
165,4,3000,0,0,0
166,2,1000,0,0,0
167,4,3000,0,0,0
168,2,2000,0,0,0
169,4,3000,0,0,0
170,2,1000,0,0,0
171,4,3000,0,0,0
172,2,2000,0,0,0
173,4,3000,0,0,0
174,2,1000,0,0,0
175,4,3000,0,0,0
176,2,2000,0,0,0
177,4,3000,0,0,0
178,2,1000,0,0,0
