ID,FileDataID,UiTextureAtlasSetID,AtlasWidth,AtlasHeight,UiCanvasID
88,878877,0,1024,1024,1
103,904010,0,2048,1024,1
110,921230,0,256,1024,1
111,922389,0,512,512,1
112,922390,0,256,512,1
114,922037,0,128,64,1
116,922034,0,128,128,1
117,922036,0,512,512,1
118,922035,0,32,32,1
120,929716,0,128,128,1
121,939608,0,256,512,1
122,939609,0,256,256,1
123,939604,0,1024,512,1
124,939605,0,512,512,1
125,939606,0,1024,512,1
126,939612,0,1024,512,1
127,939613,0,1024,512,1
128,939607,0,256,256,1
129,939610,0,256,256,1
130,939611,0,256,256,1
134,940508,0,256,256,1
135,940509,0,256,256,1
136,940510,0,256,256,1
140,940511,0,128,128,1
141,940512,0,128,128,1
142,940513,0,128,128,1
143,940514,0,256,256,1
144,940515,0,256,256,1
145,940516,0,256,256,1
146,940517,0,128,128,1
147,940518,0,128,128,1
148,940519,0,128,128,1
149,947347,0,256,128,1
150,952639,0,512,512,1
152,952657,0,1024,1024,1
153,952658,0,256,1024,1
154,952660,0,512,256,1
155,952659,0,256,256,1
156,952656,0,512,1024,1
157,952638,0,128,128,1
158,955768,0,1024,1024,1
159,953549,0,256,256,1
160,954006,0,256,256,1
161,954007,0,256,256,1
162,954008,0,256,256,1
163,955661,0,256,256,1
164,955662,0,256,256,1
165,955663,0,256,256,1
166,955664,0,128,256,1
167,955665,0,128,128,1
168,955666,0,128,128,1
169,955667,0,128,128,1
170,955668,0,128,128,1
171,955669,0,128,256,1
172,955672,0,256,256,1
173,955673,0,128,128,1
174,955674,0,256,256,1
175,955675,0,256,256,1
176,955676,0,128,128,1
177,955677,0,128,128,1
178,955678,0,256,256,1
179,955679,0,256,256,1
180,955680,0,256,256,1
181,955681,0,128,128,1
182,955682,0,128,128,1
183,955683,0,128,128,1
184,955762,0,128,128,1
185,955763,0,128,128,1
186,955764,0,128,128,1
187,955765,0,256,256,1
188,955766,0,256,256,1
189,955767,0,256,256,1
190,955769,0,256,256,1
191,955770,0,256,256,1
192,955771,0,256,256,1
193,955772,0,128,128,1
194,955773,0,128,128,1
195,955774,0,128,128,1
197,959719,0,512,512,1
198,962472,0,256,256,1
199,962479,0,32,16,1
200,969834,0,256,128,1
202,969828,0,512,256,1
203,984826,0,512,512,1
204,984835,0,256,256,1
207,3774150,0,512,256,1
208,973339,0,512,512,1
209,973338,0,256,128,1
213,974985,0,512,512,1
217,975752,0,32,32,1
220,997675,0,256,512,1
225,978201,0,1024,512,1
226,978202,0,1024,512,1
227,978203,0,1024,512,1
230,979307,0,256,128,1
236,985877,0,2048,1024,1
