ID,ClassID,RaceID,Sex,Flags,SoundID,VoiceSoundFilterID
1,12,4,0,1,5080,0
2,12,4,1,1,5082,0
3,12,10,0,1,5081,0
4,12,10,1,1,5078,0
5,6,1,1,0,0,2
6,6,1,0,0,0,1
7,6,3,0,0,0,3
8,6,3,1,0,0,4
9,6,4,0,0,0,5
10,6,4,1,0,0,6
11,6,7,0,0,0,7
12,6,7,1,0,0,8
13,6,11,0,0,0,9
14,6,11,1,0,0,10
15,6,2,0,0,0,11
16,6,2,1,0,0,12
17,6,5,0,0,0,13
18,6,5,1,0,0,14
19,6,6,0,0,0,15
20,6,6,1,0,0,16
21,6,8,0,0,0,17
22,6,8,1,0,0,18
23,6,10,0,0,0,19
24,6,10,1,0,0,20
25,6,9,0,0,0,21
26,6,9,1,0,0,22
27,6,23,0,0,0,23
28,6,23,1,0,0,24
29,6,22,0,0,0,25
30,6,22,1,0,0,26
132,6,35,1,0,0,135
133,6,35,0,0,0,136
134,6,32,1,0,0,156
135,6,29,1,0,0,155
136,6,31,1,0,0,154
137,6,27,1,0,0,153
138,6,36,1,0,0,152
139,6,28,1,0,0,151
140,6,37,1,0,0,149
141,6,30,1,0,0,148
142,6,34,1,0,0,147
143,6,34,0,0,0,146
144,6,37,0,0,0,144
145,6,28,0,0,0,142
146,6,36,0,0,0,141
147,6,27,0,0,0,140
148,6,31,0,0,0,139
149,6,29,0,0,0,138
150,6,32,0,0,0,137
151,6,30,0,0,0,145
152,6,24,1,0,0,150
153,6,24,0,0,0,143
154,6,25,1,0,0,150
155,6,26,1,0,0,150
156,6,25,0,0,0,143
157,6,26,0,0,0,143
158,13,52,0,1,7606,0
159,13,52,1,1,7950,0
160,13,70,0,1,7606,0
161,13,70,1,1,7950,0
