Pos[0],Pos[1],PosPreSquish[0],PosPreSquish[1],ID,CurveID,OrderIndex
0,0,0,0,527,104,0
0,1,0,0,528,105,0
0,0,0,0,529,106,0
1,1,0,0,530,106,1
0,1,0,1,4780,1344,0
1,0,1,0,4781,1344,1
0,1,0,1,4785,1346,0
0.18281938,0.5018657,0.18281938,0.5018657,4786,1346,1
0.5011013,0.19962686,0.5011013,0.19962686,4787,1346,2
1,0,1,0,4788,1346,3
0,1,0,1,4789,1347,0
0.14757709,0.30037314,0.14757709,0.30037314,4790,1347,1
0.3017621,0.10074627,0.3017621,0.10074627,4791,1347,2
1,0,1,0,4792,1347,3
0,1,0,1,4993,1397,0
1,0.49813432,1,0.49813432,4994,1397,1
0,70,0,0,8041,2073,0
0.0990099,70,0,0,8042,2073,1
0.2,40,0,0,8043,2073,2
0.3,27,0,0,8044,2073,3
0.4,20,0,0,8045,2073,4
0.5,16,0,0,8046,2073,5
1,8.3,0,0,8047,2073,6
2,4.2,0,0,8048,2073,7
3,2.8,0,0,8049,2073,8
4,2.11,0,0,8050,2073,9
5,1.69,0,0,8051,2073,10
10,0.845,0,0,8052,2073,11
20,0.423,0,0,8053,2073,12
30,0.282,0,0,8054,2073,13
40,0.2115,0,0,8055,2073,14
50,0.1692,0,0,8056,2073,15
60,0.141,0,0,8057,2073,16
1,1.3,0,0,8968,2244,0
5,0.6,0,0,8969,2244,1
10,0.45,0,0,8970,2244,2
20,0.4,0,0,8971,2244,3
0,-80,0,0,13175,3159,0
0.03125,-30,0,0,13176,3159,1
0,0,0,0,13177,3160,0
0.5,-6,0,0,13178,3160,1
0.75,-12,0,0,14135,3160,2
0.875,-18,0,0,14136,3160,3
0.9375,-24,0,0,14137,3160,4
0.96875,-30,0,0,14138,3160,5
0.0625,-24,0,0,14139,3159,2
0.125,-18,0,0,14140,3159,3
0.25,-12,0,0,14141,3159,4
0.5,-6,0,0,14142,3159,5
0.75,-3,0,0,14143,3159,6
1,0,0,0,14144,3159,7
1,-80,0,0,14145,3160,6
1,1,0,0,45988,13616,0
20,1,0,0,45989,13616,1
1,1,0,0,78408,24220,0
6.5272727,3.069519,0,0,78409,24220,1
10.534546,4.1283426,0,0,78410,24220,2
20,4.080214,0,0,78411,24220,3
0,-80,0,0,84306,26253,0
0,-36.820084,0,0,84307,26253,1
0.08492362,-12.050209,0,0,84308,26253,2
0.26285884,-2.0083694,0,0,84309,26253,3
0.5135857,0,0,0,84310,26253,4
0.6834329,0,0,0,84311,26253,5
1.1444468,0,0,0,84312,26253,6
1.5245811,-2.0083694,0,0,84313,26253,7
1.7106043,-21.422596,0,0,84314,26253,8
1.7470001,-36.820084,0,0,84315,26253,9
1.7470001,-80,0,0,84316,26253,10
0,-80,0,0,189918,68429,0
0,0,0,0,189919,68429,1
0.063796304,0,0,0,189920,68429,2
0.16930556,0,0,0,189921,68429,3
0.29689816,-2.677826,0,0,189922,68429,4
0.40731484,-6.694557,0,0,189923,68429,5
0.65759265,-80,0,0,189924,68429,6
1.0600001,-80,0,0,189925,68429,7
0,0,0,0,213682,699,0
0.1,0.01475,0,0,213683,699,1
0.15,0.03224,0,0,213684,699,2
0.2,0.0557,0,0,213685,699,3
0.25,0.08475,0,0,213686,699,4
0.3,0.11895,0,0,213687,699,5
0.35,0.158,0,0,213688,699,6
0.4,0.20155,0,0,213689,699,7
0.45,0.2493,0,0,213690,699,8
0.5,0.3021,0,0,213691,699,9
0.55,0.3604,0,0,213692,699,10
0.6,0.4226,0,0,213693,699,11
0.7,0.5715,0,0,213694,699,12
0.8,0.75,0,0,213695,699,13
0.9,0.889,0,0,213696,699,14
1,1,0,0,213697,699,15
0,0.75,0,0,214238,75892,0
0,1,0,0,214239,75893,0
0,1,0,0,214240,75894,0
0,1.5,0,0,214241,75895,0
0,2,0,0,214242,75896,0
0,2,0,0,214243,75897,0
0,25,0,0,215544,76487,0
