ID,Flags,ReqRidingSkill,ReqAreaID,ReqSpellAuraID,ReqSpellKnownID,ModSpellAuraID,ReqMapID,PlayerConditionID,FlightCapabilityID,DriveCapabilityID
258,17,150,0,0,0,86458,531,0,0,0
315,17,0,0,0,0,0,-1,0,0,0
537,17,75,0,0,824,86457,-1,0,0,0
538,17,150,0,0,824,86458,-1,0,0,0
539,17,75,0,0,825,86457,-1,0,0,0
540,17,150,0,0,825,86458,-1,0,0,0
541,17,75,0,0,828,86457,-1,0,0,0
542,17,150,0,0,828,86458,-1,0,0,0
543,17,75,0,0,826,86457,-1,0,0,0
544,17,150,0,0,826,86458,-1,0,0,0
545,17,75,0,0,10861,86457,-1,0,0,0
546,17,150,0,0,10861,86458,-1,0,0,0
547,17,75,0,0,18995,86457,-1,0,0,0
548,17,150,0,0,18995,86458,-1,0,0,0
549,17,75,0,0,10907,86457,-1,0,0,0
550,17,150,0,0,10907,86458,-1,0,0,0
551,17,75,0,0,10906,86457,-1,0,0,0
552,17,150,0,0,10906,86458,-1,0,0,0
553,17,75,0,0,0,86457,-1,0,0,0
554,17,150,0,0,0,86458,-1,0,0,0
555,17,0,0,0,0,86457,-1,0,0,0
556,17,0,0,0,0,86458,-1,0,0,0
557,17,150,0,0,1285849,86458,-1,0,0,0
558,17,75,0,0,1285849,86457,-1,0,0,0
563,145,0,0,0,0,0,-1,0,0,1
570,17,0,0,0,0,86458,-1,163365,0,0
