ID,CastSpellVisualID,AutoAttackSpellVisualID,QuiverFileDataID,MissileSpellVisualEffectNameID
366,224,0,0,0
367,5,0,0,0
368,98,0,0,0
369,28,0,0,0
370,225,0,0,0
371,226,0,0,0
372,228,0,0,0
373,743,0,0,0
374,229,0,0,0
375,2027,0,0,0
376,2026,0,0,0
377,2798,0,0,0
378,2799,0,0,0
379,2797,0,0,0
380,4081,0,0,0
381,313,0,0,0
382,165,0,0,0
383,3222,0,0,0
464,3739,0,0,0
465,268,0,0,0
466,3299,0,0,0
467,3739,0,0,0
468,65,0,0,0
469,560,0,0,0
470,3739,0,0,0
471,2247,0,0,0
472,230,0,0,0
473,10197,0,0,0
474,10197,0,0,0
481,10433,0,0,0
482,10197,0,0,0
483,7520,0,0,0
