ID,WarbandSceneAnimationID,ChrSpecializationID
1,30,258
2,31,257
3,32,256
4,32,1452
7,28,62
8,28,1449
9,33,63
10,34,64
11,35,102
12,36,105
13,36,1447
14,37,270
15,38,65
16,39,262
17,39,1444
18,40,264
19,41,265
20,42,266
21,42,1454
22,43,267
23,44,65
24,27,1455
25,27,250
26,27,251
27,27,252
28,27,1456
29,27,577
30,27,581
31,27,103
32,27,104
33,27,1448
34,27,253
35,27,254
36,27,255
37,45,268
40,27,1451
41,27,66
42,27,70
43,27,1453
44,27,259
45,27,260
46,27,261
49,27,263
50,27,1446
51,27,71
52,27,72
53,27,73
54,45,269
55,45,1450
56,29,1465
57,29,1473
58,29,1467
59,29,1468
60,47,65
