ID,LightShaftID,LightDataID,LightParamsID
498,572,64278,6221
584,664,63450,6076
585,665,63455,6076
625,712,63481,6079
626,713,64463,6256
627,714,64464,6256
628,715,64465,6257
629,716,63515,6084
630,717,64474,6259
631,718,64503,6266
633,721,64520,6270
637,725,64560,6280
638,726,64647,6290
639,727,64651,6292
640,728,64652,6293
641,729,64661,6294
642,730,64662,6295
643,731,64663,6296
644,732,64696,6303
645,733,64697,6304
646,734,64698,6305
647,735,64701,6308
648,736,64704,6310
649,737,64705,6311
652,740,64921,6351
653,741,64922,6352
654,742,64923,6353
655,743,64924,6354
657,745,64972,6377
659,747,64990,6381
660,748,64991,6382
662,750,65060,6396
663,751,65133,6414
664,752,65134,6415
665,753,65135,6416
666,754,65136,6417
667,755,65139,6419
669,757,65141,6421
670,758,65142,6422
672,760,65271,6435
673,761,65272,6436
674,762,65401,6454
675,763,65428,6461
676,764,65574,6475
677,765,65575,6476
678,766,65576,6477
679,767,65647,6487
683,771,65678,6495
684,772,65679,6496
686,774,65736,6511
687,775,65763,6515
688,776,65767,6518
695,783,66056,6575
